source_study,source_variable,common_variable,review_status
SYN-METEX-GEN,vo2max,vo2max,accepted
SYN-METEX-GEN,age,age,accepted
SYN-METEX-GEN,sex,sex,accepted
SYN-METEX-GEN,bmi,bmi,accepted
SYN-METEX-GEN,fasting_glucose,fasting_glucose,accepted
SYN-ACTI-MET,daily_steps,steps_per_day,requires_human_review
SYN-ACTI-MET,mvpa_min,mvpa_minutes,requires_human_review
SYN-ACTI-MET,total_fat_mass,fat_mass,requires_human_review
SYN-OMICS-GEN,participant_age,age,requires_human_review
SYN-OMICS-GEN,glucose_fasting,fasting_glucose,requires_human_review
SYN-OMICS-GEN,fasting_insulin,insulin,requires_human_review
SYN-EXER-NODATA,peak_vo2,vo2max,requires_human_review
SYN-MET-NOCODEBOOK,metab_feature_001,not_mapped,rejected
SYN-CPET-RICH,vo2peak,vo2max,requires_human_review
SYN-CPET-RICH,total_lean_mass,lean_mass,requires_human_review
SYN-CPET-RICH,insulin,insulin,accepted
SYN-MOTRPAC-LIKE,vo2max,vo2max,accepted
SYN-MOTRPAC-LIKE,steps_per_day,steps_per_day,accepted
SYN-MOTRPAC-LIKE,mvpa_minutes,mvpa_minutes,accepted
SYN-MOTRPAC-LIKE,lean_mass,lean_mass,accepted
SYN-MOTRPAC-LIKE,fat_mass,fat_mass,accepted
SYN-DIET-BODY,body_mass_index,bmi,requires_human_review
SYN-DIET-BODY,dxa_lean_mass,lean_mass,requires_human_review
SYN-DIET-BODY,diet_score,not_mapped,rejected
SYN-RESTRICTED-META,age,age,accepted
SYN-RESTRICTED-META,gender,sex,requires_human_review

