"metabolite","contrast","standardized_effect","provenance"
"Leucine","MW acute",1.8,"synthetic_seed_20260712"
"Lactate","MW acute",1.4,"synthetic_seed_20260712"
"Citrate","MW acute",-1.1,"synthetic_seed_20260712"
"Succinate","MW acute",-0.5,"synthetic_seed_20260712"
"CAR 2:0","MW acute",1.2,"synthetic_seed_20260712"
"CAR 4:0;OH","MW acute",0.6,"synthetic_seed_20260712"
"Kynurenine","MW acute",-0.8,"synthetic_seed_20260712"
"Tryptophan","MW acute",0.5,"synthetic_seed_20260712"
"Leucine","MW training",0.7,"synthetic_seed_20260712"
"Lactate","MW training",0.3,"synthetic_seed_20260712"
"Citrate","MW training",0.4,"synthetic_seed_20260712"
"Succinate","MW training",0.8,"synthetic_seed_20260712"
"CAR 2:0","MW training",0.5,"synthetic_seed_20260712"
"CAR 4:0;OH","MW training",1,"synthetic_seed_20260712"
"Kynurenine","MW training",-0.2,"synthetic_seed_20260712"
"Tryptophan","MW training",0.1,"synthetic_seed_20260712"
"Leucine","MoTrPAC EE acute",1.4,"synthetic_seed_20260712"
"Lactate","MoTrPAC EE acute",1.1,"synthetic_seed_20260712"
"Citrate","MoTrPAC EE acute",-0.7,"synthetic_seed_20260712"
"Succinate","MoTrPAC EE acute",0.3,"synthetic_seed_20260712"
"CAR 2:0","MoTrPAC EE acute",0.9,"synthetic_seed_20260712"
"CAR 4:0;OH","MoTrPAC EE acute",1.4,"synthetic_seed_20260712"
"Kynurenine","MoTrPAC EE acute",-0.5,"synthetic_seed_20260712"
"Tryptophan","MoTrPAC EE acute",0.6,"synthetic_seed_20260712"
"Leucine","MoTrPAC RE acute",0.5,"synthetic_seed_20260712"
"Lactate","MoTrPAC RE acute",0.4,"synthetic_seed_20260712"
"Citrate","MoTrPAC RE acute",0.2,"synthetic_seed_20260712"
"Succinate","MoTrPAC RE acute",0.6,"synthetic_seed_20260712"
"CAR 2:0","MoTrPAC RE acute",0.4,"synthetic_seed_20260712"
"CAR 4:0;OH","MoTrPAC RE acute",0.8,"synthetic_seed_20260712"
"Kynurenine","MoTrPAC RE acute",0.1,"synthetic_seed_20260712"
"Tryptophan","MoTrPAC RE acute",-0.3,"synthetic_seed_20260712"
"Leucine","MoTrPAC EE 8 wk",0.8,"synthetic_seed_20260712"
"Lactate","MoTrPAC EE 8 wk",0.5,"synthetic_seed_20260712"
"Citrate","MoTrPAC EE 8 wk",0.6,"synthetic_seed_20260712"
"Succinate","MoTrPAC EE 8 wk",1,"synthetic_seed_20260712"
"CAR 2:0","MoTrPAC EE 8 wk",0.7,"synthetic_seed_20260712"
"CAR 4:0;OH","MoTrPAC EE 8 wk",1.2,"synthetic_seed_20260712"
"Kynurenine","MoTrPAC EE 8 wk",-0.4,"synthetic_seed_20260712"
"Tryptophan","MoTrPAC EE 8 wk",0.2,"synthetic_seed_20260712"
"Leucine","MoTrPAC CON 8 wk",0.1,"synthetic_seed_20260712"
"Lactate","MoTrPAC CON 8 wk",-0.1,"synthetic_seed_20260712"
"Citrate","MoTrPAC CON 8 wk",0,"synthetic_seed_20260712"
"Succinate","MoTrPAC CON 8 wk",0.1,"synthetic_seed_20260712"
"CAR 2:0","MoTrPAC CON 8 wk",0,"synthetic_seed_20260712"
"CAR 4:0;OH","MoTrPAC CON 8 wk",0.2,"synthetic_seed_20260712"
"Kynurenine","MoTrPAC CON 8 wk",0,"synthetic_seed_20260712"
"Tryptophan","MoTrPAC CON 8 wk",0,"synthetic_seed_20260712"
