"metabolite","log2fc","p_value","fdr","neg_log10_p","provenance"
"Alloisoleucine",2.05,1e-06,9.2e-05,6,"synthetic_seed_20260712"
"CAR 4:0;OH",1.55,3e-05,0.00092,4.52287874528034,"synthetic_seed_20260712"
"Succinate",1.2,2e-04,0.0046,3.69897000433602,"synthetic_seed_20260712"
"Tryptophan",-1.45,2e-05,0.00092,4.69897000433602,"synthetic_seed_20260712"
"Pyruvate",-1.1,3e-04,0.00552,3.52287874528034,"synthetic_seed_20260712"
"Feature_006",0.212413356872018,0.1003880287757,0.156537265209567,0.998318073512055,"synthetic_seed_20260712"
"Feature_007",0.0101630060312608,0.00269363575627065,0.0112642949807682,2.56966113160364,"synthetic_seed_20260712"
"Feature_008",-1.23726148255879,0.0025753385068664,0.0112642949807682,2.58916567846667,"synthetic_seed_20260712"
"Feature_009",1.69473233394851,0.0923347108652414,0.146461955165555,1.03463500641286,"synthetic_seed_20260712"
"Feature_010",0.0214651089973742,0.139258951272019,0.197104977185012,0.856176879722625,"synthetic_seed_20260712"
"Feature_011",-0.21544610847374,0.00206320934809324,0.00979725521863933,2.68545670314226,"synthetic_seed_20260712"
"Feature_012",-0.145727807876806,0.182942176214013,0.255010306237715,0.737686159010045,"synthetic_seed_20260712"
"Feature_013",-0.281823557623176,0.009993100137504,0.028730162895324,2.00029976064805,"synthetic_seed_20260712"
"Feature_014",-0.00954279109985108,0.489569789058316,0.529887301098412,0.310185389984399,"synthetic_seed_20260712"
"Feature_015",-0.278697896266599,0.718481010868967,0.727014281075868,0.143584705586545,"synthetic_seed_20260712"
"Feature_016",-0.723727119425172,0.0105993403154848,0.0295496760310486,1.97472116362769,"synthetic_seed_20260712"
"Feature_017",0.263123993253138,0.060844951729845,0.105617652059354,1.21577544909902,"synthetic_seed_20260712"
"Feature_018",-0.0234180300528752,0.0250975565348279,0.0536382773716151,1.60036855880171,"synthetic_seed_20260712"
"Feature_019",0.452136834065202,0.0701874722800711,0.119578656477158,1.15374039791524,"synthetic_seed_20260712"
"Feature_020",0.0349513234958449,0.133692437557124,0.19523340087707,0.873893158333376,"synthetic_seed_20260712"
"Feature_021",0.234372554493072,0.00727276280857503,0.0257343914764963,2.13830057613086,"synthetic_seed_20260712"
"Feature_022",0.598423608807953,0.0830974259240604,0.134122161140589,1.08041242897511,"synthetic_seed_20260712"
"Feature_023",0.0583144455929643,0.00158402630249196,0.00979725521863933,2.80023761129938,"synthetic_seed_20260712"
"Feature_024",0.058067390551018,0.323661026099635,0.381754030784185,0.489909593365155,"synthetic_seed_20260712"
"Feature_025",0.251361448474929,0.00211293389852155,0.00979725521863933,2.67511408929713,"synthetic_seed_20260712"
"Feature_026",0.0696479331058825,0.497396710228759,0.532098806291231,0.303297091471031,"synthetic_seed_20260712"
