"metabolite","log2fc","p_value","fdr","neg_log10_p","provenance"
"Leucine",1.75,2e-05,0.00144,4.69897000433602,"synthetic_seed_20260712"
"Lactate",1.3,0.00015,0.0036,3.82390874094432,"synthetic_seed_20260712"
"CAR 2:0",1.1,4e-04,0.00576,3.39794000867204,"synthetic_seed_20260712"
"Citrate",-1.25,8e-05,0.00288,4.09691001300806,"synthetic_seed_20260712"
"Kynurenine",-1.05,3e-04,0.0054,3.52287874528034,"synthetic_seed_20260712"
"Feature_006",0.45093587235176,0.0820809865407746,0.11587903982227,1.08575743236579,"synthetic_seed_20260712"
"Feature_007",-0.443900580554835,0.218573643506803,0.276093023377015,0.660402208212763,"synthetic_seed_20260712"
"Feature_008",0.519598925232696,0.00194818288785256,0.0114766986350577,2.71037027566228,"synthetic_seed_20260712"
"Feature_009",-0.924801089304453,0.0431303746422939,0.07057697668739,1.36521676943637,"synthetic_seed_20260712"
"Feature_010",-1.43919579560402,0.0571916852727649,0.0895174204269364,1.24266710586846,"synthetic_seed_20260712"
"Feature_011",0.647263201828068,0.00198141284672571,0.0114766986350577,2.70302502553444,"synthetic_seed_20260712"
"Feature_012",0.256881323462123,0.261679522117009,0.319337721905502,0.58223026199732,"synthetic_seed_20260712"
"Feature_013",0.0324020759843461,0.0267883851102287,0.0482190931984117,1.57205346626695,"synthetic_seed_20260712"
"Feature_014",-0.209060154888606,0.003234882743807,0.013612434600802,2.49014145676978,"synthetic_seed_20260712"
"Feature_015",-1.2052615201833,0.724881367367733,0.756397948557635,0.139733063378371,"synthetic_seed_20260712"
"Feature_016",-0.368073570906622,0.0658109328887491,0.0993730948741611,1.18170195290819,"synthetic_seed_20260712"
"Feature_017",-1.0118659425323,0.132415529727886,0.176554039637182,0.878061077739112,"synthetic_seed_20260712"
"Feature_018",-1.80404474946036,0.0122934623276219,0.0276602902371494,1.9103257852979,"synthetic_seed_20260712"
"Feature_019",0.546015066333701,0.0120832694713944,0.0276602902371494,1.91781553911977,"synthetic_seed_20260712"
"Feature_020",-0.464886029858518,0.00773864731908085,0.0198993788204936,2.11133494541515,"synthetic_seed_20260712"
