query_original,query_type,matched_term,match_basis,match_confidence,review_status,source_system,study_id,study_title,accession_or_contrast,study_link,sample_matrix,intervention_timing,platform,sex_or_subgroup,metabolite,refmet_name,source_metabolite_raw,class,superclass,subclass,log2fc,p_value,fdr,direction,significance_call,effect_interpretation,provenance_file,missing_evidence
acylcarnitine,class,Acetyl-L-carnitine,refmet_curated_class,accepted_curated,accepted_curated,Metabolomics Workbench,ST004303,Exercise intensity modulates the human plasma secretome (Rockefeller),"ST004303 :: post (4P) vs pre (1P), paired, MIE+SIE pooled",https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004303,plasma,"acute, post (Time 4P) vs pre (Time 1P)",LC-MS HILIC (MW analysis AN007160),,Acetyl-L-carnitine,CAR 2:0,Acetyl-L-carnitine,Fatty esters,Fatty Acyls,Acyl carnitines,1.122375446090025,5.19886803134602e-10,6.914494481690209e-08,up_in_numerator,significant_FDR<0.05,"1.12 log2-units higher in HIGHER post-exercise (late, ~late-post) (p=5.20e-10, FDR=6.91e-08)",data/live/volcano_human_ST004303.csv,
acylcarnitine,class,Propionylcarnitine,refmet_curated_class,accepted_curated,accepted_curated,Metabolomics Workbench,ST004303,Exercise intensity modulates the human plasma secretome (Rockefeller),"ST004303 :: post (4P) vs pre (1P), paired, MIE+SIE pooled",https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004303,plasma,"acute, post (Time 4P) vs pre (Time 1P)",LC-MS HILIC (MW analysis AN007160),,Propionylcarnitine,CAR 3:0,Propionylcarnitine,Fatty esters,Fatty Acyls,Acyl carnitines,-0.5007438193573491,5.2636280101493164e-09,2.800250101399437e-07,down_in_numerator,significant_FDR<0.05,"0.50 log2-units lower in HIGHER post-exercise (late, ~late-post) (p=5.26e-09, FDR=2.80e-07)",data/live/volcano_human_ST004303.csv,
acylcarnitine,class,Valeryl-carnitine; AIF; CE30; MS2Dec,inferred_name_pattern,requires_human_review,requires_human_review,Metabolomics Workbench,ST004303,Exercise intensity modulates the human plasma secretome (Rockefeller),"ST004303 :: post (4P) vs pre (1P), paired, MIE+SIE pooled",https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004303,plasma,"acute, post (Time 4P) vs pre (Time 1P)",LC-MS HILIC (MW analysis AN007160),,Valeryl-carnitine; AIF; CE30; MS2Dec,Valeryl-carnitine; AIF; CE30; MS2Dec,Valeryl-carnitine; AIF; CE30; MS2Dec,,,,-0.4508238876433959,4.5215654413718785e-05,0.0002797061412569,down_in_numerator,significant_FDR<0.05,"0.45 log2-units lower in HIGHER post-exercise (late, ~late-post) (p=4.52e-05, FDR=2.80e-04)",data/live/volcano_human_ST004303.csv,refmet_class_annotation
acylcarnitine,class,D-Carnitine,refmet_curated_class,accepted_curated,accepted_curated,Metabolomics Workbench,ST004303,Exercise intensity modulates the human plasma secretome (Rockefeller),"ST004303 :: post (4P) vs pre (1P), paired, MIE+SIE pooled",https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004303,plasma,"acute, post (Time 4P) vs pre (Time 1P)",LC-MS HILIC (MW analysis AN007160),,D-Carnitine,D-Carnitine,D-Carnitine,Carnitines,Organic nitrogen compounds,Carnitines,-0.2041780439334214,5.784695838073753e-05,0.0003345063245494,down_in_numerator,significant_FDR<0.05,"0.20 log2-units lower in HIGHER post-exercise (late, ~late-post) (p=5.78e-05, FDR=3.35e-04)",data/live/volcano_human_ST004303.csv,
acylcarnitine,class,Hexanoylcarnitine,refmet_curated_class,accepted_curated,accepted_curated,Metabolomics Workbench,ST004303,Exercise intensity modulates the human plasma secretome (Rockefeller),"ST004303 :: post (4P) vs pre (1P), paired, MIE+SIE pooled",https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004303,plasma,"acute, post (Time 4P) vs pre (Time 1P)",LC-MS HILIC (MW analysis AN007160),,Hexanoylcarnitine,CAR 6:0,Hexanoylcarnitine,Fatty esters,Fatty Acyls,Acyl carnitines,0.7065751098979642,8.1547977251321e-05,0.0004325564028885,up_in_numerator,significant_FDR<0.05,"0.71 log2-units higher in HIGHER post-exercise (late, ~late-post) (p=8.15e-05, FDR=4.33e-04)",data/live/volcano_human_ST004303.csv,
acylcarnitine,class,OCTANOYLCARNITINE,refmet_curated_class,accepted_curated,accepted_curated,Metabolomics Workbench,ST004303,Exercise intensity modulates the human plasma secretome (Rockefeller),"ST004303 :: post (4P) vs pre (1P), paired, MIE+SIE pooled",https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004303,plasma,"acute, post (Time 4P) vs pre (Time 1P)",LC-MS HILIC (MW analysis AN007160),,OCTANOYLCARNITINE,CAR 8:0,OCTANOYLCARNITINE,Fatty esters,Fatty Acyls,Acyl carnitines,0.9270228253743664,0.0003290647169551,0.0013466340724626,up_in_numerator,significant_FDR<0.05,"0.93 log2-units higher in HIGHER post-exercise (late, ~late-post) (p=3.29e-04, FDR=1.35e-03)",data/live/volcano_human_ST004303.csv,
acylcarnitine,class,Decanoylcarnitine,refmet_curated_class,accepted_curated,accepted_curated,Metabolomics Workbench,ST004303,Exercise intensity modulates the human plasma secretome (Rockefeller),"ST004303 :: post (4P) vs pre (1P), paired, MIE+SIE pooled",https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004303,plasma,"acute, post (Time 4P) vs pre (Time 1P)",LC-MS HILIC (MW analysis AN007160),,Decanoylcarnitine,CAR 10:0,Decanoylcarnitine,Fatty esters,Fatty Acyls,Acyl carnitines,1.0254736498761636,0.0006003879007258,0.0021293757545741,up_in_numerator,significant_FDR<0.05,"1.03 log2-units higher in HIGHER post-exercise (late, ~late-post) (p=6.00e-04, FDR=2.13e-03)",data/live/volcano_human_ST004303.csv,
acylcarnitine,class,Butyryl-carnitine; AIF; CE10; CorrDec,inferred_name_pattern,requires_human_review,requires_human_review,Metabolomics Workbench,ST004303,Exercise intensity modulates the human plasma secretome (Rockefeller),"ST004303 :: post (4P) vs pre (1P), paired, MIE+SIE pooled",https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004303,plasma,"acute, post (Time 4P) vs pre (Time 1P)",LC-MS HILIC (MW analysis AN007160),,Butyryl-carnitine; AIF; CE10; CorrDec,Butyryl-carnitine; AIF; CE10; CorrDec,Butyryl-carnitine; AIF; CE10; CorrDec,,,,-0.2469622155975011,0.0040180872020665,0.0111334499557261,down_in_numerator,significant_FDR<0.05,"0.25 log2-units lower in HIGHER post-exercise (late, ~late-post) (p=4.02e-03, FDR=1.11e-02)",data/live/volcano_human_ST004303.csv,refmet_class_annotation
acylcarnitine,class,L-Carnitine,refmet_curated_class,accepted_curated,accepted_curated,Metabolomics Workbench,ST004303,Exercise intensity modulates the human plasma secretome (Rockefeller),"ST004303 :: post (4P) vs pre (1P), paired, MIE+SIE pooled",https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004303,plasma,"acute, post (Time 4P) vs pre (Time 1P)",LC-MS HILIC (MW analysis AN007160),,L-Carnitine,Carnitine,L-Carnitine,Carnitines,Organic nitrogen compounds,Carnitines,0.0615500169813052,0.3816392720113792,0.5153098799747557,up_in_numerator,not_significant,"0.06 log2-units higher in HIGHER post-exercise (late, ~late-post) (p=3.82e-01, FDR=5.15e-01)",data/live/volcano_human_ST004303.csv,
acylcarnitine,class,CAR 4:0;OH [metab-u-hilicpos],refmet_curated_class,accepted_curated,accepted_curated,MoTrPAC DataHub,human-precovid-sed-adu,MoTrPAC human acute exercise (precovid sedentary adults),ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise,https://motrpac-data.org/data-download,plasma,"acute, endurance bout, late post (~3.5-4 hr) vs pre",metab-u-hilicpos,,CAR 4:0;OH [metab-u-hilicpos],CAR 4:0;OH,CAR 4:0;OH [metab-u-hilicpos],Fatty esters,Fatty Acyls,Acyl carnitines,1.83595194160088,8.09841414256642e-80,9.44814983299416e-78,up_in_numerator,significant_FDR<0.05,"1.84 log2-units higher in HIGHER post-exercise (endurance, late post) (p=8.10e-80, FDR=9.45e-78)",data/live/volcano_motrpac_human_plasma_endur_post.csv,
