query_original,query_type,refmet_level,refmet_label,match_basis,match_confidence,review_status,n_class_rows,n_class_significant,n_class_up_significant,n_class_down_significant,class_significant_fraction,n_background_rows,n_background_significant,n_nonclass_background_rows,n_nonclass_background_significant,background_significant_fraction,enrichment_ratio,fisher_exact_p,source_systems,study_ids,source_files,example_metabolites,significance_threshold,interpretation,missing_evidence
all,enrichment,main_class,Fatty esters,refmet_hierarchy_annotation,accepted_curated,accepted_curated,41,32,27,5,0.7804878048780488,1503,467,1462,435,0.3107119095143047,2.511933984436204,4.464649711022951e-10,Metabolomics Workbench;MoTrPAC DataHub,ST004303;human-precovid-sed-adu;pass1b06,data/live/volcano_human_ST004303.csv;data/live/volcano_motrpac_human_plasma_endur_post.csv;data/live/volcano_motrpac_pass1b06_plasma_8w.csv,CAR 4:0;OH [metab-u-hilicpos]; CAR 6:0;OH [metab-u-hilicpos]; CAR 2:0 [metab-u-hilicpos]; CAR 16:0 [metab-u-hilicpos]; CAR 3:0 [metab-u-hilicpos]; CAR 18:1 [metab-u-hilicpos]; CAR 9:0 [metab-u-hilicpos]; CAR 16:2 [metab-u-hilicpos],FDR<0.05,"Fatty esters has 32/41 annotated rows significant at FDR<0.05; enrichment ratio=2.51, one-sided Fisher p=4.46e-10.",
all,enrichment,main_class,Phosphosphingolipids,refmet_hierarchy_annotation,accepted_curated,accepted_curated,25,20,20,0,0.8,1503,467,1478,447,0.3107119095143047,2.5747323340471095,5.178977320146384e-07,Metabolomics Workbench;MoTrPAC DataHub,ST004303;human-precovid-sed-adu,data/live/volcano_human_ST004303.csv;data/live/volcano_motrpac_human_plasma_endur_post.csv,SM 18:1;O2/18:1 [metab-u-hilicpos]; SM 18:1;O2/19:1 [metab-u-hilicpos]; SM 18:1;O2/22:2 [metab-u-hilicpos]; SM 18:1;O2/23:2 [metab-u-hilicpos]; SM 18:1;O2/20:2 [metab-u-hilicpos]; SM 18:1;O2/22:3 [metab-u-hilicpos]; SM 18:1;O2/19:0 [metab-u-hilicpos]; SM 18:1;O2/17:0 [metab-u-hilicpos],FDR<0.05,"Phosphosphingolipids has 20/25 annotated rows significant at FDR<0.05; enrichment ratio=2.57, one-sided Fisher p=5.18e-07.",
all,enrichment,main_class,Glycerophosphocholines,refmet_hierarchy_annotation,accepted_curated,accepted_curated,69,33,17,16,0.4782608695652174,1503,467,1434,434,0.3107119095143047,1.5392421562238154,0.0021112890156803833,Metabolomics Workbench;MoTrPAC DataHub,ST004303;human-precovid-sed-adu,data/live/volcano_human_ST004303.csv;data/live/volcano_motrpac_human_plasma_endur_post.csv,LPC 18:2 [metab-u-hilicpos]; LPC 20:5 [metab-u-hilicpos]; PC 33:1 [metab-u-hilicpos]; PC P-32:0 or PC O-32:1 [metab-u-hilicpos]; PC O-32:0 [metab-u-hilicpos]; PC O-30:0 [metab-u-hilicpos]; PC 35:3 [metab-u-hilicpos]; LPC 18:1 [metab-u-hilicpos],FDR<0.05,"Glycerophosphocholines has 33/69 annotated rows significant at FDR<0.05; enrichment ratio=1.54, one-sided Fisher p=2.11e-03.",
all,enrichment,main_class,Ceramides,refmet_hierarchy_annotation,accepted_curated,accepted_curated,15,10,10,0,0.6666666666666666,1503,467,1488,457,0.3107119095143047,2.1456102783725908,0.004662246976555435,MoTrPAC DataHub,human-precovid-sed-adu,data/live/volcano_motrpac_human_plasma_endur_post.csv,Cer 18:1;O2/18:1 [metab-u-hilicpos]; Cer 18:2;O2/23:0 [metab-u-hilicpos]; Cer 18:1;O2/18:0 [metab-u-hilicpos]; Cer 18:1;O2/20:1 [metab-u-hilicpos]; Cer 18:1;O2/24:1 [metab-u-hilicpos]; Cer 18:1;O2/16:1 [metab-u-hilicpos]; Cer 18:1;O2/15:0 [metab-u-hilicpos]; Cer 18:1;O2/19:0 [metab-u-hilicpos],FDR<0.05,"Ceramides has 10/15 annotated rows significant at FDR<0.05; enrichment ratio=2.15, one-sided Fisher p=4.66e-03.",
all,enrichment,main_class,Triradylglycerols,refmet_hierarchy_annotation,accepted_curated,accepted_curated,3,3,0,3,1.0,1503,467,1500,464,0.3107119095143047,3.2184154175588864,0.02986387400526938,MoTrPAC DataHub,human-precovid-sed-adu,data/live/volcano_motrpac_human_plasma_endur_post.csv,TG 44:2 [metab-u-hilicpos]; TG 46:2 [metab-u-hilicpos]; TG 44:1 [metab-u-hilicpos],FDR<0.05,"Triradylglycerols has 3/3 annotated rows significant at FDR<0.05; enrichment ratio=3.22, one-sided Fisher p=2.99e-02.",
all,enrichment,main_class,Steroids,refmet_hierarchy_annotation,accepted_curated,accepted_curated,17,9,2,7,0.5294117647058824,1503,467,1486,458,0.3107119095143047,1.7038669857664694,0.04890845104179838,Metabolomics Workbench;MoTrPAC DataHub,ST004303;human-precovid-sed-adu;pass1b06,data/live/volcano_human_ST004303.csv;data/live/volcano_motrpac_human_plasma_endur_post.csv;data/live/volcano_motrpac_pass1b06_plasma_8w.csv,Cortisone [metab-u-rppos]; Cortisol [metab-u-hilicpos]; Cortisol [metab-t-imm-crt]; 11-Deoxycortisol [metab-u-hilicpos]; Testosterone sulfate; Cortisol [metab-u-rppos]; epiandrosterone sulfate; cortisol,FDR<0.05,"Steroids has 9/17 annotated rows significant at FDR<0.05; enrichment ratio=1.70, one-sided Fisher p=4.89e-02.",
all,enrichment,main_class,Diradylglycerols,refmet_hierarchy_annotation,accepted_curated,accepted_curated,8,5,4,1,0.625,1503,467,1495,462,0.3107119095143047,2.011509635974304,0.06618960163900474,Metabolomics Workbench;MoTrPAC DataHub,ST004303;human-precovid-sed-adu,data/live/volcano_human_ST004303.csv;data/live/volcano_motrpac_human_plasma_endur_post.csv,DG 38:5 [metab-u-hilicpos]; DG 36:3 [metab-u-hilicpos]; DG 36:4 [metab-u-hilicpos]; DG 34:3 [metab-u-hilicpos]; DG 18:1_18:1; DG 34:1 [metab-u-hilicpos]; DG 16:0_24:6; DG 36:2 [metab-u-hilicpos],FDR<0.05,"Diradylglycerols has 5/8 annotated rows significant at FDR<0.05; enrichment ratio=2.01, one-sided Fisher p=6.62e-02.",
all,enrichment,main_class,Glycerophosphoethanolamines,refmet_hierarchy_annotation,accepted_curated,accepted_curated,37,16,7,9,0.43243243243243246,1503,467,1466,451,0.3107119095143047,1.3917472075930322,0.07748197872698644,Metabolomics Workbench;MoTrPAC DataHub,ST004303;human-precovid-sed-adu,data/live/volcano_human_ST004303.csv;data/live/volcano_motrpac_human_plasma_endur_post.csv,LPE 22:6 [metab-u-hilicpos]; PE 36:2 [metab-u-hilicpos]; LPE 22:5 [metab-u-hilicpos]; LPE 20:4 [metab-u-hilicpos]; LPE 18:1 [metab-u-hilicpos]; PE 38:6 [metab-u-hilicpos]; PE 36:3 [metab-u-hilicpos]; LPE 16:0,FDR<0.05,"Glycerophosphoethanolamines has 16/37 annotated rows significant at FDR<0.05; enrichment ratio=1.39, one-sided Fisher p=7.75e-02.",
all,enrichment,main_class,Glycerophosphates,refmet_hierarchy_annotation,accepted_curated,accepted_curated,2,2,0,2,1.0,1503,467,1501,465,0.3107119095143047,3.2184154175588864,0.09639930082141343,Metabolomics Workbench,ST004303,data/live/volcano_human_ST004303.csv,LPA 16:0; Oleoyl-L-α-lysophosphatidic acid,FDR<0.05,"Glycerophosphates has 2/2 annotated rows significant at FDR<0.05; enrichment ratio=3.22, one-sided Fisher p=9.64e-02.",small_refmet_class_n
all,enrichment,main_class,Glycerophosphoserines,refmet_hierarchy_annotation,accepted_curated,accepted_curated,2,2,2,0,1.0,1503,467,1501,465,0.3107119095143047,3.2184154175588864,0.09639930082141343,MoTrPAC DataHub,human-precovid-sed-adu,data/live/volcano_motrpac_human_plasma_endur_post.csv,PS P-36:1 or PS O-36:2 [metab-u-hilicpos]; PS P-36:2 or PS O-36:3 [metab-u-hilicpos],FDR<0.05,"Glycerophosphoserines has 2/2 annotated rows significant at FDR<0.05; enrichment ratio=3.22, one-sided Fisher p=9.64e-02.",small_refmet_class_n
all,enrichment,main_class,Purines,refmet_hierarchy_annotation,accepted_curated,accepted_curated,73,28,12,16,0.3835616438356164,1503,467,1430,439,0.3107119095143047,1.2344607081047783,0.10705106901396674,Metabolomics Workbench;MoTrPAC DataHub,ST004303;human-precovid-sed-adu;pass1b06,data/live/volcano_human_ST004303.csv;data/live/volcano_motrpac_human_plasma_endur_post.csv;data/live/volcano_motrpac_pass1b06_plasma_8w.csv,"1-Methyluric acid [metab-u-hilicpos]; Xanthine [metab-u-hilicpos]; Xanthine [metab-u-ionpneg]; 1-Methyladenosine [metab-u-hilicpos]; Deoxyguanosine [metab-u-rppos]; 7-Methylxanthine [metab-u-hilicpos]; Theophylline; 1,3,7-trimethyl-2,3,6,7-tetrahydro-1H-purine-2,6-dione",FDR<0.05,"Purines has 28/73 annotated rows significant at FDR<0.05; enrichment ratio=1.23, one-sided Fisher p=1.07e-01.",
all,enrichment,main_class,Lysine alkaloids,refmet_hierarchy_annotation,accepted_curated,accepted_curated,3,2,0,2,0.6666666666666666,1503,467,1500,465,0.3107119095143047,2.1456102783725908,0.22947015445312186,Metabolomics Workbench;MoTrPAC DataHub,ST004303;human-precovid-sed-adu,data/live/volcano_human_ST004303.csv;data/live/volcano_motrpac_human_plasma_endur_post.csv,Piperine [metab-u-rppos]; Piperine [metab-u-hilicpos]; Piperidine,FDR<0.05,"Lysine alkaloids has 2/3 annotated rows significant at FDR<0.05; enrichment ratio=2.15, one-sided Fisher p=2.29e-01.",
all,enrichment,main_class,Quinones and hydroquinones,refmet_hierarchy_annotation,accepted_curated,accepted_curated,6,3,2,1,0.5,1503,467,1497,464,0.3107119095143047,1.6092077087794432,0.27549229217992083,Metabolomics Workbench;MoTrPAC DataHub,ST004303;human-precovid-sed-adu;pass1b06,data/live/volcano_human_ST004303.csv;data/live/volcano_motrpac_human_plasma_endur_post.csv;data/live/volcano_motrpac_pass1b06_plasma_8w.csv,alpha-Tocopherol [metab-u-rppos]; alpha-Tocoquinone [metab-u-hilicpos]; D-α-Tocopherol; alpha-tocopherol; alpha-Tocopherol [metab-u-rpneg],FDR<0.05,"Quinones and hydroquinones has 3/6 annotated rows significant at FDR<0.05; enrichment ratio=1.61, one-sided Fisher p=2.75e-01.",
all,enrichment,main_class,Amino acids and peptides,refmet_hierarchy_annotation,accepted_curated,accepted_curated,383,124,22,102,0.3237597911227154,1503,467,1120,343,0.3107119095143047,1.041993503334992,0.281690087574729,Metabolomics Workbench;MoTrPAC DataHub,ST004303;human-precovid-sed-adu;pass1b06,data/live/volcano_human_ST004303.csv;data/live/volcano_motrpac_human_plasma_endur_post.csv;data/live/volcano_motrpac_pass1b06_plasma_8w.csv,Alloisoleucine [metab-u-hilicpos]; Monoethylglycinexylidide [metab-u-hilicpos]; Tyrosine [metab-t-amines]; N-Acetyl-D-tryptophan [metab-u-hilicpos]; Threonine [metab-t-amines]; Proline [metab-t-amines]; Leucine [metab-u-hilicpos]; Tryptophan [metab-u-hilicpos],FDR<0.05,"Amino acids and peptides has 124/383 annotated rows significant at FDR<0.05; enrichment ratio=1.04, one-sided Fisher p=2.82e-01.",
all,enrichment,main_class,Benzamides,refmet_hierarchy_annotation,accepted_curated,accepted_curated,9,4,0,4,0.4444444444444444,1503,467,1494,463,0.3107119095143047,1.430406852248394,0.2947937604000729,Metabolomics Workbench;MoTrPAC DataHub,ST004303;human-precovid-sed-adu;pass1b06,data/live/volcano_human_ST004303.csv;data/live/volcano_motrpac_human_plasma_endur_post.csv;data/live/volcano_motrpac_pass1b06_plasma_8w.csv,Hippuric acid [metab-u-rppos]; Hippuric acid [metab-u-hilicpos]; p-Methylhippuric acid [metab-u-hilicpos]; Hippuric acid; hippuric acid; 4-Aminohippuric acid [metab-u-hilicpos]; 4-aminohippurate,FDR<0.05,"Benzamides has 4/9 annotated rows significant at FDR<0.05; enrichment ratio=1.43, one-sided Fisher p=2.95e-01.",
all,enrichment,main_class,Flavins,refmet_hierarchy_annotation,accepted_curated,accepted_curated,1,1,0,1,1.0,1503,467,1502,466,0.3107119095143047,3.2184154175588864,0.31071190951442895,MoTrPAC DataHub,human-precovid-sed-adu,data/live/volcano_motrpac_human_plasma_endur_post.csv,FAD [metab-u-ionpneg],FDR<0.05,"Flavins has 1/1 annotated rows significant at FDR<0.05; enrichment ratio=3.22, one-sided Fisher p=3.11e-01.",small_refmet_class_n
all,enrichment,main_class,Hydroxy acids,refmet_hierarchy_annotation,accepted_curated,accepted_curated,1,1,1,0,1.0,1503,467,1502,466,0.3107119095143047,3.2184154175588864,0.31071190951442895,MoTrPAC DataHub,human-precovid-sed-adu,data/live/volcano_motrpac_human_plasma_endur_post.csv,Citramalic acid [metab-u-rpneg],FDR<0.05,"Hydroxy acids has 1/1 annotated rows significant at FDR<0.05; enrichment ratio=3.22, one-sided Fisher p=3.11e-01.",small_refmet_class_n
all,enrichment,main_class,Isoquinolones,refmet_hierarchy_annotation,accepted_curated,accepted_curated,1,1,0,1,1.0,1503,467,1502,466,0.3107119095143047,3.2184154175588864,0.31071190951442895,MoTrPAC DataHub,human-precovid-sed-adu,data/live/volcano_motrpac_human_plasma_endur_post.csv,"isoquinoline-1,5-diol [metab-u-hilicpos]",FDR<0.05,"Isoquinolones has 1/1 annotated rows significant at FDR<0.05; enrichment ratio=3.22, one-sided Fisher p=3.11e-01.",small_refmet_class_n
all,enrichment,main_class,Carboxylic acids,refmet_hierarchy_annotation,accepted_curated,accepted_curated,4,2,0,2,0.5,1503,467,1499,465,0.3107119095143047,1.6092077087794432,0.3671984879626291,Metabolomics Workbench,ST004303,data/live/volcano_human_ST004303.csv,Acetohydroxamic acid; Lactamide; trans-Aconitic acid; Trifluoroacetic acid,FDR<0.05,"Carboxylic acids has 2/4 annotated rows significant at FDR<0.05; enrichment ratio=1.61, one-sided Fisher p=3.67e-01.",
all,enrichment,main_class,Phosphate esters,refmet_hierarchy_annotation,accepted_curated,accepted_curated,4,2,1,1,0.5,1503,467,1499,465,0.3107119095143047,1.6092077087794432,0.3671984879626291,MoTrPAC DataHub,human-precovid-sed-adu;pass1b06,data/live/volcano_motrpac_human_plasma_endur_post.csv;data/live/volcano_motrpac_pass1b06_plasma_8w.csv,Acetylphosphate [metab-u-ionpneg]; Phosphoethanolamine [metab-t-amines]; phosphoethanolamine,FDR<0.05,"Phosphate esters has 2/4 annotated rows significant at FDR<0.05; enrichment ratio=1.61, one-sided Fisher p=3.67e-01.",
all,enrichment,main_class,Carnitines,refmet_hierarchy_annotation,accepted_curated,accepted_curated,7,3,0,3,0.42857142857142855,1503,467,1496,464,0.3107119095143047,1.3793208932395227,0.37724169373371974,Metabolomics Workbench;MoTrPAC DataHub,ST004303;human-precovid-sed-adu;pass1b06,data/live/volcano_human_ST004303.csv;data/live/volcano_motrpac_human_plasma_endur_post.csv;data/live/volcano_motrpac_pass1b06_plasma_8w.csv,Carnitine [metab-u-hilicpos]; carnitine [metab-u-lrppos]; D-Carnitine; carnitine; L-Carnitine; Carnitine [metab-u-rppos],FDR<0.05,"Carnitines has 3/7 annotated rows significant at FDR<0.05; enrichment ratio=1.38, one-sided Fisher p=3.77e-01.",
