record_key,source_system,source_subset,doi,pmid,pmcid,preprint_server,title,authors,journal,publication_year,publication_types,is_preprint,is_open_access,cited_by_count,linked_published_doi,preprint_version_count,record_url,queried_expression,source_url,retrieved_via
doi:10.1002/acn3.627,europe_pmc,MED,10.1002/acn3.627,30250866,PMC6144442,,"Seizures, periodic and rhythmic patterns in primary intraventricular hemorrhage","Stretz C, Sheikh Z, Maciel CB, Hirsch LJ, Gilmore EJ.",Annals of clinical and translational neurology,2018,journal article; research-article,false,true,4,,,https://europepmc.org/article/MED/30250866,"(""N-Lactoyl phenylalanine"" OR ""Lac-Phe"" OR ""N-lactoylphenylalanine"" OR ""lactoylphenylalanine"" OR ""N-lactoyl-phenylalanine"")",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%22N-Lactoyl+phenylalanine%22+OR+%22Lac-Phe%22+OR+%22N-lactoylphenylalanine%22+OR+%22lactoylphenylalanine%22+OR+%22N-lactoyl-phenylalanine%22%29&format=json&resultType=core&pageSize=100&cursorMark=AoIIP8mECig1MzA0MzQ4OA%3D%3D,europe_pmc_rest_search
doi:10.1002/adhm.202402329,europe_pmc,MED,10.1002/adhm.202402329,39529517,,,"Bilayer Scaffolds Synergize Immunomodulation and Rejuvenation via Layer-Specific Release of CK2.1 and the ""Exercise Hormone"" Lac-Phe for Enhanced Osteochondral Regeneration","Liu PL, He SH, Shen ZH, Li XR, Deng QS, Wei ZY, Zhang CR, Dou XQ, Zhu TH, Dawes H, Lu J, Guo SC, Tao SC.",Advanced healthcare materials,2025,"journal article; research support, non-u.s. gov't",false,false,2,,,https://europepmc.org/article/MED/39529517,"(""N-Lactoyl phenylalanine"" OR ""Lac-Phe"" OR ""N-lactoylphenylalanine"" OR ""lactoylphenylalanine"" OR ""N-lactoyl-phenylalanine"")",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%22N-Lactoyl+phenylalanine%22+OR+%22Lac-Phe%22+OR+%22N-lactoylphenylalanine%22+OR+%22lactoylphenylalanine%22+OR+%22N-lactoyl-phenylalanine%22%29&format=json&resultType=core&pageSize=100&cursorMark=%2A,europe_pmc_rest_search
doi:10.1002/advs.202501820,europe_pmc,MED,10.1002/advs.202501820,40884288,PMC12499479,,Cardiovascular Disease Meets Cancer: Exploring the Epidemiology in China and Homotherapy Targeting Intersectional Mechanisms,"Xiang S, Shan Y, Xu S, Wang J, Luo M, Zhou J, Chen Q.","Advanced science (Weinheim, Baden-Wurttemberg, Germany)",2025,journal article; review; review-article,false,true,1,,,https://europepmc.org/article/MED/40884288,"(""N-Lactoyl phenylalanine"" OR ""Lac-Phe"" OR ""N-lactoylphenylalanine"" OR ""lactoylphenylalanine"" OR ""N-lactoyl-phenylalanine"")",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%22N-Lactoyl+phenylalanine%22+OR+%22Lac-Phe%22+OR+%22N-lactoylphenylalanine%22+OR+%22lactoylphenylalanine%22+OR+%22N-lactoyl-phenylalanine%22%29&format=json&resultType=core&pageSize=100&cursorMark=AoIIP8mECig1MzA0MzQ4OA%3D%3D,europe_pmc_rest_search
doi:10.1002/advs.202512020,europe_pmc,MED,10.1002/advs.202512020,41354462,PMC12866873,,Multi-Omics Reveal the Dysregulated Gut-Joint Axis in Knee Synovitis: Data from Two Osteoarthritis Studies in China,"Wang X, Liu Y, Sun Z, Li J, Lu Z, Huang J, Hu S, Cao P, Cao X, Li S, Ruan J, Liu J, Xie J, Sun H, Chen T, Li S, Zhu Z, Wen Z, Tuan RS, Hunter DJ, Li ZA, Shi D, Ding C.","Advanced science (Weinheim, Baden-Wurttemberg, Germany)",2026,journal article; research-article,false,true,3,,,https://europepmc.org/article/MED/41354462,"(""N-Lactoyl phenylalanine"" OR ""Lac-Phe"" OR ""N-lactoylphenylalanine"" OR ""lactoylphenylalanine"" OR ""N-lactoyl-phenylalanine"")",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%22N-Lactoyl+phenylalanine%22+OR+%22Lac-Phe%22+OR+%22N-lactoylphenylalanine%22+OR+%22lactoylphenylalanine%22+OR+%22N-lactoyl-phenylalanine%22%29&format=json&resultType=core&pageSize=100&cursorMark=AoIIQG6ytCg1MTU3MDY0Nw%3D%3D,europe_pmc_rest_search
doi:10.1002/ansa.202300003,europe_pmc,MED,10.1002/ansa.202300003,38715927,PMC10989560,,Mass Sportrometry: An annual look back at applications of mass spectrometry in sport and exercise science,"Ong ML, Green CG, Rowland SN, Heaney LM.",Analytical science advances,2023,journal article; review; review-article,false,true,8,,,https://europepmc.org/article/MED/38715927,"(""N-Lactoyl phenylalanine"" OR ""Lac-Phe"" OR ""N-lactoylphenylalanine"" OR ""lactoylphenylalanine"" OR ""N-lactoyl-phenylalanine"")",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%22N-Lactoyl+phenylalanine%22+OR+%22Lac-Phe%22+OR+%22N-lactoylphenylalanine%22+OR+%22lactoylphenylalanine%22+OR+%22N-lactoyl-phenylalanine%22%29&format=json&resultType=core&pageSize=100&cursorMark=AoIIQG6ytCg1MTU3MDY0Nw%3D%3D,europe_pmc_rest_search
doi:10.1002/bit.27755,europe_pmc,MED,10.1002/bit.27755,33738790,PMC8453549,,Lactoyl leucine and isoleucine are bioavailable alternatives for canonical amino acids in cell culture media,"Schmidt C, Wehsling M, Le Mignon M, Wille G, Rey Y, Schnellbaecher A, Zabezhinsky D, Fischer M, Zimmer A.",Biotechnology and bioengineering,2021,"journal article; research support, non-u.s. gov't; research-article",false,true,15,,,https://europepmc.org/article/MED/33738790,"(""N-Lactoyl phenylalanine"" OR ""Lac-Phe"" OR ""N-lactoylphenylalanine"" OR ""lactoylphenylalanine"" OR ""N-lactoyl-phenylalanine"")",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%22N-Lactoyl+phenylalanine%22+OR+%22Lac-Phe%22+OR+%22N-lactoylphenylalanine%22+OR+%22lactoylphenylalanine%22+OR+%22N-lactoyl-phenylalanine%22%29&format=json&resultType=core&pageSize=100&cursorMark=AoIIP8mECig1MzA0MzQ4OA%3D%3D,europe_pmc_rest_search
doi:10.1002/cpt.70205,europe_pmc,MED,10.1002/cpt.70205,41556311,PMC12997503,,Untargeted Metabolomics Identifies N-Lactoyl-Amino Acids as Dose-Responsive Plasma Biomarkers of Metformin Adherence in Type 2 Diabetes,"Cajka T, Hricko J, Rudl Kulhava L, Paucova M, Novakova M, Hola V, Rakusanova S, Fiehn O, Skop V, Lankova I, Miskova I, Pelikanova T, Haluzik M.",Clinical pharmacology and therapeutics,2026,"journal article; research support, non-u.s. gov't; research-article",false,true,,,,https://europepmc.org/article/MED/41556311,"(""N-Lactoyl phenylalanine"" OR ""Lac-Phe"" OR ""N-lactoylphenylalanine"" OR ""lactoylphenylalanine"" OR ""N-lactoyl-phenylalanine"")",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%22N-Lactoyl+phenylalanine%22+OR+%22Lac-Phe%22+OR+%22N-lactoylphenylalanine%22+OR+%22lactoylphenylalanine%22+OR+%22N-lactoyl-phenylalanine%22%29&format=json&resultType=core&pageSize=100&cursorMark=%2A,europe_pmc_rest_search
doi:10.1002/dmrr.70060,europe_pmc,MED,10.1002/dmrr.70060,40534243,PMC12177442,,N-Lactoyl Amino Acids: Emerging Biomarkers in Metabolism and Disease,"Naja K, Hedaya L, Elashi AA, Rizzo M, Elrayess MA.",Diabetes/metabolism research and reviews,2025,"journal article; research support, non-u.s. gov't; review; review-article",false,true,5,,,https://europepmc.org/article/MED/40534243,"(""N-Lactoyl phenylalanine"" OR ""Lac-Phe"" OR ""N-lactoylphenylalanine"" OR ""lactoylphenylalanine"" OR ""N-lactoyl-phenylalanine"")",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%22N-Lactoyl+phenylalanine%22+OR+%22Lac-Phe%22+OR+%22N-lactoylphenylalanine%22+OR+%22lactoylphenylalanine%22+OR+%22N-lactoyl-phenylalanine%22%29&format=json&resultType=core&pageSize=100&cursorMark=%2A,europe_pmc_rest_search
doi:10.1002/dmrr.70060/v1/review1,crossref,peer-review,10.1002/dmrr.70060/v1/review1,,,,"Review for ""N-Lactoyl Amino Acids: Emerging Biomarkers in Metabolism and Disease""",,,2025,peer-review,false,,,,,https://doi.org/10.1002/dmrr.70060/v1/review1,N-Lactoyl phenylalanine,https://api.crossref.org/works?query.bibliographic=N-Lactoyl+phenylalanine&rows=50&sort=relevance,crossref_rest_works
doi:10.1002/dmrr.70060/v1/review1,crossref,peer-review,10.1002/dmrr.70060/v1/review1,,,,"Review for ""N-Lactoyl Amino Acids: Emerging Biomarkers in Metabolism and Disease""",,,2025,peer-review,false,,,,,https://doi.org/10.1002/dmrr.70060/v1/review1,N-lactoyl-phenylalanine,https://api.crossref.org/works?query.bibliographic=N-lactoyl-phenylalanine&rows=50&sort=relevance,crossref_rest_works
