record_key,screen_class,evidence_tier,species_scope,species_basis,screen_basis,review_status,title,authors,journal,publication_year,publication_types,is_preprint,has_preprint_version,linked_published_doi,doi,pmid,pmcid,cited_by_count,abstract_available,human_evidence,exercise_evidence,metabolomics_evidence,genetics_evidence,cpet_evidence,actigraphy_evidence,body_composition_evidence,diet_evidence,intervention_design,subject_term_evidence,homonym_risk,data_availability_evidence,accessions_in_record_text,source_systems,cross_source_conflicts,record_url,source_urls
doi:10.1038/s41586-022-04828-5,direct_human_exercise,peer_reviewed_primary,human_and_animal,title_abstract_text,tier=peer_reviewed_primary; species_basis=title_abstract_text; text_basis=text_with_abstract,requires_human_review,An exercise-inducible metabolite that suppresses feeding and obesity,"Li VL, He Y, Contrepois K, Liu H, Kim JT, Kim JT, Wiggenhorn AL, Tanzo JT, Tung AS, Lyu X, Zushin PH, Jansen RS, Michael B, Loh KY, Yang AC, Carl CS, Voldstedlund CT, Wei W, Terrell SM, Moeller BC, Arthur RM, Wallis GA, van de Wetering K, Stahl A, Kiens B, Richter EA, Banik SM, Snyder MP, Xu Y, Long JZ.",Nature,2022,journal article; research-article,false,false,,10.1038/s41586-022-04828-5,35705806,PMC9767481,251,true,yes:text_inference,yes:text_inference,yes:text_inference,yes:text_inference,no_signal:text_inference,no_signal:text_inference,yes:text_inference,yes:text_inference,not_stated_in_retrieved_text,subject_name_in_abstract,no_homonym_signal,no_accession_in_retrieved_text,,europe_pmc,,https://europepmc.org/article/MED/35705806,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%22N-Lactoyl+phenylalanine%22+OR+%22Lac-Phe%22+OR+%22N-lactoylphenylalanine%22+OR+%22lactoylphenylalanine%22+OR+%22N-lactoyl-phenylalanine%22%29&format=json&resultType=core&pageSize=100&cursorMark=%2A
doi:10.1073/pnas.1424638112,direct_human_exercise,peer_reviewed_primary,human,title_abstract_text,tier=peer_reviewed_primary; species_basis=title_abstract_text; text_basis=text_with_abstract,requires_human_review,N-lactoyl-amino acids are ubiquitous metabolites that originate from CNDP2-mediated reverse proteolysis of lactate and amino acids,"Jansen RS, Addie R, Merkx R, Fish A, Mahakena S, Bleijerveld OB, Altelaar M, IJlst L, Wanders RJ, Borst P, van de Wetering K.",Proceedings of the National Academy of Sciences of the United States of America,2015,"journal article; research support, non-u.s. gov't; research-article",false,false,,10.1073/pnas.1424638112,25964343,PMC4450436,143,true,yes:text_inference,yes:text_inference,yes:text_inference,no_signal:text_inference,no_signal:text_inference,no_signal:text_inference,no_signal:text_inference,no_signal:text_inference,not_stated_in_retrieved_text,subject_name_absent_from_title_and_abstract,not_assessed_subject_name_not_located,no_accession_in_retrieved_text,,europe_pmc,,https://europepmc.org/article/MED/25964343,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%22N-Lactoyl+phenylalanine%22+OR+%22Lac-Phe%22+OR+%22N-lactoylphenylalanine%22+OR+%22lactoylphenylalanine%22+OR+%22N-lactoyl-phenylalanine%22%29&format=json&resultType=core&pageSize=100&cursorMark=AoIIP8mECig1MzA0MzQ4OA%3D%3D
doi:10.1101/2022.09.07.22279536,direct_human_exercise,peer_reviewed_primary,human_and_animal,title_abstract_text,tier=peer_reviewed_primary; species_basis=title_abstract_text; text_basis=text_with_abstract,requires_human_review,Exercise-Induced N-Lactoylphenylalanine Predicts Adipose Tissue Loss during Endurance Training in Overweight and Obese Humans,"Hoene M, Zhao X, Machann J, Birkenfeld A, Heni M, Peter A, Niess A, Moller A, Lehmann R, Xu G, Weigert C",Metabolites,2022,journal-article,false,true,10.3390/metabo13010015,10.3390/metabo13010015,36676940,PMC9863672,30,true,yes:text_inference,yes:text_inference,yes:text_inference,no_signal:text_inference,no_signal:text_inference,no_signal:text_inference,no_signal:text_inference,yes:text_inference,interventional_exercise_bout_or_program,subject_name_in_title,no_homonym_signal,no_accession_in_retrieved_text,,crossref; europe_pmc,title: exercise-induced n-lactoylphenylalanine predicts adipose tissue loss during endurance training in overweight and obese humans != increased levels of n-lactoylphenylalanine after exercise are related to adipose tissue loss during endurance training in humans with overweight and obesity,https://doi.org/10.3390/metabo13010015,https://api.crossref.org/works?query.bibliographic=N-lactoylphenylalanine&rows=50&sort=relevance; https://api.crossref.org/works?query.bibliographic=lactoylphenylalanine&rows=50&sort=relevance; https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%22N-Lactoyl+phenylalanine%22+OR+%22Lac-Phe%22+OR+%22N-lactoylphenylalanine%22+OR+%22lactoylphenylalanine%22+OR+%22N-lactoyl-phenylalanine%22%29&format=json&resultType=core&pageSize=100&cursorMark=%2A
doi:10.1007/s11306-025-02260-0,direct_human_exercise,peer_reviewed_primary,human,title_abstract_text,tier=peer_reviewed_primary; species_basis=title_abstract_text; text_basis=text_with_abstract,requires_human_review,Exercise intensity determines circulating levels of Lac-Phe and other exerkines: a randomized crossover trial,"Weber D, Ferrario P, Bub A",Metabolomics,2025,journal-article,false,false,,10.1007/s11306-025-02260-0,40335829,PMC12058925,23,true,yes:text_inference,yes:text_inference,yes:text_inference,no_signal:text_inference,no_signal:text_inference,no_signal:text_inference,no_signal:text_inference,no_signal:text_inference,randomized_controlled_trial,subject_name_in_title,no_homonym_signal,no_accession_in_retrieved_text,,crossref; europe_pmc,journal: metabolomics != metabolomics : official journal of the metabolomic society,https://doi.org/10.1007/s11306-025-02260-0,https://api.crossref.org/works?query.bibliographic=Lac-Phe&rows=50&sort=relevance; https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%22N-Lactoyl+phenylalanine%22+OR+%22Lac-Phe%22+OR+%22N-lactoylphenylalanine%22+OR+%22lactoylphenylalanine%22+OR+%22N-lactoyl-phenylalanine%22%29&format=json&resultType=core&pageSize=100&cursorMark=%2A
doi:10.1016/j.mcpro.2023.100601,direct_human_exercise,peer_reviewed_primary,human,title_abstract_text,tier=peer_reviewed_primary; species_basis=title_abstract_text; text_basis=text_with_abstract,requires_human_review,Plasma Proteomic Kinetics in Response to Acute Exercise,"Mi MY, Barber JL, Rao P, Farrell LA, Sarzynski MA, Bouchard C, Robbins JM, Gerszten RE.",Molecular & cellular proteomics : MCP,2023,"journal article; research support, n.i.h., extramural; research-article",false,false,,10.1016/j.mcpro.2023.100601,37343698,PMC10460691,22,true,yes:text_inference,yes:text_inference,no_signal:text_inference,yes:text_inference,no_signal:text_inference,no_signal:text_inference,yes:text_inference,no_signal:text_inference,interventional_exercise_bout_or_program,subject_name_absent_from_title_and_abstract,not_assessed_subject_name_not_located,no_accession_in_retrieved_text,,europe_pmc,,https://europepmc.org/article/MED/37343698,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%22N-Lactoyl+phenylalanine%22+OR+%22Lac-Phe%22+OR+%22N-lactoylphenylalanine%22+OR+%22lactoylphenylalanine%22+OR+%22N-lactoyl-phenylalanine%22%29&format=json&resultType=core&pageSize=100&cursorMark=AoIIQG6ytCg1MTU3MDY0Nw%3D%3D
doi:10.3389/fphys.2023.1143966,direct_human_exercise,peer_reviewed_primary,human,title_abstract_text,tier=peer_reviewed_primary; species_basis=title_abstract_text; text_basis=text_with_abstract,requires_human_review,Distinct microRNA and protein profiles of extracellular vesicles secreted from myotubes from morbidly obese donors with type 2 diabetes in response to electrical pulse stimulation,"Aas V, Øvstebø R, Brusletto BS, Aspelin T, Trøseid AS, Qureshi S, Eid DSO, Olstad OK, Nyman TA, Haug KBF.",Frontiers in physiology,2023,journal article; research-article,false,false,,10.3389/fphys.2023.1143966,37064893,PMC10098097,18,true,yes:text_inference,yes:text_inference,yes:text_inference,no_signal:text_inference,no_signal:text_inference,no_signal:text_inference,no_signal:text_inference,no_signal:text_inference,not_stated_in_retrieved_text,subject_name_in_abstract,mixed_material_and_biological_context,no_accession_in_retrieved_text,,europe_pmc,,https://europepmc.org/article/MED/37064893,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%22N-Lactoyl+phenylalanine%22+OR+%22Lac-Phe%22+OR+%22N-lactoylphenylalanine%22+OR+%22lactoylphenylalanine%22+OR+%22N-lactoyl-phenylalanine%22%29&format=json&resultType=core&pageSize=100&cursorMark=AoIIQG6ytCg1MTU3MDY0Nw%3D%3D
doi:10.3389/fendo.2023.1289574,direct_human_exercise,peer_reviewed_primary,human_and_animal,title_abstract_text,tier=peer_reviewed_primary; species_basis=title_abstract_text; text_basis=text_with_abstract,requires_human_review,The effect of blood flow restriction exercise on N-lactoylphenylalanine and appetite regulation in obese adults: a cross-design study,"Li S, Guo R, Wang J, Zheng X, Zhao S, Zhang Z, Yu W, Li S, Zheng P",Frontiers in Endocrinology,2023,journal-article,false,false,,10.3389/fendo.2023.1289574,38116312,PMC10728722,13,true,yes:text_inference,yes:text_inference,yes:text_inference,no_signal:text_inference,no_signal:text_inference,no_signal:text_inference,no_signal:text_inference,no_signal:text_inference,not_stated_in_retrieved_text,subject_name_in_title,no_homonym_signal,no_accession_in_retrieved_text,,crossref; europe_pmc,,https://doi.org/10.3389/fendo.2023.1289574,https://api.crossref.org/works?query.bibliographic=N-lactoylphenylalanine&rows=50&sort=relevance; https://api.crossref.org/works?query.bibliographic=lactoylphenylalanine&rows=50&sort=relevance; https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%22N-Lactoyl+phenylalanine%22+OR+%22Lac-Phe%22+OR+%22N-lactoylphenylalanine%22+OR+%22lactoylphenylalanine%22+OR+%22N-lactoyl-phenylalanine%22%29&format=json&resultType=core&pageSize=100&cursorMark=%2A
doi:10.1038/s41467-024-51174-3,direct_human_exercise,peer_reviewed_primary,human_and_animal,title_abstract_text,tier=peer_reviewed_primary; species_basis=title_abstract_text; text_basis=text_with_abstract,requires_human_review,SLC17A1/3 transporters mediate renal excretion of Lac-Phe in mice and humans,"Li VL, Xiao S, Schlosser P, Scherer N, Wiggenhorn AL, Spaas J, Tung AS, Karoly ED, Köttgen A, Long JZ.",Nature communications,2024,"journal article; research support, n.i.h., extramural; research support, non-u.s. gov't; research-article",false,false,,10.1038/s41467-024-51174-3,39134528,PMC11319466,11,true,yes:text_inference,yes:text_inference,yes:text_inference,yes:text_inference,no_signal:text_inference,no_signal:text_inference,no_signal:text_inference,yes:text_inference,preclinical_experiment,subject_name_in_title,no_homonym_signal,no_accession_in_retrieved_text,,crossref; europe_pmc,,https://europepmc.org/article/MED/39134528,https://api.crossref.org/works?query.bibliographic=Lac-Phe&rows=50&sort=relevance; https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%22N-Lactoyl+phenylalanine%22+OR+%22Lac-Phe%22+OR+%22N-lactoylphenylalanine%22+OR+%22lactoylphenylalanine%22+OR+%22N-lactoyl-phenylalanine%22%29&format=json&resultType=core&pageSize=100&cursorMark=%2A
doi:10.1016/j.jcmgh.2025.101558,direct_human_exercise,peer_reviewed_primary,human_and_animal,title_abstract_text,tier=peer_reviewed_primary; species_basis=title_abstract_text; text_basis=text_with_abstract,requires_human_review,Exercise-induced Metabolite N-lactoyl-phenylalanine Ameliorates Colitis by Inhibiting M1 Macrophage Polarization via the Suppression of the NF-κB Signaling Pathway,"Yu R, Zhang C, Yuan M, Ye S, Hu T, Chen S, Liang G, Liu J, Ke H, Huang J, Lan P, He X, Wu X.",Cellular and molecular gastroenterology and hepatology,2025,journal article; research-article,false,false,,10.1016/j.jcmgh.2025.101558,40562095,PMC12391280,10,true,yes:text_inference,yes:text_inference,yes:text_inference,no_signal:text_inference,no_signal:text_inference,no_signal:text_inference,no_signal:text_inference,no_signal:text_inference,not_stated_in_retrieved_text,subject_name_in_title,mixed_material_and_biological_context,no_accession_in_retrieved_text,,crossref; europe_pmc,,https://europepmc.org/article/MED/40562095,https://api.crossref.org/works?query.bibliographic=N-Lactoyl+phenylalanine&rows=50&sort=relevance; https://api.crossref.org/works?query.bibliographic=N-lactoyl-phenylalanine&rows=50&sort=relevance; https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%22N-Lactoyl+phenylalanine%22+OR+%22Lac-Phe%22+OR+%22N-lactoylphenylalanine%22+OR+%22lactoylphenylalanine%22+OR+%22N-lactoyl-phenylalanine%22%29&format=json&resultType=core&pageSize=100&cursorMark=%2A
doi:10.1016/j.jnutbio.2023.109269,direct_human_exercise,peer_reviewed_primary,human_and_animal,title_abstract_text,tier=peer_reviewed_primary; species_basis=title_abstract_text; text_basis=text_with_abstract,requires_human_review,"Trans-10, cis-12 conjugated linoleic acid- and caloric restriction-mediated upregulation of CNDP2 expression in white adipose tissue in rodents, with implications in feeding and obesity","Berkel C, Cacan E.",The Journal of nutritional biochemistry,2023,journal article,false,false,,10.1016/j.jnutbio.2023.109269,36641073,,9,true,yes:text_inference,yes:text_inference,yes:text_inference,no_signal:text_inference,no_signal:text_inference,no_signal:text_inference,yes:text_inference,yes:text_inference,not_stated_in_retrieved_text,subject_name_in_abstract,no_homonym_signal,no_accession_in_retrieved_text,,europe_pmc,,https://europepmc.org/article/MED/36641073,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%22N-Lactoyl+phenylalanine%22+OR+%22Lac-Phe%22+OR+%22N-lactoylphenylalanine%22+OR+%22lactoylphenylalanine%22+OR+%22N-lactoyl-phenylalanine%22%29&format=json&resultType=core&pageSize=100&cursorMark=%2A
