study_id,analysis_id,analysis_summary,analysis_type,chromatography_type,ms_instrument_type,ion_mode,units,assay_scope,assay_scope_basis,chromatography system,column_name,ms_instrument_name,ms_type,nmr_experiment_type,nmr_instrument_type,nmr_solvent,spectrometer_frequency
ST000001,AN000001,GCMS positive ion mode,MS,GC,GC-TOF,POSITIVE,Peak height,unclassified_or_other,no explicit targeted/untargeted label,Agilent 6890N,,Leco Pegasus III GC TOF,EI,,,,
ST000002,AN000002,GCMS positive ion mode,MS,GC,GC-TOF,POSITIVE,Peak height,unclassified_or_other,no explicit targeted/untargeted label,Agilent 6890N,,Leco Pegasus III GC TOF,EI,,,,
ST000003,AN000003,LC/MS positive ion mode,MS,HILIC,QTOF,POSITIVE,Peak height,unclassified_or_other,no explicit targeted/untargeted label,Agilent 1290 Infinity,"Waters Acquity BEH Amide (150 x 2.1mm,1.7um)",Agilent 6530 QTOF,ESI,,,,
ST000004,AN000004,Fatty acid/eicosanoid MS quantitative analysis with deuterated standards,MS,,-,UNSPECIFIED,pmol/ml,unclassified_or_other,no explicit targeted/untargeted label,,,-,ESI,,,,
ST000004,AN000005,Phospholipid MS quantitative analysis with odd-chain standards,MS,,-,UNSPECIFIED,pmol/ml,unclassified_or_other,no explicit targeted/untargeted label,,,-,ESI,,,,
ST000004,AN000006,Sphingolipid MS quantitative analysis with C12 standards,MS,,-,UNSPECIFIED,nmol/ml,unclassified_or_other,no explicit targeted/untargeted label,,,-,ESI,,,,
ST000004,AN000007,Sterol MS quantitative analysis with deuterated standards,MS,,-,UNSPECIFIED,nmol/ml,unclassified_or_other,no explicit targeted/untargeted label,,,-,ESI,,,,
ST000004,AN000008,Prenol/Cardiolipin MS quantitative analysis,MS,,-,UNSPECIFIED,pmol/ml,unclassified_or_other,no explicit targeted/untargeted label,,,-,ESI,,,,
ST000004,AN000009,Triacylglycerol MS quantitative analysis with deuterated standards,MS,,-,UNSPECIFIED,pmol/ml,unclassified_or_other,no explicit targeted/untargeted label,,,-,ESI,,,,
ST000004,AN000010,Diacylglycerol MS quantitative analysis with deuterated standards,MS,,-,UNSPECIFIED,pmol/ml,unclassified_or_other,no explicit targeted/untargeted label,,,-,ESI,,,,
