study_id,analysis_id,num_metabolites,num_samples,analysis_type,study_title
ST000001,AN000001,102,24,GCMS positive ion mode,Fatb Induction Experiment (FatBIE)
ST000002,AN000002,142,12,GCMS positive ion mode,Intestinal Samples II pre/post transplantation
ST000003,AN000003,51,18,LC/MS positive ion mode,"Metabolomic analysis of mouse embryonic fibroblasts, embryonic stem cells, and induced pluripotent stem cells"
ST000004,AN000004,107,1,Fatty acid/eicosanoid MS quantitative analysis with deuterated standards,Lipidomics studies on NIDDK / NIST human plasma samples
ST000004,AN000005,160,1,Phospholipid MS quantitative analysis with odd-chain standards,Lipidomics studies on NIDDK / NIST human plasma samples
ST000004,AN000006,154,1,Sphingolipid MS quantitative analysis with C12 standards,Lipidomics studies on NIDDK / NIST human plasma samples
ST000004,AN000007,14,1,Sterol MS quantitative analysis with deuterated standards,Lipidomics studies on NIDDK / NIST human plasma samples
ST000004,AN000008,7,1,Prenol/Cardiolipin MS quantitative analysis,Lipidomics studies on NIDDK / NIST human plasma samples
ST000004,AN000009,18,1,Triacylglycerol MS quantitative analysis with deuterated standards,Lipidomics studies on NIDDK / NIST human plasma samples
ST000004,AN000010,56,1,Diacylglycerol MS quantitative analysis with deuterated standards,Lipidomics studies on NIDDK / NIST human plasma samples
ST000004,AN000011,24,1,Cholesteryl Ester MS quantitative analysis with deuterated standards,Lipidomics studies on NIDDK / NIST human plasma samples
ST000005,AN000012,546,116,Combined analysis,Timecourse on RAW 264.7 cells treated with Kdo2-Lipid A and compactin
ST000006,AN000020,108,102,GCMS positive ion mode,White Wine Study
ST000007,AN000021,155,60,GCMS positive ion mode,Rice Infection Study
ST000009,AN000023,248,114,LC/Electro-spray /QTOF positive ion mode,Mixed meal tolerance
ST000009,AN000024,172,114,LC/Electro-spray /QTOF negative ion mode,Mixed meal tolerance
ST000010,AN000025,250,39,LC/Electro-spray /QTOF positive ion mode,Lung Cancer Cells 4
ST000010,AN000026,176,39,LC/Electro-spray /QTOF negative ion mode,Lung Cancer Cells 4
ST000011,AN000027,127,40,LC/Electro-spray /QTOF positive ion mode,African Metabolomics
ST000011,AN000028,135,40,LC/Electro-spray /QTOF negative ion mode,African Metabolomics
ST000012,AN000029,81,32,GCMS positive ion mode,Extraction Optimization Study
ST000013,AN000030,112,90,GCMS positive ion mode,Mutation Study
ST000014,AN000031,64,72,GCMS positive ion mode,Skeletal Muscle Treatment (palmitate/palmitoyl carnitine)
ST000015,AN000032,51,125,GCMS positive ion mode,Skeletal Muscle Treatment (palmitate and inhibitors)
ST000016,AN000033,500,110,LC/MS positive ion mode,NPM-ALK metabolic regulation
ST000017,AN000034,423,42,LC/Electro-spray /QTOF positive ion mode,Rat HCR/LCR Stamina Study
ST000017,AN000035,246,42,LC/Electro-spray /QTOF negative ion mode,Rat HCR/LCR Stamina Study
ST000020,AN000039,24,88,1H NMR 950 MHz,Biomarker Discovery in Knee Osteoarthritis (I)
ST000025,AN000045,71,31,GCMS positive ion mode,Metabolomics Analysis of Thermally Challenged Mayfly Larvae (GCMS analysis)
ST000040,AN000060,280,16,MS positive ion mode,Heatshock response of C. elegans using IROA (I)
ST000040,AN000061,247,16,MS negative ion mode,Heatshock response of C. elegans using IROA (I)
ST000041,AN000062,193,35,MS negative ion mode,High PUFA diet in humans
ST000041,AN000063,534,35,MS positive ion mode,High PUFA diet in humans
ST000042,AN000064,343,23,MS positive ion mode,BALF Control vs ALI by RPLC-MS
ST000042,AN000065,261,23,MS negative ion mode,BALF Control vs ALI by RPLC-MS
ST000044,AN000068,778,6,MS positive ion mode,Pilot experiment looking for the existence of certain molecules in pancreatic cancer cells
ST000044,AN000069,473,6,MS negative ion mode,Pilot experiment looking for the existence of certain molecules in pancreatic cancer cells
ST000043,AN000070,313,30,MS positive ion mode,MDA-MB-231 cells and p38 gamma knockdown
ST000045,AN000072,69,21,MS positive ion mode/C18,Plasma metabolomics: Comparison of non-diabetic controls with T1D patients
ST000045,AN000073,5,21,MS positive ion mode/HILIC,Plasma metabolomics: Comparison of non-diabetic controls with T1D patients
ST000045,AN000074,16,21,MS negative ion mode/C18,Plasma metabolomics: Comparison of non-diabetic controls with T1D patients
ST000045,AN000075,69,21,MS negative ion mode/HILIC,Plasma metabolomics: Comparison of non-diabetic controls with T1D patients
ST000046,AN000076,476,45,MS positive ion mode/C18,"Identification of altered metabolic pathways in Alzheimer's disease, mild cognitive impairment and cognitively normals using Metabolomics (plasma)"
ST000046,AN000077,496,45,MS positive ion mode/HILIC,"Identification of altered metabolic pathways in Alzheimer's disease, mild cognitive impairment and cognitively normals using Metabolomics (plasma)"
ST000046,AN000078,340,45,MS negative ion mode/C18,"Identification of altered metabolic pathways in Alzheimer's disease, mild cognitive impairment and cognitively normals using Metabolomics (plasma)"
ST000046,AN000079,471,45,MS negative ion mode/HILIC,"Identification of altered metabolic pathways in Alzheimer's disease, mild cognitive impairment and cognitively normals using Metabolomics (plasma)"
ST000047,AN000080,557,45,MS positive ion mode/C18,"Identification of altered metabolic pathways in Alzheimer's disease, mild cognitive impairment and cognitively normals using Metabolomics (CSF)"
ST000047,AN000081,498,45,MS positive ion mode/HILIC,"Identification of altered metabolic pathways in Alzheimer's disease, mild cognitive impairment and cognitively normals using Metabolomics (CSF)"
ST000047,AN000082,250,45,MS negative ion mode/C18,"Identification of altered metabolic pathways in Alzheimer's disease, mild cognitive impairment and cognitively normals using Metabolomics (CSF)"
ST000047,AN000083,321,45,MS negative ion mode/HILIC,"Identification of altered metabolic pathways in Alzheimer's disease, mild cognitive impairment and cognitively normals using Metabolomics (CSF)"
ST000048,AN000084,141,117,GCMS positive ion mode,Metabolomic & lipidomic profiles in response to exogenous insulin & GLP-1 infusions during prolonged fasting (GCMS)
ST000051,AN000087,29,56,1H NMR 950 MHz,Fetal metabolomic signature of exposure to iAs during pregnancy
ST000054,AN000092,52,192,MS positive ion mode,Metabolic Microenvironments in Normal Breast and Breast Cancer (MS analysis)
ST000057,AN000095,181,75,MS positive ion mode,Combined Metabolomics and Lipidomics of Type 1 Diabetes (GCMS)
ST000058,AN000096,141,30,MS positive ion mode,Metabolite changes associated with methionine stress sensitivity of cancer (GC TOF MS analysis)
ST000061,AN000099,133,130,GCMS positive ion mode,Metabolic Profiling of Visceral and Subcutaneous Adipose Tissue from Colorectal Cancer Patients: GC-TOF MS analyis of subcutaneous and visceral adipose tissue samples
ST000062,AN000100,143,105,MS positive ion mode,Biomarkers for Depression in Human Plasma in a Population Sample
ST000063,AN000101,158,105,MS positive ion mode,Biomarkers for Depression in Human Cerebrospinal Fluid in a Population Sample
