Study ID,Latin name,Common name
ST000001,Arabidopsis thaliana,Arabidopsis thaliana
ST000002,Homo sapiens,Human
ST000003,Mus musculus,Mouse
ST000004,Homo sapiens,Human
ST000005,Mus musculus,Mouse
ST000006,Vitis vinifera,Vine
ST000007,Oryza sativa,Rice
ST000009,Homo sapiens,Human
ST000010,Homo sapiens,Human
ST000011,Homo sapiens,Human
ST000012,Chlamydomonas reinhardtii,Chlamydomonas reinhardtii
ST000013,Arabidopsis thaliana,Arabidopsis thaliana
ST000014,Mus musculus,Mouse
ST000015,Mus musculus,Mouse
ST000016,Homo sapiens,Human
ST000017,Rattus norvegicus,Rat
ST000020,Homo sapiens,Human
ST000022,Homo sapiens,Human
ST000025,Athorix diptoa,Athorix
ST000025,Centroptilum triangulifer,Mayfly
ST000026,Mus musculus,Mouse
ST000027,Mus musculus,Mouse
ST000028,Mus musculus,Mouse
ST000029,Mus musculus,Mouse
ST000030,Mus musculus,Mouse
ST000031,Mus musculus,Mouse
ST000032,Mus musculus,Mouse
ST000033,Mus musculus,Mouse
ST000034,Mus musculus,Mouse
ST000035,Mus musculus,Mouse
ST000036,Mus musculus,Mouse
ST000037,Mus musculus,Mouse
ST000038,Mus musculus,Mouse
ST000039,Mus musculus,Mouse
ST000040,Caenorhabditis elegans,C. elegans
ST000041,Homo sapiens,Human
ST000042,Homo sapiens,Human
ST000043,Homo sapiens,Human
ST000044,Homo sapiens,Human
ST000045,Homo sapiens,Human
ST000046,Homo sapiens,Human
ST000047,Homo sapiens,Human
ST000048,Mirounga angustirostris,Seal
ST000049,Athorix diptoa,Athorix
ST000049,Centroptilum triangulifer,Mayfly
ST000050,Homo sapiens,Human
ST000051,Homo sapiens,Human
ST000054,Homo sapiens,Human
ST000055,Mus musculus,Mouse
ST000056,Mus musculus,Mouse
ST000057,Mus musculus,Mouse
ST000058,Homo sapiens,Human
ST000061,Homo sapiens,Human
ST000062,Homo sapiens,Human
ST000063,Homo sapiens,Human
ST000065,Homo sapiens,Human
ST000069,Mus musculus,Mouse
ST000070,Mus musculus,Mouse
ST000071,Mus musculus,Mouse
ST000072,Macaca fascicularis,Macaque monkey
ST000073,Macaca fascicularis,Macaque monkey
ST000074,Mus musculus,Mouse
ST000075,Mus musculus,Mouse
ST000076,Homo sapiens,Human
ST000077,Homo sapiens,Human
ST000081,Homo sapiens,Human
ST000082,Homo sapiens,Human
ST000083,Mus musculus,Mouse
ST000084,Mus musculus,Mouse
ST000085,Salmonella typhimurium,Salmonella typhimurium
ST000087,Homo sapiens,Human
ST000089,Homo sapiens,Human
ST000090,Mus musculus,Mouse
ST000091,Homo sapiens,Human
ST000092,Homo sapiens,Human
ST000093,Homo sapiens,Human
