study_id,study_title,species,analysis_type,number_of_samples,submission_date,release_date,institute,license,license_url,revision_comment,revision_datetime,revision_no,study_url,version
ST000001,Fatb Induction Experiment (FatBIE),Arabidopsis thaliana,GC-MS,24,2013-01-15,2013-02-14,"University of California, Davis",CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST000,1
ST000002,Intestinal Samples II pre/post transplantation,Homo sapiens,GC-MS,12,2013-01-23,2013-02-22,"University of California, Davis",CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST000,1
ST000003,"Metabolomic analysis of mouse embryonic fibroblasts, embryonic stem cells, and induced pluripotent stem cells",Mus musculus,LC-MS,18,2013-01-16,2013-02-15,"University of California, Davis",CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST000,1
ST000004,Lipidomics studies on NIDDK / NIST human plasma samples,Homo sapiens,LC-MS,1,2013-02-20,2013-03-17,LIPID MAPS,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST000,1
ST000005,Timecourse on RAW 264.7 cells treated with Kdo2-Lipid A and compactin,Mus musculus,GC-MS/LC-MS,116,2013-02-20,2013-03-22,LIPID MAPS,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST000,1
ST000006,White Wine Study,Vitis vinifera,GC-MS,102,2013-02-21,2013-03-23,"University of California, Davis",CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST000,1
ST000007,Rice Infection Study,Oryza sativa Japonica Group,GC-MS,60,2013-02-22,2013-03-24,"University of California, Davis",CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST000,1
ST000009,Mixed meal tolerance,Homo sapiens,LC-MS,114,2013-03-27,2013-04-26,University of Michigan,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST000,1
ST000010,Lung Cancer Cells 4,Homo sapiens,LC-MS,39,2013-04-03,2013-05-03,University of Michigan,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST000,1
ST000011,African Metabolomics,Homo sapiens,LC-MS,40,2013-04-04,2013-05-04,University of Michigan,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST000,1
ST000012,Extraction Optimization Study,Chlamydomonas reinhardtii,GC-MS,32,2013-05-20,2013-06-19,"University of California, Davis",CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST000,1
ST000013,Mutation Study,Arabidopsis thaliana,GC-MS,90,2013-05-20,2013-06-19,"University of California, Davis",CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST000,1
ST000014,Skeletal Muscle Treatment (palmitate/palmitoyl carnitine),Mus musculus,GC-MS,72,2013-05-20,2013-06-19,"University of California, Davis",CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST000,1
ST000015,Skeletal Muscle Treatment (palmitate and inhibitors),Mus musculus,GC-MS,125,2013-05-20,2013-06-19,"University of California, Davis",CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST000,1
ST000016,NPM-ALK metabolic regulation,Homo sapiens,LC-MS,110,2013-09-24,2013-10-24,University of Michigan,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST000,1
ST000017,Rat HCR/LCR Stamina Study,Rattus norvegicus,LC-MS,42,2013-09-24,2013-10-24,University of Michigan,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST000,1
ST000019,Determine purity and quality of IROA labelled glucose,Caenorhabditis elegans,NMR,3,2013-12-10,2014-03-05,University of Florida,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST000,1
ST000020,Biomarker Discovery in Knee Osteoarthritis (I),Homo sapiens,NMR,88,2014-02-28,2018-08-27,University of North Carolina,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST000,1
ST000022,Biomarker Discovery in Knee Osteoarthritis (II),Homo sapiens,NMR,36,2014-03-04,2018-08-27,University of North Carolina,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST000,1
