study_id,analysis_id,analysis_display,study_title,subject_species,institute
ST000009,AN000023,LC/Electro-spray /QTOF positive ion mode,Mixed meal tolerance,Homo sapiens,University of Michigan
ST000009,AN000024,LC/Electro-spray /QTOF negative ion mode,Mixed meal tolerance,Homo sapiens,University of Michigan
ST000010,AN000025,LC/Electro-spray /QTOF positive ion mode,Lung Cancer Cells 4,Homo sapiens,University of Michigan
ST000010,AN000026,LC/Electro-spray /QTOF negative ion mode,Lung Cancer Cells 4,Homo sapiens,University of Michigan
ST000045,AN000072,MS positive ion mode/C18,Plasma metabolomics:  Comparison of non-diabetic controls with T1D patients,Homo sapiens,Mayo Clinic
ST000045,AN000073,MS positive ion mode/HILIC,Plasma metabolomics:  Comparison of non-diabetic controls with T1D patients,Homo sapiens,Mayo Clinic
ST000045,AN000074,MS negative ion mode/C18,Plasma metabolomics:  Comparison of non-diabetic controls with T1D patients,Homo sapiens,Mayo Clinic
ST000045,AN000075,MS negative ion mode/HILIC,Plasma metabolomics:  Comparison of non-diabetic controls with T1D patients,Homo sapiens,Mayo Clinic
ST000046,AN000076,MS positive ion mode/C18,"Identification of altered metabolic pathways in Alzheimer's disease, mild cognitive impairment and cognitively normals using Metabolomics (plasma)",Homo sapiens,Mayo Clinic
ST000046,AN000077,MS positive ion mode/HILIC,"Identification of altered metabolic pathways in Alzheimer's disease, mild cognitive impairment and cognitively normals using Metabolomics (plasma)",Homo sapiens,Mayo Clinic
ST000046,AN000078,MS negative ion mode/C18,"Identification of altered metabolic pathways in Alzheimer's disease, mild cognitive impairment and cognitively normals using Metabolomics (plasma)",Homo sapiens,Mayo Clinic
ST000046,AN000079,MS negative ion mode/HILIC,"Identification of altered metabolic pathways in Alzheimer's disease, mild cognitive impairment and cognitively normals using Metabolomics (plasma)",Homo sapiens,Mayo Clinic
ST000047,AN000080,MS positive ion mode/C18,"Identification of altered metabolic pathways in Alzheimer's disease, mild cognitive impairment and cognitively normals using Metabolomics (CSF)",Homo sapiens,Mayo Clinic
ST000047,AN000081,MS positive ion mode/HILIC,"Identification of altered metabolic pathways in Alzheimer's disease, mild cognitive impairment and cognitively normals using Metabolomics (CSF)",Homo sapiens,Mayo Clinic
ST000047,AN000082,MS negative ion mode/C18,"Identification of altered metabolic pathways in Alzheimer's disease, mild cognitive impairment and cognitively normals using Metabolomics (CSF)",Homo sapiens,Mayo Clinic
ST000047,AN000083,MS negative ion mode/HILIC,"Identification of altered metabolic pathways in Alzheimer's disease, mild cognitive impairment and cognitively normals using Metabolomics (CSF)",Homo sapiens,Mayo Clinic
ST000072,AN000113,ESI/QTOF positive ion mode,Effect of diet and age on ovarian metabolome (via tissue),Macaca fascicularis,University of North Carolina
ST000072,AN000114,ESI/QTOF negative ion mode,Effect of diet and age on ovarian metabolome (via tissue),Macaca fascicularis,University of North Carolina
ST000074,AN000117,ESI/QTOF positive ion mode,Genetic effects of high fat diet on mouse fecal metabolomics,Mus musculus,University of North Carolina
ST000074,AN000118,ESI/QTOF negative ion mode,Genetic effects of high fat diet on mouse fecal metabolomics,Mus musculus,University of North Carolina
ST000090,AN000143,MS positive ion mode,Caloric Restriction vs drugs,Mus musculus,University of Michigan
ST000090,AN000144,MS negative ion mode,Caloric Restriction vs drugs,Mus musculus,University of Michigan
ST000163,AN000255,HESI positive ion mode,Metabolomics of 50 healthy humans and common marmosets (MetabNet),Homo sapiens;Callithrix jacchus,Emory University
ST000232,AN000347,ESI positive ion mode,Untargeted metabolomic analysis of the small intestinal content of malnourished mice,Mus musculus,University of Victoria
ST000232,AN000348,ESI negative ion mode,Untargeted metabolomic analysis of the small intestinal content of malnourished mice,Mus musculus,University of Victoria
ST000235,AN000353,ESI positive ion mode,Sprague Dawley rats Nicotine alters brain oxidative metabolism,Rattus norvegicus,University of Florida
ST000235,AN000354,ESI negative ion mode,Sprague Dawley rats Nicotine alters brain oxidative metabolism,Rattus norvegicus,University of Florida
ST000239,AN000369,ESI positive ion mode,Sexual antagonism in exuded non-volatile metabolites in C. purpureus,Ceratodon purpureus,University of Florida
ST000239,AN000370,ESI Negative ion mode,Sexual antagonism in exuded non-volatile metabolites in C. purpureus,Ceratodon purpureus,University of Florida
ST000240,AN000371,HESI positive ion mode,Global LC-MS of Ozone Stress in Maize: GLCMS,Zea mays,University of Florida
ST000240,AN000372,HESI negative ion mode,Global LC-MS of Ozone Stress in Maize: GLCMS,Zea mays,University of Florida
ST000242,AN000375,C18 ESI positive ion mode,"Whole unconditioned medium (Defined culture media, M199),Whole M1 medium,Whole M2 medium",Homo sapiens,Mayo Clinic
ST000242,AN000376,C18 ESI negative ion mode,"Whole unconditioned medium (Defined culture media, M199),Whole M1 medium,Whole M2 medium",Homo sapiens,Mayo Clinic
ST000242,AN000377,HILIC ESI positive ion mode,"Whole unconditioned medium (Defined culture media, M199),Whole M1 medium,Whole M2 medium",Homo sapiens,Mayo Clinic
ST000242,AN000378,HILIC ESI negative ion mode,"Whole unconditioned medium (Defined culture media, M199),Whole M1 medium,Whole M2 medium",Homo sapiens,Mayo Clinic
ST000244,AN000381,ESI positive ion mode,Metabolomic Diagnosis in Horse,Equus caballus,University of Florida
