study_id,study_title,species,analysis_type,number_of_samples,submission_date,release_date,institute
ST000016,NPM-ALK metabolic regulation,Homo sapiens,LC-MS,110,2013-09-24,2013-10-24,University of Michigan
ST000046,"Identification of altered metabolic pathways in Alzheimer's disease, mild cognitive impairment and cognitively normals using Metabolomics (plasma)",Homo sapiens,LC-MS,45,2014-03-24,2014-04-25,Mayo Clinic
ST000047,"Identification of altered metabolic pathways in Alzheimer's disease, mild cognitive impairment and cognitively normals using Metabolomics (CSF)",Homo sapiens,LC-MS,45,2014-03-24,2014-04-24,Mayo Clinic
ST000054,Metabolic Microenvironments in Normal Breast and Breast Cancer (MS analysis),Homo sapiens,GC-MS,192,2014-04-30,2018-08-27,University of North Carolina
ST000061,Metabolic Profiling of Visceral and Subcutaneous Adipose Tissue from Colorectal Cancer Patients: GC-TOF MS analyis of subcutaneous and visceral adipose tissue samples,Homo sapiens,GC-MS,130,2014-06-11,2014-07-11,"University of California, Davis"
ST000065,Metabolic Profiling of Visceral and Subcutaneous Adipose Tissue from Colorectal Cancer Patients: GC-TOF MS analyis of serum samples,Homo sapiens,GC-MS,65,2014-06-11,2014-07-12,"University of California, Davis"
ST000081,Metabolic Profiling of Visceral and Subcutaneous Adipose Tissue from Colorectal Cancer Patients: UHPLC-QTOF MS analyis of subcutaneous and visceral adipose tissue samples,Homo sapiens,LC-MS,124,2014-06-11,2014-07-26,"University of California, Davis"
ST000082,Metabolic Profiling of Visceral and Subcutaneous Adipose Tissue from Colorectal Cancer Patients: UHPLC-QTOF MS analyis of serum samples,Homo sapiens,LC-MS,66,2014-06-11,2014-07-25,"University of California, Davis"
ST000091,Quantitative Metabolomics by 1H-NMR and LC-MS/MS Confirms Altered Metabolic Pathways in Diabetes,Homo sapiens,LC-MS,26,2014-07-15,2014-07-26,Mayo Clinic
ST000122,Perinatal DDT causes dysfunctional lipid metabolism underlying metabolic syndrome,Homo sapiens,LC-MS,42,2014-09-30,2014-09-30,"University of California, Davis"
ST000150,Association of Metabolic Profile and Microbiome in Chronic Pressure Ulcer Wounds,Homo sapiens,NMR,8,2015-03-10,2015-04-20,Montana State University
ST000166,Cardiac Resynchronization Therapy Induces Adaptive Metabolic Transitions in the Metabolomic Profile of Heart Failure,Homo sapiens,GC-MS,53,2015-05-14,2015-06-28,Mayo Clinic
ST000223,Metabolic Aberrations in Barth Syndrome,Homo sapiens,NMR,40,2015-06-29,2016-07-08,University of North Carolina
ST000248,Metabolic heterogeneity in Glioblastoma,Homo sapiens,LC-MS,6,2015-03-24,2016-09-23,University of Florida
ST000250,The Role of Obesity and Adipocytes in Immune Activation on Antiretroviral Therapy,Homo sapiens,LC-MS,100,2015-01-07,2016-12-22,University of Florida
