name,super_class,main_class,sub_class,refmet_id,formula
"10,11-DiHDPE",Fatty Acyls,Docosanoids,Docosanoids,RM0153417,C22H34O4
"10,11-Dihydro-12-oxo-Resolvin E1",Fatty Acyls,Eicosanoids,HETE,RM0153807,C20H30O5
"10,11-Dihydro-LTB4",Fatty Acyls,Eicosanoids,Leukotrienes,RM0140038,C20H34O4
"10,11-Dihydro-Resolvin E1",Fatty Acyls,Eicosanoids,HETE,RM0140097,C20H32O5
"10,11-Dihydroxycarbamazepine",Alkaloids,Anthranilic acid alkaloids,Quinoline alkaloids,RM0204071,C15H14N2O3
"10,11-Dimethoxytubulosan",Alkaloids,Tryptophan alkaloids,Carboline alkaloids,RM0050491,C29H37N3O2
10(11)-EpDPE,Fatty Acyls,Docosanoids,Docosanoids,RM0139516,C22H32O3
10(11)-Epoxy-chlorovulone I,Fatty Acyls,Eicosanoids,Clavulones,RM0153432,C21H29ClO5
"10,12,15-Octadecatrienoic acid",Fatty Acyls,Fatty acids,Unsaturated FA,RM0153629,C18H30O2
"10,16-Dihydroxypalmitic acid",Fatty Acyls,Fatty acids,Hydroxy FA,RM0224160,C16H32O4
"10,22-Dimethyldotriacontane",Fatty Acyls,Hydrocarbons,Hydrocarbons,RM0153435,C34H70
10-Deacetyl-2-debenzoylbaccatin III,Prenol Lipids,Isoprenoids,Other Isoprenoids,RM0039526,C22H32O9
10-Deacetylbaccatin III,Prenol Lipids,Isoprenoids,C20 isoprenoids,RM0205072,C29H36O10
10-Deoxymethymycin,Polyketides,Macrolides,Macrolides,RM0135162,C25H43NO6
10-Deoxymethynolide,Polyketides,Macrolides,Macrolides,RM0135161,C17H28O4
"10E,12Z-Octadecadienoic acid",Fatty Acyls,Fatty acids,Unsaturated FA,RM0202138,C18H32O2
10E-Heptadecenoic acid,Fatty Acyls,Fatty acids,Unsaturated FA,RM0224148,C17H32O2
10E-Nonadecenoic acid,Fatty Acyls,Fatty acids,Unsaturated FA,RM0226660,C19H36O2
10E-Pentadecenal,Fatty Acyls,Fatty aldehydes,Fatty aldehydes,RM0202174,C15H28O
10-Formyldihydrofolic acid,Organoheterocyclic compounds,Pterins,Folic acids,RM0188129,C20H21N7O7
10-HDoHE,Fatty Acyls,Docosanoids,Docosanoids,RM0150224,C22H32O3
10-Hendecenoic acid,Fatty Acyls,Fatty acids,Unsaturated FA,RM0153615,C11H20O2
10H-Phenothiazine,Alkaloids,Anthranilic acid alkaloids,Phenazine alkaloids,RM0204179,C12H9NS
10-HpODE,Fatty Acyls,Octadecanoids,HpODE,RM0139966,C18H32O4
10-HpOME,Fatty Acyls,Octadecanoids,HpOME,RM0153734,C18H34O4
10-Hydroxy-11-dodecenoic acid,Fatty Acyls,Fatty acids,Hydroxy FA,RM0138801,C12H22O3
10-Hydroxy-2E-decenoic acid,Fatty Acyls,Fatty acids,Hydroxy FA,RM0194332,C10H18O3
10-Hydroxydecanoic acid,Fatty Acyls,Fatty acids,Hydroxy FA,RM0153657,C10H20O3
10-Hydroxydihydrosanguinarine,Alkaloids,Tyrosine alkaloids,Benzophenanthridine alkaloids,RM0136761,C20H15NO5
10-Hydroxywarfarin,Polyketides,Coumarins,Coumarins,RM0188032,C19H16O5
10-Methyl-1-dodecanol,Fatty Acyls,Fatty alcohols,Fatty alcohols,RM0202147,C13H28O
10-Methyl-heptadecanoic acid,Fatty Acyls,Fatty acids,Branched FA,RM0153596,C18H36O2
10-Methyl-hexadecanoic acid,Fatty Acyls,Fatty acids,Branched FA,RM0139409,C17H34O2
10-Nitrolinoleic acid,Fatty Acyls,Fatty acids,Nitro FA,RM0153226,C18H31NO4
10-Nitrooleic acid,Fatty Acyls,Fatty acids,Nitro FA,RM0153408,C18H33NO4
10-Oxodecanoic acid,Fatty Acyls,Fatty acids,Oxo FA,RM0074055,C10H18O3
"10-Propargyl-5,8-dideazafolic acid",Organic acids,Amino acids and peptides,Amino acids,RM0157559,C24H23N5O6
10R-HODE,Fatty Acyls,Octadecanoids,HODE,RM0150764,C18H32O3
10R-HpODE,Fatty Acyls,Octadecanoids,HpODE,RM0138171,C18H32O4
"10S,17S-DiHDoHE",Fatty Acyls,Docosanoids,Docosanoids,RM0153447,C22H32O4
10S-HODE,Fatty Acyls,Octadecanoids,HODE,RM0150816,C18H32O3
10S-HpODE,Fatty Acyls,Octadecanoids,HpODE,RM0139950,C18H32O4
10S-HpOME,Fatty Acyls,Octadecanoids,HpOME,RM0134992,C18H34O4
10-Undecen-1-ol,Fatty Acyls,Fatty alcohols,Fatty alcohols,RM0224705,C11H22O
10-Undecenal,Fatty Acyls,Fatty aldehydes,Fatty aldehydes,RM0188993,C11H20O
10-Undecenyl acetate,Fatty Acyls,Fatty esters,Short fatty esters,RM0188994,C13H24O2
"10Z,13Z,16Z-Docosatrienoic acid",Fatty Acyls,Fatty acids,Unsaturated FA,RM0161257,C22H38O2
"10Z,13Z-Nonadecadienoic acid",Fatty Acyls,Fatty acids,Unsaturated FA,RM0224147,C19H34O2
10Z-Heptadecenoic acid,Fatty Acyls,Fatty acids,Unsaturated FA,RM0152615,C17H32O2
10Z-Heptadecenoyl-EA,Fatty Acyls,Fatty amides,NAE,RM0161255,C19H37NO2
10Z-Pentadecenoic acid,Fatty Acyls,Fatty acids,Unsaturated FA,RM0226759,C15H28O2
"1,10-Decanediol dimethacrylate",Fatty Acyls,Fatty esters,Short fatty esters,RM0199744,C18H30O4
"1,10-Phenanthroline",Benzenoids,Phenanthrolines,Phenanthrolines,RM0108883,C12H8N2
"11,12,13-TriHOME",Fatty Acyls,Octadecanoids,TriHOME,RM0139412,C18H34O5
"11,12,15-THETA",Fatty Acyls,Eicosanoids,HETrE,RM0224224,C20H34O5
"11,12-DiHETE",Fatty Acyls,Eicosanoids,HETE,RM0153348,C20H32O4
"11,12-DiHETrE",Fatty Acyls,Eicosanoids,HETrE,RM0150819,C20H34O4
"11,12-DiHETrE-EA",Fatty Acyls,Fatty amides,NAE,RM0139543,C22H39NO4
"11,12-Ep-15S-HETrE",Fatty Acyls,Eicosanoids,EpETrE,RM0153331,C20H32O4
11(12)-EpETE,Fatty Acyls,Eicosanoids,Other Eicosanoids,RM0153756,C20H30O3
11(12)-EpETrE,Fatty Acyls,Eicosanoids,EpETrE,RM0153941,C20H32O3
