metabolite,refmet_name,log2fc,p_value,fdr,neg_log10_p
Leucine,Leucine,4.043711472988204,1.0283322407256276e-11,2.7353637603301697e-09,10.987866547790029
Acetyl-L-carnitine,CAR 2:0,1.122375446090025,5.19886803134602e-10,6.914494481690208e-08,9.28409120660674
Arachidonic acid,Arachidonic acid,1.5620881298656142,1.2756587453149521e-09,9.841100264688696e-08,8.894265489289012
4-Hydroxybutyric acid (GHB),4-Hydroxybutyric acid,1.2752251666961687,1.4798647014569469e-09,9.841100264688696e-08,8.829777988724404
Propionylcarnitine,CAR 3:0,-0.5007438193573491,5.2636280101493164e-09,2.8002501013994366e-07,8.27871481066461
trans-10-Heptadecenoic acid,10E-Heptadecenoic acid,2.5514606851038875,6.619433282033334e-09,2.934615421701445e-07,8.179179190774985
Docosahexaenoic Acid,Docosahexaenoic acid,1.749090783165115,1.2643899902509006e-08,4.804681962953422e-07,7.898118950981783
Abietic acid,Abietic acid,1.4876525251099626,1.4714542194012489e-08,4.892585279509152e-07,7.832253245335153
Myristic Acid,Myristic acid,1.8589244640384834,2.2621032656498813e-08,6.295186180207723e-07,7.645487573292861
"11(Z),14(Z)-Eicosadienoic Acid","11Z,14Z-Eicosadienoic acid",2.025723823730885,2.366611345942753e-08,6.295186180207723e-07,7.625873057732671
Oleic Acid,Oleic acid,2.349158824966794,4.5867234919606556e-08,1.1091531353286677e-06,7.338497440276841
2-Oxobutyric acid,3-Methyl pyruvic acid,1.0279005940915618,5.1315001662982035e-08,1.1374825368627684e-06,7.289755652684932
11(Z)-Eicosenoic acid,cis-Gondoic acid,2.378570151113125,6.299323476115291e-08,1.288938495882052e-06,7.200706089652216
FA 17:0,Margaric acid,1.7202562775874974,7.64501557832912e-08,1.4525529598825327e-06,7.116621625284299
Ethyl myristate,Ethyl tetradecanoate,0.8304329096385515,1.1746817613025483e-07,1.9614626258365992e-06,6.9300797742688545
3-Hydroxylidocaine,3-Hydroxylidocaine,5.208308813499586,1.1798271433603604e-07,1.9614626258365992e-06,6.928181616578447
Norlidocaine,Monoethylglycinexylidide,5.012188355441214,1.4617355611896242e-07,2.2871862310378827e-06,6.835131187366952
S-Methyl-methionine; AIF; CE10; MS2Dec,S-Methyl-methionine; AIF; CE10; MS2Dec,-1.0061235122828538,1.909802539843304e-07,2.8222637533239937e-06,6.719011533427441
Glycocholic acid,Glycocholic acid,-1.7085211545287404,2.2049171613472248e-07,3.0868840258861146e-06,6.656607722316594
Taurochenodeoxycholic Acid (sodium salt),Taurochenodeoxycholic acid,-1.9970951709627929,3.6250027562441836e-07,4.821253665804764e-06,6.4406916588802465
Glycochenodeoxycholic acid,Glycochenodeoxycholic acid,-1.7561840551583414,6.183478846957924e-07,7.832406539480037e-06,6.208767120549631
3-Hydroxybutyric acid,3-Hydroxybutyric acid,2.4972139335014214,6.756205923787015e-07,8.168867162397028e-06,6.170297121948649
L-Kynurenine,Kynurenine,-0.30321680847439636,7.372809129231747e-07,8.526814036415847e-06,6.13236700917223
NP-015114,NP-015114,0.30689905156661296,7.772552897881963e-07,8.614579461819176e-06,6.109436313584537
16-Hydroxyhexadecanoic acid,Juniperic acid,0.5614275123671169,9.486990303730414e-07,9.749945309262618e-06,6.022871543293939
D-(+)-Tryptophan,D-Tryptophan,-0.4197964586098009,9.530021730858198e-07,9.749945309262618e-06,6.020906109059361
2-Hydroxypyridine sulfate,2-Hydroxypyridine sulfate,-1.1465157046456314,1.0675283504565502e-06,1.0517131156349717e-05,5.971620582548048
LPC 16:0-SN1,LPC 16:0/0:0,-0.16245687668230602,2.267214527368112e-06,2.1538538009997067e-05,5.644507384309215
Theophylline,Theophylline,-0.31147460642320357,2.7462004273837475e-06,2.518928667876127e-05,5.561267769600976
Asparagine,Asparagine,-0.4695081870109881,3.3117992329439297e-06,2.9364619865436177e-05,5.479935998779492
"1,3,7-trimethyl-2,3,6,7-tetrahydro-1H-purine-2,6-dione",Caffeine,-0.4892958009828747,3.5400733232541426e-06,3.037611303179361e-05,5.450987742619724
Testosterone sulfate,Testosterone sulfate,0.2588572983621445,7.392249262246401e-06,6.144807199242321e-05,5.131223397389543
DL-Lysine,Lysine,-0.3431121483541936,7.864286229863783e-06,6.33909132467808e-05,5.10434068823439
12-Hydroxyoctadecanoic acid,12-Hydroxy stearic acid,0.47990505974145775,8.984147112952551e-06,7.028773917780525e-05,5.046523145234977
Acetohydroxamic acid,Acetohydroxamic acid,-0.19472277702687854,1.2093763782477527e-05,9.19126047468292e-05,4.9174385183634834
L-Tyrosine,Tyrosine,-0.42878617502134786,1.4991981675321118e-05,0.00011077408682320605,4.824140957293529
3-Aminobenzamide,3-Aminobenzamide,0.7957358706402795,2.099945876789166e-05,0.00015096908195295087,4.677791898463564
DL-Serine,Serine,-0.3221004349648565,3.1675367481318986e-05,0.0002217275723692329,4.499278337954126
D-(+)-Xylose,Xylose,-0.25839909916388604,3.516238214985898e-05,0.00023982547825288433,4.453921710404466
Xanthine,Xanthine,1.1673072459488418,3.935160985535297e-05,0.0002616882055380972,4.405037496163994
LPC 17:0-SN1,LPC 17:0/0:0,-0.1542314031455075,4.345944132251296e-05,0.00027970614125695807,4.3619158608988196
L-Methionine sulfoxide,Methionine sulfoxide,-0.6741400601659036,4.5128010304753936e-05,0.00027970614125695807,4.345553814113694
Valeryl-carnitine; AIF; CE30; MS2Dec,Valeryl-carnitine; AIF; CE30; MS2Dec,-0.4508238876433959,4.5215654413718785e-05,0.00027970614125695807,4.344711179160722
epiandrosterone sulfate,Epiandrosterone,0.2230919022935007,4.66064214541467e-05,0.0002817570024273414,4.331554241894299
L-Histidine,Histidine,-0.3110398629400382,5.181188304690766e-05,0.0003062657975661653,4.285570623462347
D-Carnitine,D-Carnitine,-0.20417804393342145,5.784695838073753e-05,0.00033450632454948227,4.237719471512395
N-Benzylformamide,N-benzylformamide,-0.3878838487511968,6.160515450013169e-05,0.0003486589595113836,4.2103829489181885
NP-018661,NP-018661,0.9717062124157451,6.97417281220099e-05,0.0003864854100094715,4.156507295495253
2-Oxindole,Indolin-2-one,-0.48590524253635436,8.095533436042182e-05,0.0004325564028885193,4.0917545291593065
Hexanoylcarnitine,CAR 6:0,0.7065751098979642,8.1547977251321e-05,0.0004325564028885193,4.088586806904324
L-(-)-Methionine,Methionine,-0.4124131274254078,8.469028306553178e-05,0.0004325564028885193,4.072166415561886
"2,5-dihydroxybenzenesulfonate","2,5-Dihydroxybenzenesulfonic acid",-0.38452191317245754,8.561438141208166e-05,0.0004325564028885193,4.067453276873069
PC(16:0/0:0),LPC 16:0/0:0,-0.14003555288881356,8.61860501995922e-05,0.0004325564028885193,4.064563022012928
Arachidic Acid,Arachidic acid,0.4732547326976267,0.00010074047134202539,0.0004962400995736806,3.996796021507275
HYDROXYPHENYLLACTIC ACID,Hydroxyphenyllactic acid,0.4505206187266942,0.0001141856603334887,0.0005522433754310544,3.9423884322465765
BETAINE,Betaine,-0.16211525129320212,0.0001187380013859137,0.0005640055065830901,3.925410265451851
Glycine,Glycine,-0.28120574876180343,0.00013995734433868486,0.0006531342735805293,3.8540043067578442
LPC 18:2-SN1,LPC 18:2/0:0,-0.2767790542036983,0.00017061095366912435,0.0007824571323446048,3.767993089432597
DL-Homoserine,Homoserine,-0.27782480276304683,0.0001761808313372593,0.0007943067989103556,3.7540413450574177
2-HYDROXYOCTANOIC ACID,2-Hydroxyoctanoic acid,-0.3986204155152031,0.0001824297159488942,0.0008087717407067644,3.7389044180827837
LPE 16:0,LPE 16:0,-0.3226073292550301,0.00018627548721281633,0.0008122832721083466,3.729844292010039
methyl {[(2-oxo-2H-pyran-6-yl)carbonyl]amino}methanethioate,methyl {[(2-oxo-2H-pyran-6-yl)carbonyl]amino}methanethioate,-0.37849025095262523,0.00019201243559845407,0.0008237952882127223,3.716670643500114
"6-Methyl[1,2,4]triazolo[4,3-b]pyridazin-8-ol","6-Methyl[1,2,4]triazolo[4,3-b]pyridazin-8-ol",0.1636593304829279,0.0002739578048891332,0.0011567107317541178,3.56231632227071
N6-Me-Adenosine,N6-Methyladenosine,0.14104074183071671,0.00028457019089509167,0.0011827448559077248,3.5458105947921426
OCTANOYLCARNITINE,CAR 8:0,0.9270228253743664,0.0003290647169551503,0.001346634072462615,3.4827186812217277
1-pentadecanoyl-2-hydroxy-sn-glycero-3-phosphocholine,1-pentadecanoyl-2-hydroxy-sn-glycero-3-phosphocholine,-0.15620575691085653,0.00034094258796512716,0.0013741019454352095,3.467318746606164
DL-Arginine,Arginine,-0.18960727130064806,0.00036498117525376897,0.0014490297405597395,3.4377295347058334
3-Hydroxy-2-methyl-4-pyrone sulfate,3-Hydroxy-2-methyl-4-pyrone sulfate,-1.0527049194848632,0.00039164487347509615,0.0015320225932996408,3.40710755388085
LPC 18:0-SN1,LPC 18:0/0:0,-0.1115047307315698,0.00041299509394179855,0.0015826983535461709,3.384055107391202
Isoleucine,Isoleucine,-0.2747125423851216,0.00041649956672267657,0.0015826983535461709,3.380385446046026
2-(1H-indol-3-yl)acetic acid,Indoleacetic acid,-0.3040374209862253,0.0004973993734425883,0.00186349624416519,3.3032947661320216
D-(+)-Proline,D-Proline,-0.15167404815471816,0.0005550329176096416,0.0020505382789467314,3.255681259197525
L-Phenylalanine,Phenylalanine,-0.28008332237209643,0.0005678269013047154,0.0020690678869459494,3.245784036235239
Decanoic acid,Capric acid,1.290527118025196,0.000582500024810693,0.002093851440535734,3.2347040518038375
Decanoylcarnitine,CAR 10:0,1.0254736498761636,0.0006003879007258081,0.0021293757545741993,3.221568068429039
L-Isoleucine,Isoleucine,-0.2680625729308472,0.0006201715615892038,0.0021706004655622133,3.207488152526381
5-Acetylamino-6-amino-3-methyluracil; AIF; CE0; MS2Dec,5-Acetylamino-6-amino-3-methyluracil; AIF; CE0; MS2Dec,-0.2536948046787471,0.0006291305978780519,0.0021733602472150883,3.201259192312297
N4-Acetylcytidine,N4-Acetylcytidine,0.12842500883292543,0.0006425889462022233,0.0021913930729460435,3.192066749442248
L(+)-Ornithine,Ornithine,-0.417159818995454,0.0008186709513755221,0.002739814681684769,3.0868906192612697
Salicylic acid,Salicylic acid,-0.4532421845438022,0.0008240044155442915,0.002739814681684769,3.084070461068197
6-Hydroxycaproic acid,6-Hydroxycaproic acid,0.5206513401225082,0.0009804045204133912,0.003219600029999532,3.008594694986192
Hippuric acid,Hippuric acid,-0.5369469232946193,0.001054103762553717,0.0034194097663327893,2.9771166364797508
Pyruvic acid,Pyruvic acid,-0.29871467508688715,0.0011349162897656435,0.003637201603345315,2.9450361703947143
D-Pantothenic Acid,Pantothenic acid,0.34433148222193605,0.0012523337373535489,0.003965723501619571,2.902279919546838
Lactamide,Lactamide,-0.20046282834810225,0.0013967363111543844,0.004370963044318426,2.854885576290867
PC 32:1,PC 32:1,0.1775110250081653,0.001645239383574911,0.005088763674778213,2.783770902940797
D-(-)-Quinic acid,Quinic acid,-0.31447795690650027,0.0016901276521555666,0.005167516729579089,2.7720804927040037
L-Valine,Valine,-0.18049373936984492,0.0018211726526456958,0.0055049082454972165,2.739648879830047
LPA 16:0,LPA 16:0,-0.11088031195383134,0.001922884643509511,0.005688960504300551,2.716046768902438
Myriocin,Myriocin,0.7025428399647157,0.0019248362608535697,0.005688960504300551,2.7156062085099033
DL-Malic acid,Malic acid,-0.3887473079601602,0.0022270505870434706,0.0064222277131207985,2.652269917934837
1-AMINOCYCLOPROPANECARBOXYLATE,1-Aminocyclopropanecarboxylic acid,-0.1585040435508504,0.0022283505529199915,0.0064222277131207985,2.6520164870965712
7-Methylguanosine,7-Methylguanosine,0.20543190672920386,0.0022453653282715575,0.0064222277131207985,2.648712987781163
cis-4-Hydroxy-D-proline,cis-4-Hydroxy-D-proline,-0.20773086245274391,0.002993504711648676,0.008470981418069658,2.523820053956776
Oleoyl-L-α-lysophosphatidic acid,LPA 18:1(9Z)/0:0,-0.09750299125811256,0.0036163859640508562,0.010125880699342399,2.4417252250129553
Butyryl-carnitine; AIF; CE10; CorrDec,Butyryl-carnitine; AIF; CE10; CorrDec,-0.24696221559750112,0.004018087202066597,0.011133449955726196,2.3959806422603975
Choline,Choline,-0.13721120109970136,0.0043605744031898,0.011957863827303988,2.360456298872528
Uracil,Uracil,0.317194855964012,0.005065622561035688,0.013749546951382582,2.2953671725727354
Allopurinol,Allopurinol,1.2423488496562127,0.00532791830842774,0.014315416869108876,2.273442442709947
D-α-Tocopherol,alpha-Tocopherol,-0.19838106259214613,0.006631727230185944,0.01764039443229461,2.178373345072572
1-Methylhistidine,1-Methylhistidine,-0.15294804940036033,0.006988658753474465,0.018273586760340403,2.155606165006385
1-Stearoyl-sn-glycero-3-phosphocholine,LPC 18:0/0:0,-0.07359809735280365,0.00700716484795008,0.018273586760340403,2.154457665336033
Creatine,Creatine,-0.23095772312766608,0.008292798407737563,0.02141635316949701,2.0812988918914406
Glutaric acid,Glutaric acid,0.12923998710186319,0.008865005637459103,0.02267395672657809,2.0523209838852177
Valeric acid,Valeric acid,-0.4525386058955149,0.00901618694841248,0.02284100693597828,2.0449770918796295
