metabolite,refmet_name,log2fc,p_value,fdr,platform,neg_log10_p
Alloisoleucine [metab-u-hilicpos],Alloisoleucine,4.26030212641535,1.59805650690069e-180,5.59319777415242e-178,metab-u-hilicpos,179.7964078682002
Monoethylglycinexylidide [metab-u-hilicpos],Monoethylglycinexylidide,8.72100456658246,7.762373923670551e-110,1.35841543664235e-107,metab-u-hilicpos,109.11000544056078
CAR 4:0;OH [metab-u-hilicpos],CAR 4:0;OH,1.83595194160088,8.09841414256642e-80,9.44814983299416e-78,metab-u-hilicpos,79.09160001773402
CAR 6:0;OH [metab-u-hilicpos],CAR 6:0;OH,1.12456366572562,3.1501288880651703e-52,2.75636277705703e-50,metab-u-hilicpos,51.50167167661346
CAR(9:0) [metab-u-rppos],CAR(9:0),-1.25101314091956,1.0527854292675901e-44,1.97923660702307e-42,metab-u-rppos,43.977660134399265
CAR 2:0 [metab-u-hilicpos],CAR 2:0,0.551319535888101,3.1465977667308096e-40,2.20261843671157e-38,metab-u-hilicpos,39.5021587699098
CAR 16:0 [metab-u-hilicpos],CAR 16:0,0.422496628071436,4.76751432082352e-39,2.78105002048039e-37,metab-u-hilicpos,38.321707993731295
KET [metab-t-conv],KET,1.83657672377944,9.11885971507509e-39,4.55942985753754e-38,metab-t-conv,38.040059465444855
Car(3:0) [metab-u-lrppos],Car(3:0),-0.488679178920801,6.56485922421102e-37,4.11616673358031e-34,metab-u-lrppos,36.18277458241591
CAR 3:0 [metab-u-hilicpos],CAR 3:0,-0.441452594959983,5.7497996510666294e-36,2.8748998255333098e-34,metab-u-hilicpos,35.24034728782378
CAR 18:1 [metab-u-hilicpos],CAR 18:1,0.540848203808046,1.69161588596823e-33,7.40081950111101e-32,metab-u-hilicpos,32.77169824504562
Methyl 3-hydroxybenzoate [metab-u-rpneg],Methyl 3-hydroxybenzoate,3.13995464252324,1.7751341561625901e-31,1.8106368392858398e-29,metab-u-rpneg,30.75076881946554
CAR 9:0 [metab-u-hilicpos],CAR 9:0,-1.09565479991127,3.48112859872215e-31,1.35377223283639e-29,metab-u-hilicpos,30.45827993285366
2-Hydroxybutyric acid [metab-u-rpneg],2-Hydroxybutyric acid,1.49750586205278,5.72366779657064e-31,2.91907057625103e-29,metab-u-rpneg,30.24232558076534
