metabolite,refmet_name,log2fc,p_value,fdr,sex,neg_log10_p
NA,glutamic acid,-0.66313607,5.0171278e-15,2.021883e-09,male,14.299544836160234
lpc(17:1/0:0)_feature2,lpc(17:1/0:0)_lp_b,1.0173411,2.336337e-07,0.0018582924,male,6.631464513150221
lpc(18:3/0:0)_and_lpc(0:0/18:3)_feature1and2,lpc(18:3)_lp_ab,1.022464,2.801081e-07,0.0021433383,male,6.552674332324449
pc(30:1)_feature1,pc(30:1)_lp_a,1.3841876,8.874994e-07,0.00506121,male,6.051831931880504
pc(33:1)_feature1,pc(33:1)_lp_a,0.7315712,9.444436e-07,0.005335614,male,6.024823972035566
NA,car(16:0),-0.49644962,2.7727083e-06,0.011567708,male,5.557095817534996
NA,citric acid,-0.5310895,3.195445e-06,0.012855647,male,5.495468653127808
dmgv,dmgv,-0.8511474,5.3853696e-06,0.018602427,female,5.268784485544779
lpc(16:1/0:0)_and_lpc(0:0/16:1)_feature1and2,lpc(16:1)_lp_ab,1.0441104,6.7302108e-06,0.021412492,male,5.171971332827577
lpc(14:0/0:0)_and_lpc(0:0/14:0)_feature1and2,lpc(14:0)_lp_ab,0.76261234,7.320784e-06,0.022929387,male,5.135442406832128
pc(32:2)_feature1,pc(32:2)_lp_a,0.8425982,8.432423e-06,0.025110103,male,5.074047615846177
pc(34:3)_feature3,pc(34:3)_lp_c,0.6020763,9.042541e-06,0.026216613,male,5.043709513416949
pc(38:6)>pc(16:0_22:6)_and_pc(18:0_20:6)_m+h2co2_feature2,pc(38:6)_ln_b,-0.6014325,1.2470643e-05,0.033282258,male,4.904111153245396
pc(34:3)_feature1,pc(34:3)_lp_a,0.9428511,1.3478936e-05,0.034957252,male,4.87034438877744
n-acetylputrescine,n-acetylputrescine,-0.7201111,1.3503055e-05,0.034957252,male,4.869567963390673
pc(35:3)_feature1,pc(35:3)_lp_a,1.0322183,1.3809722e-05,0.035418082,male,4.85981506400509
cystathionine 1,cystathionine,-1.1266315,1.564716e-05,0.03868555,male,4.805564476536328
c38:6 pe,pe(38:6),-0.8186053,1.6818663e-05,0.040290635,male,4.774208531415702
pc(32:1)_feature1,pc(32:1)_lp_a,1.0008618,1.7495133e-05,0.041303653,male,4.757082751612253
NA,car(14:1),-0.5594098,1.8400277e-05,0.04248797,female,4.735175639019486
lpc(20:3)_feature1and2,lpc(20:3)_lp_ab,0.73495245,1.9507892e-05,0.04399406,male,4.709789657424016
