gene_symbol,feature_id,tissue,assay,sex,comparison_group,logFC,logFC_se,shrunk_logFC,shrunk_logFC_se,p_value,adj_p_value,omics,selection_fdr,comparison_average_intensity,comparison_average_intensity_se,reference_average_intensity,reference_average_intensity_se,source_url,search_api_url,source_json,study,query_gene,match_basis,point_fill,estimate,estimate_se,ci_low,ci_high
BAG3,ensrnog00000020298,blood rna,transcript-rna-seq,male,1w,-0.11928059,0.17686813,-0.052128077,0.122171484,0.5000544,1,transcriptomics,0.82290065,252.59251,12.015058,280.96454,15.885607,https://motrpac-data.org/,https://search.motrpac-data.org/search/api,reports/motrpac_bag3/rat_bag3_search_api_response.json,pass1b06,BAG3,exact_gene_symbol,Adj-p >= 0.05,-0.052128077,0.122171484,-0.174299561,0.070043407
BAG3,ensrnog00000020298,blood rna,transcript-rna-seq,male,2w,-0.26470315,0.22303924,-0.13121289,0.17196336,0.2353062,1,transcriptomics,0.82290065,234.86656,19.316837,280.96454,15.885607,https://motrpac-data.org/,https://search.motrpac-data.org/search/api,reports/motrpac_bag3/rat_bag3_search_api_response.json,pass1b06,BAG3,exact_gene_symbol,Adj-p >= 0.05,-0.13121289,0.17196336,-0.30317625000000004,0.04075047000000001
BAG3,ensrnog00000020298,blood rna,transcript-rna-seq,male,4w,0.1278344,0.15318939,0.038734272,0.08461999,0.4040072,1,transcriptomics,0.82290065,296.2758,10.024222,280.96454,15.885607,https://motrpac-data.org/,https://search.motrpac-data.org/search/api,reports/motrpac_bag3/rat_bag3_search_api_response.json,pass1b06,BAG3,exact_gene_symbol,Adj-p >= 0.05,0.038734272,0.08461999,-0.045885718000000006,0.123354262
BAG3,ensrnog00000020298,blood rna,transcript-rna-seq,male,8w,-0.3790878,0.21520369,-0.28220946,0.20283924,0.07814868,1,transcriptomics,0.82290065,224.41805,16.52557,280.96454,15.885607,https://motrpac-data.org/,https://search.motrpac-data.org/search/api,reports/motrpac_bag3/rat_bag3_search_api_response.json,pass1b06,BAG3,exact_gene_symbol,Adj-p >= 0.05,-0.28220946,0.20283924,-0.4850487,-0.07937022000000002
BAG3,ensrnog00000020298,blood rna,transcript-rna-seq,female,1w,-0.08355504,0.23687916,-0.008815698,0.077191964,0.72428876,1,transcriptomics,0.82290065,257.26797,11.470187,292.5652,25.796349,https://motrpac-data.org/,https://search.motrpac-data.org/search/api,reports/motrpac_bag3/rat_bag3_search_api_response.json,pass1b06,BAG3,exact_gene_symbol,Adj-p >= 0.05,-0.008815698,0.077191964,-0.086007662,0.068376266
BAG3,ensrnog00000020298,blood rna,transcript-rna-seq,female,2w,-0.05441681,0.20156226,-7.2064475e-5,0.007416702,0.78717935000000006,1,transcriptomics,0.82290065,266.5707,23.354,292.5652,25.796349,https://motrpac-data.org/,https://search.motrpac-data.org/search/api,reports/motrpac_bag3/rat_bag3_search_api_response.json,pass1b06,BAG3,exact_gene_symbol,Adj-p >= 0.05,-7.2064475e-5,0.007416702,-0.007488766475,0.007344637524999999
BAG3,ensrnog00000020298,blood rna,transcript-rna-seq,female,4w,0.12749064,0.21753928,0.005416975,0.044857126,0.55783653,1,transcriptomics,0.82290065,297.04907,9.772105,292.5652,25.796349,https://motrpac-data.org/,https://search.motrpac-data.org/search/api,reports/motrpac_bag3/rat_bag3_search_api_response.json,pass1b06,BAG3,exact_gene_symbol,Adj-p >= 0.05,0.005416975,0.044857126,-0.039440151,0.050274100999999995
BAG3,ensrnog00000020298,blood rna,transcript-rna-seq,female,8w,-0.083511375,0.17497079,-0.0069316453,0.050446533,0.6331574,1,transcriptomics,0.82290065,266.64798,15.655886,292.5652,25.796349,https://motrpac-data.org/,https://search.motrpac-data.org/search/api,reports/motrpac_bag3/rat_bag3_search_api_response.json,pass1b06,BAG3,exact_gene_symbol,Adj-p >= 0.05,-0.0069316453,0.050446533,-0.0573781783,0.043514887700000005
BAG3,ensrnog00000020298,hippocampus,transcript-rna-seq,male,1w,0.036011066,0.10706779,5.0939474e-4,0.01290967,0.7366153,1,transcriptomics,1,614.39703,33.550358,557.91296,24.943825,https://motrpac-data.org/,https://search.motrpac-data.org/search/api,reports/motrpac_bag3/rat_bag3_search_api_response.json,pass1b06,BAG3,exact_gene_symbol,Adj-p >= 0.05,5.0939474e-4,0.01290967,-0.01240027526,0.01341906474
BAG3,ensrnog00000020298,hippocampus,transcript-rna-seq,male,2w,-0.080154575,0.11013458,-0.0038714774,0.024962649,0.46674365,1,transcriptomics,1,564.79504,28.183443,557.91296,24.943825,https://motrpac-data.org/,https://search.motrpac-data.org/search/api,reports/motrpac_bag3/rat_bag3_search_api_response.json,pass1b06,BAG3,exact_gene_symbol,Adj-p >= 0.05,-0.0038714774,0.024962649,-0.0288341264,0.0210911716
