"study_id","source","contrast","accepted_canonical_name","log2_fold_change","p_value","fdr","synthetic_seed"
"MOTRPAC-HUMAN-ACUTE","MoTrPAC","post-exercise / pre-exercise","Leucine",1.2154652344096,0.000138265268296376,0.00250107279211378,20260729
"MOTRPAC-HUMAN-TRAINING","MoTrPAC","week 8 / baseline","Leucine",0.473650639764099,0.00126598654646619,0.00450128549854645,20260729
"ST004303","Metabolomics Workbench","post-exercise / pre-exercise","Leucine",1.59059316660913,1.95873525151541e-05,0.000470096460363699,20260729
"ST003807","Metabolomics Workbench","trained / baseline","Leucine",0.672151354094238,0.00113686793446981,0.00629946704825068,20260729
"MOTRPAC-HUMAN-ACUTE","MoTrPAC","post-exercise / pre-exercise","Lactate",1.64059146419226,2.076575703069e-05,0.00199351267494624,20260729
"MOTRPAC-HUMAN-TRAINING","MoTrPAC","week 8 / baseline","Lactate",0.510914426502046,0.000374315601823795,0.00189127883026759,20260729
"ST004303","Metabolomics Workbench","post-exercise / pre-exercise","Lactate",1.15792895294865,0.000315854835860329,0.00275655129478105,20260729
"ST003807","Metabolomics Workbench","trained / baseline","Lactate",0.715647599079774,0.00117496111746029,0.00629946704825068,20260729
"MOTRPAC-HUMAN-ACUTE","MoTrPAC","post-exercise / pre-exercise","Citrate",-0.915338142516069,0.000674085783613341,0.00404451470168005,20260729
"MOTRPAC-HUMAN-TRAINING","MoTrPAC","week 8 / baseline","Citrate",0.421441858214344,0.00745657357743386,0.0140359032045814,20260729
"ST004303","Metabolomics Workbench","post-exercise / pre-exercise","Citrate",-1.3869801401131,1.84949616192888e-05,0.000470096460363699,20260729
"ST003807","Metabolomics Workbench","trained / baseline","Citrate",0.469508694895292,0.00257503127215086,0.00749100006443887,20260729
"MOTRPAC-HUMAN-ACUTE","MoTrPAC","post-exercise / pre-exercise","Succinate",0.665191545630646,0.00630880069611394,0.0121128973365388,20260729
"MOTRPAC-HUMAN-TRAINING","MoTrPAC","week 8 / baseline","Succinate",1.22841801598066,7.22247942097262e-05,0.000866697530516714,20260729
"ST004303","Metabolomics Workbench","post-exercise / pre-exercise","Succinate",0.638854186012539,0.00524605457327867,0.0148123893833751,20260729
"ST003807","Metabolomics Workbench","trained / baseline","Succinate",0.733474536737567,0.00381202646047638,0.00938344974886493,20260729
"MOTRPAC-HUMAN-ACUTE","MoTrPAC","post-exercise / pre-exercise","Pyruvate",1.08892443264821,0.00018236989109163,0.00250107279211378,20260729
"MOTRPAC-HUMAN-TRAINING","MoTrPAC","week 8 / baseline","Pyruvate",0.390188466968816,0.020787273949738,0.0289214246257224,20260729
"ST004303","Metabolomics Workbench","post-exercise / pre-exercise","Pyruvate",0.647454373172899,0.00138587218182759,0.00700230155028679,20260729
"ST003807","Metabolomics Workbench","trained / baseline","Pyruvate",0.244383654437757,0.0431223790338713,0.057757044014629,20260729
"MOTRPAC-HUMAN-ACUTE","MoTrPAC","post-exercise / pre-exercise","Kynurenine",-0.610644640456771,0.00344933868011963,0.00828592942565368,20260729
"MOTRPAC-HUMAN-TRAINING","MoTrPAC","week 8 / baseline","Kynurenine",-0.763628766093111,0.000366806066613469,0.00189127883026759,20260729
"ST004303","Metabolomics Workbench","post-exercise / pre-exercise","Kynurenine",-0.854287305658658,0.000199705850933582,0.00191717616896239,20260729
"ST003807","Metabolomics Workbench","trained / baseline","Kynurenine",-0.465046441036012,0.0182018404333386,0.0290144691867278,20260729
"MOTRPAC-HUMAN-ACUTE","MoTrPAC","post-exercise / pre-exercise","Tryptophan",-0.586873918978758,0.00819899777859389,0.0148510148442455,20260729
"MOTRPAC-HUMAN-TRAINING","MoTrPAC","week 8 / baseline","Tryptophan",0.367188177835171,0.00676309415490902,0.013058310260664,20260729
"ST004303","Metabolomics Workbench","post-exercise / pre-exercise","Tryptophan",-0.379777361355171,0.000735033711091397,0.00489556817260826,20260729
"ST003807","Metabolomics Workbench","trained / baseline","Tryptophan",0.494614094703768,0.0148571587783278,0.0254178591502104,20260729
"MOTRPAC-HUMAN-ACUTE","MoTrPAC","post-exercise / pre-exercise","CAR 2:0",0.921081246407642,0.00145464314521352,0.00550751284385309,20260729
"MOTRPAC-HUMAN-TRAINING","MoTrPAC","week 8 / baseline","CAR 2:0",0.75044646982538,0.000885689097283539,0.00354275638913416,20260729
"ST004303","Metabolomics Workbench","post-exercise / pre-exercise","CAR 2:0",1.2390349194652,4.40623342567078e-05,0.000845996817728789,20260729
"ST003807","Metabolomics Workbench","trained / baseline","CAR 2:0",0.40540381013887,0.0226817710501751,0.0340226565752626,20260729
"MOTRPAC-HUMAN-ACUTE","MoTrPAC","post-exercise / pre-exercise","CAR 4:0;OH",0.925339194160847,0.000633786701954479,0.00404451470168005,20260729
"MOTRPAC-HUMAN-TRAINING","MoTrPAC","week 8 / baseline","CAR 4:0;OH",0.958432319439414,0.000347603933856978,0.00189127883026759,20260729
"ST004303","Metabolomics Workbench","post-exercise / pre-exercise","CAR 4:0;OH",0.624089716421163,0.00630973391806787,0.0163413105259399,20260729
"ST003807","Metabolomics Workbench","trained / baseline","CAR 4:0;OH",1.25353317255391,2.31141359052676e-05,0.00160725300339767,20260729
"MOTRPAC-HUMAN-ACUTE","MoTrPAC","post-exercise / pre-exercise","Alanine",0.463933888224098,0.00166492301312968,0.00570830747358748,20260729
"MOTRPAC-HUMAN-TRAINING","MoTrPAC","week 8 / baseline","Alanine",0.428197927272937,0.0221930075340639,0.0304361246181448,20260729
