"study_id","source","contrast","feature_id","accepted_canonical_name","log2_fold_change","p_value","fdr","fdr_method","fdr_family_n","synthetic_seed"
"MOTRPAC-HUMAN-ACUTE","MoTrPAC","post-exercise / pre-exercise","Leucine","Leucine",1.2154652344096,0.000138265268296376,0.00250107279211378,"Benjamini-Hochberg",96,20260729
"MOTRPAC-HUMAN-ACUTE","MoTrPAC","post-exercise / pre-exercise","Lactate","Lactate",1.64059146419226,2.076575703069e-05,0.00199351267494624,"Benjamini-Hochberg",96,20260729
"MOTRPAC-HUMAN-ACUTE","MoTrPAC","post-exercise / pre-exercise","Citrate","Citrate",-0.915338142516069,0.000674085783613341,0.00404451470168005,"Benjamini-Hochberg",96,20260729
"MOTRPAC-HUMAN-ACUTE","MoTrPAC","post-exercise / pre-exercise","Succinate","Succinate",0.665191545630646,0.00630880069611394,0.0121128973365388,"Benjamini-Hochberg",96,20260729
"MOTRPAC-HUMAN-ACUTE","MoTrPAC","post-exercise / pre-exercise","Pyruvate","Pyruvate",1.08892443264821,0.00018236989109163,0.00250107279211378,"Benjamini-Hochberg",96,20260729
"MOTRPAC-HUMAN-ACUTE","MoTrPAC","post-exercise / pre-exercise","Kynurenine","Kynurenine",-0.610644640456771,0.00344933868011963,0.00828592942565368,"Benjamini-Hochberg",96,20260729
"MOTRPAC-HUMAN-ACUTE","MoTrPAC","post-exercise / pre-exercise","Tryptophan","Tryptophan",-0.586873918978758,0.00819899777859389,0.0148510148442455,"Benjamini-Hochberg",96,20260729
"MOTRPAC-HUMAN-ACUTE","MoTrPAC","post-exercise / pre-exercise","CAR 2:0","CAR 2:0",0.921081246407642,0.00145464314521352,0.00550751284385309,"Benjamini-Hochberg",96,20260729
"MOTRPAC-HUMAN-ACUTE","MoTrPAC","post-exercise / pre-exercise","CAR 4:0;OH","CAR 4:0;OH",0.925339194160847,0.000633786701954479,0.00404451470168005,"Benjamini-Hochberg",96,20260729
"MOTRPAC-HUMAN-ACUTE","MoTrPAC","post-exercise / pre-exercise","Alanine","Alanine",0.463933888224098,0.00166492301312968,0.00570830747358748,"Benjamini-Hochberg",96,20260729
"MOTRPAC-HUMAN-ACUTE","MoTrPAC","post-exercise / pre-exercise","Glutamine","Glutamine",-0.385766509831019,0.0234070108619882,0.0325662759818966,"Benjamini-Hochberg",96,20260729
"MOTRPAC-HUMAN-ACUTE","MoTrPAC","post-exercise / pre-exercise","Malate","Malate",0.729035806874213,0.00345247059402237,0.00828592942565368,"Benjamini-Hochberg",96,20260729
"MOTRPAC-HUMAN-ACUTE","MoTrPAC","post-exercise / pre-exercise","MOTRPAC-HUMAN-ACUTE_feature_001",NA,-0.582101212651386,0.0101587865156197,0.0165295509406693,"Benjamini-Hochberg",96,20260729
"MOTRPAC-HUMAN-ACUTE","MoTrPAC","post-exercise / pre-exercise","MOTRPAC-HUMAN-ACUTE_feature_002",NA,0.441334223823826,0.00918396262371492,0.0160301893068479,"Benjamini-Hochberg",96,20260729
"MOTRPAC-HUMAN-ACUTE","MoTrPAC","post-exercise / pre-exercise","MOTRPAC-HUMAN-ACUTE_feature_003",NA,-0.193677862840452,0.0858827370542298,0.0936902586046143,"Benjamini-Hochberg",96,20260729
"MOTRPAC-HUMAN-ACUTE","MoTrPAC","post-exercise / pre-exercise","MOTRPAC-HUMAN-ACUTE_feature_004",NA,-0.734252623653844,0.000395245546956905,0.00291873634675869,"Benjamini-Hochberg",96,20260729
"MOTRPAC-HUMAN-ACUTE","MoTrPAC","post-exercise / pre-exercise","MOTRPAC-HUMAN-ACUTE_feature_005",NA,0.376695376571917,0.00328262302507169,0.00828592942565368,"Benjamini-Hochberg",96,20260729
"MOTRPAC-HUMAN-ACUTE","MoTrPAC","post-exercise / pre-exercise","MOTRPAC-HUMAN-ACUTE_feature_006",NA,-0.501403035596488,0.00326755320392848,0.00828592942565368,"Benjamini-Hochberg",96,20260729
"MOTRPAC-HUMAN-ACUTE","MoTrPAC","post-exercise / pre-exercise","MOTRPAC-HUMAN-ACUTE_feature_007",NA,0.900888598700829,0.000353422621470284,0.00290068432274935,"Benjamini-Hochberg",96,20260729
