feature_id,refmet_name,refmet_super_class,effect,effect_scale,p_value,fdr,fdr_method,fdr_scope,fdr_source,selection_status,source_study_id,source_dataset_id,contrast_id,platform,sex
Leucine,Leucine,Organic acids,4.043711472988204,log2fc,1.0283322407256276e-11,2.7353637603301697e-09,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,higher_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
Acetyl-L-carnitine [refmet: CAR 2:0],CAR 2:0,Fatty Acyls,1.122375446090025,log2fc,5.19886803134602e-10,6.914494481690208e-08,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,higher_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
Arachidonic acid,Arachidonic acid,Fatty Acyls,1.5620881298656142,log2fc,1.2756587453149521e-09,9.841100264688696e-08,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,higher_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
4-Hydroxybutyric acid (GHB) [refmet: 4-Hydroxybutyric acid],4-Hydroxybutyric acid,Fatty Acyls,1.2752251666961687,log2fc,1.4798647014569469e-09,9.841100264688696e-08,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,higher_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
trans-10-Heptadecenoic acid [refmet: 10E-Heptadecenoic acid],10E-Heptadecenoic acid,Fatty Acyls,2.5514606851038875,log2fc,6.619433282033334e-09,2.934615421701445e-07,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,higher_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
Docosahexaenoic Acid,Docosahexaenoic acid,Fatty Acyls,1.749090783165115,log2fc,1.2643899902509006e-08,4.804681962953422e-07,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,higher_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
Abietic acid,Abietic acid,Prenol Lipids,1.4876525251099626,log2fc,1.4714542194012489e-08,4.892585279509152e-07,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,higher_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
"11(Z),14(Z)-Eicosadienoic Acid [refmet: 11Z,14Z-Eicosadienoic acid]","11Z,14Z-Eicosadienoic acid",Fatty Acyls,2.025723823730885,log2fc,2.366611345942753e-08,6.295186180207723e-07,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,higher_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
Myristic Acid,Myristic acid,Fatty Acyls,1.8589244640384834,log2fc,2.2621032656498813e-08,6.295186180207723e-07,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,higher_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
Oleic Acid,Oleic acid,Fatty Acyls,2.349158824966794,log2fc,4.5867234919606556e-08,1.1091531353286677e-06,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,higher_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
