feature_id,refmet_name,refmet_super_class,effect,effect_scale,p_value,fdr,fdr_method,fdr_scope,fdr_source,selection_status,source_study_id,source_dataset_id,contrast_id,platform,sex
Alloisoleucine [metab-u-hilicpos] [refmet: Alloisoleucine],Alloisoleucine,Organic acids,4.26030212641535,log2fc,1.59805650690069e-180,5.59319777415242e-178,benjamini_hochberg,within_each_platform_da_table_as_released_by_motrpac_v1.3_dream_acute,provided,higher_in_numerator,MoTrPAC_human_precovid_sed_adu,motrpac_human_plasma_endur_post,motrpac_human_precovid_endur_post_3.5_4hr_vs_pre,metab-u-hilicpos,
Monoethylglycinexylidide [metab-u-hilicpos] [refmet: Monoethylglycinexylidide],Monoethylglycinexylidide,Organic acids,8.72100456658246,log2fc,7.762373923670551e-110,1.35841543664235e-107,benjamini_hochberg,within_each_platform_da_table_as_released_by_motrpac_v1.3_dream_acute,provided,higher_in_numerator,MoTrPAC_human_precovid_sed_adu,motrpac_human_plasma_endur_post,motrpac_human_precovid_endur_post_3.5_4hr_vs_pre,metab-u-hilicpos,
CAR 4:0;OH [metab-u-hilicpos] [refmet: CAR 4:0;OH],CAR 4:0;OH,Fatty Acyls,1.83595194160088,log2fc,8.09841414256642e-80,9.44814983299416e-78,benjamini_hochberg,within_each_platform_da_table_as_released_by_motrpac_v1.3_dream_acute,provided,higher_in_numerator,MoTrPAC_human_precovid_sed_adu,motrpac_human_plasma_endur_post,motrpac_human_precovid_endur_post_3.5_4hr_vs_pre,metab-u-hilicpos,
CAR 6:0;OH [metab-u-hilicpos] [refmet: CAR 6:0;OH],CAR 6:0;OH,Fatty Acyls,1.12456366572562,log2fc,3.1501288880651703e-52,2.75636277705703e-50,benjamini_hochberg,within_each_platform_da_table_as_released_by_motrpac_v1.3_dream_acute,provided,higher_in_numerator,MoTrPAC_human_precovid_sed_adu,motrpac_human_plasma_endur_post,motrpac_human_precovid_endur_post_3.5_4hr_vs_pre,metab-u-hilicpos,
CAR 2:0 [metab-u-hilicpos] [refmet: CAR 2:0],CAR 2:0,Fatty Acyls,0.551319535888101,log2fc,3.1465977667308096e-40,2.20261843671157e-38,benjamini_hochberg,within_each_platform_da_table_as_released_by_motrpac_v1.3_dream_acute,provided,higher_in_numerator,MoTrPAC_human_precovid_sed_adu,motrpac_human_plasma_endur_post,motrpac_human_precovid_endur_post_3.5_4hr_vs_pre,metab-u-hilicpos,
KET [metab-t-conv] [refmet: KET],KET,unclassified_no_refmet_match,1.83657672377944,log2fc,9.11885971507509e-39,4.55942985753754e-38,benjamini_hochberg,within_each_platform_da_table_as_released_by_motrpac_v1.3_dream_acute,provided,higher_in_numerator,MoTrPAC_human_precovid_sed_adu,motrpac_human_plasma_endur_post,motrpac_human_precovid_endur_post_3.5_4hr_vs_pre,metab-t-conv,
CAR 16:0 [metab-u-hilicpos] [refmet: CAR 16:0],CAR 16:0,Fatty Acyls,0.422496628071436,log2fc,4.76751432082352e-39,2.78105002048039e-37,benjamini_hochberg,within_each_platform_da_table_as_released_by_motrpac_v1.3_dream_acute,provided,higher_in_numerator,MoTrPAC_human_precovid_sed_adu,motrpac_human_plasma_endur_post,motrpac_human_precovid_endur_post_3.5_4hr_vs_pre,metab-u-hilicpos,
CAR 18:1 [metab-u-hilicpos] [refmet: CAR 18:1],CAR 18:1,Fatty Acyls,0.540848203808046,log2fc,1.69161588596823e-33,7.40081950111101e-32,benjamini_hochberg,within_each_platform_da_table_as_released_by_motrpac_v1.3_dream_acute,provided,higher_in_numerator,MoTrPAC_human_precovid_sed_adu,motrpac_human_plasma_endur_post,motrpac_human_precovid_endur_post_3.5_4hr_vs_pre,metab-u-hilicpos,
Methyl 3-hydroxybenzoate [metab-u-rpneg] [refmet: Methyl 3-hydroxybenzoate],Methyl 3-hydroxybenzoate,Benzenoids,3.13995464252324,log2fc,1.7751341561625901e-31,1.8106368392858398e-29,benjamini_hochberg,within_each_platform_da_table_as_released_by_motrpac_v1.3_dream_acute,provided,higher_in_numerator,MoTrPAC_human_precovid_sed_adu,motrpac_human_plasma_endur_post,motrpac_human_precovid_endur_post_3.5_4hr_vs_pre,metab-u-rpneg,
2-Hydroxybutyric acid [metab-u-rpneg] [refmet: 2-Hydroxybutyric acid],2-Hydroxybutyric acid,Fatty Acyls,1.49750586205278,log2fc,5.72366779657064e-31,2.91907057625103e-29,benjamini_hochberg,within_each_platform_da_table_as_released_by_motrpac_v1.3_dream_acute,provided,higher_in_numerator,MoTrPAC_human_precovid_sed_adu,motrpac_human_plasma_endur_post,motrpac_human_precovid_endur_post_3.5_4hr_vs_pre,metab-u-rpneg,
