feature_id,refmet_name,refmet_super_class,effect,effect_scale,p_value,fdr,fdr_method,fdr_scope,fdr_source,selection_status,source_study_id,source_dataset_id,contrast_id,platform,sex
dmgv,dmgv,Organic acids,-0.8511474,log2fc,5.3853696e-06,0.018602427,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,lower_in_numerator,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
car(14:1) [source metabolite label NA],car(14:1),unclassified_no_refmet_match,-0.5594098,log2fc,1.8400277e-05,0.04248797,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,lower_in_numerator,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
creatinine [source metabolite label NA],creatinine,Organoheterocyclic compounds,0.3613778,log2fc,4.6423684e-05,0.076942705,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
car(14:0) [source metabolite label NA],car(14:0),unclassified_no_refmet_match,-0.4774162,log2fc,0.0003473366,0.25527412,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
car(18:2) [source metabolite label NA],car(18:2),unclassified_no_refmet_match,-0.5417065,log2fc,0.00048413718,0.30313268,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
c16:1 sm [refmet: sm(d18:1/16:1)],sm(d18:1/16:1),unclassified_no_refmet_match,-0.3964862,log2fc,0.0006548194,0.36465642,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
3-methoxytyrosine,3-methoxytyrosine,unclassified_no_refmet_match,0.5571795,log2fc,0.00072924746,0.38770965,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
lpc(18:3/0:0)_and_lpc(0:0/18:3)_feature1and2 [refmet: lpc(18:3)_lp_ab],lpc(18:3)_lp_ab,unclassified_no_refmet_match,0.41317835,log2fc,0.0010584294,0.4839746,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
gamma-aminobutyric acid [source metabolite label NA],gamma-aminobutyric acid,Fatty Acyls,-0.28289837,log2fc,0.0013475455,0.5552716,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
pc(36:4)_feature8 [refmet: pc(36:4)_lp_h],pc(36:4)_lp_h,unclassified_no_refmet_match,-2.1524806,log2fc,0.0016211198,0.61826974,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
pe(o-38:7)>pe(o-16:1/22:6)_and_pe(o-20:7/18:0)_feature2 [refmet: pe(o-38:7)_ln_b],pe(o-38:7)_ln_b,unclassified_no_refmet_match,-0.5030169,log2fc,0.0016715879,0.6286975,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
hexcer(d42:0-oh)_m+h2co2_feature2 [refmet: hexcer(d42:0-oh)_ln_b],hexcer(d42:0-oh)_ln_b,unclassified_no_refmet_match,0.32768318,log2fc,0.0017937598,0.65320325,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
sie(22:6)_m+nh3_feature1 [refmet: sitosterol ester(22:6)],sitosterol ester(22:6),unclassified_no_refmet_match,-0.44912913,log2fc,0.0018801077,0.67309105,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
c16:0 sm [refmet: sm(d18:1/16:0)],sm(d18:1/16:0),unclassified_no_refmet_match,-0.31570938,log2fc,0.002570347,0.8061011,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
car(14:2) [source metabolite label NA],car(14:2),unclassified_no_refmet_match,-0.42461404,log2fc,0.0025733488,0.8068332,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
car(16:1),car(16:1),unclassified_no_refmet_match,-0.8727404,log2fc,0.0027875856,0.8412778,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
lpc(18:1/0:0)_and_lpc(0:0/18:1)_m+h2co2_feature1and2 [refmet: lpc(18:1)_ln_b],lpc(18:1)_ln_b,unclassified_no_refmet_match,0.27955797,log2fc,0.0031357717,0.9037215,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
car(16:3) [source metabolite label NA],car(16:3),unclassified_no_refmet_match,-0.584889,log2fc,0.0034031072,0.9475627,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
dg(38:3)>dg(18:2_20:1_0:0)_m+nh3_feature2 [refmet: dg(18:2_20:1)_lp_b],dg(18:2_20:1)_lp_b,unclassified_no_refmet_match,0.53713983,log2fc,0.003502639,0.96070176,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
tg(58:10)_m+nh3_feature3 [refmet: tg(58:10)_lp_c],tg(58:10)_lp_c,unclassified_no_refmet_match,-3.1471837,log2fc,0.0039665974,1.0,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
fa(17:0) [refmet: margaric acid],margaric acid,Fatty Acyls,2.341533,log2fc,0.07134177,1.0,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
lpc(0:0/18:1)_feature1 [refmet: lpc(0:0/18:1)_lp_a],lpc(0:0/18:1)_lp_a,unclassified_no_refmet_match,2.090063,log2fc,0.05092301,1.0,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
erucamide_feature1 [refmet: 13-docosenamide],13-docosenamide,Fatty Acyls,2.020877,log2fc,0.021249987,1.0,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
fa(12:0) [refmet: lauric acid],lauric acid,Fatty Acyls,2.0147183,log2fc,0.054247547,1.0,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
lpc(0:0/20:4)_feature1 [refmet: lpc(0:0/20:4)_lp_a],lpc(0:0/20:4)_lp_a,unclassified_no_refmet_match,1.9647784,log2fc,0.07788595,1.0,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
adenosine,adenosine,Nucleic acids,-1.8944153,log2fc,0.03542458,1.0,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
chenodeoxycholate [refmet: chenodeoxycholic acid],chenodeoxycholic acid,Sterol Lipids,-1.67788,log2fc,0.31132764,1.0,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
taurocholate_feature1 [refmet: taurocholic acid],taurocholic acid,Sterol Lipids,-1.5885589,log2fc,0.017641984,1.0,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
taurocholate [refmet: taurocholic acid],taurocholic acid,Sterol Lipids,-1.5523964,log2fc,0.037890263,1.0,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
taurohyocoholate [refmet: taurohyocholic acid],taurohyocholic acid,Sterol Lipids,-1.5198119,log2fc,0.007833036,1.0,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
