feature_id,refmet_name,refmet_super_class,effect,effect_scale,p_value,fdr,fdr_method,fdr_scope,fdr_source,selection_status,source_study_id,source_dataset_id,contrast_id,platform,sex
lpc(17:1/0:0)_feature2 [refmet: lpc(17:1/0:0)_lp_b],lpc(17:1/0:0)_lp_b,unclassified_no_refmet_match,1.0173411,log2fc,2.336337e-07,0.0018582924,benjamini_hochberg,within_male_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,higher_in_numerator,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_male,not_reported,male
lpc(18:3/0:0)_and_lpc(0:0/18:3)_feature1and2 [refmet: lpc(18:3)_lp_ab],lpc(18:3)_lp_ab,unclassified_no_refmet_match,1.022464,log2fc,2.801081e-07,0.0021433383,benjamini_hochberg,within_male_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,higher_in_numerator,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_male,not_reported,male
pc(30:1)_feature1 [refmet: pc(30:1)_lp_a],pc(30:1)_lp_a,unclassified_no_refmet_match,1.3841876,log2fc,8.874994e-07,0.00506121,benjamini_hochberg,within_male_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,higher_in_numerator,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_male,not_reported,male
pc(33:1)_feature1 [refmet: pc(33:1)_lp_a],pc(33:1)_lp_a,unclassified_no_refmet_match,0.7315712,log2fc,9.444436e-07,0.005335614,benjamini_hochberg,within_male_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,higher_in_numerator,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_male,not_reported,male
lpc(16:1/0:0)_and_lpc(0:0/16:1)_feature1and2 [refmet: lpc(16:1)_lp_ab],lpc(16:1)_lp_ab,unclassified_no_refmet_match,1.0441104,log2fc,6.7302108e-06,0.021412492,benjamini_hochberg,within_male_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,higher_in_numerator,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_male,not_reported,male
lpc(14:0/0:0)_and_lpc(0:0/14:0)_feature1and2 [refmet: lpc(14:0)_lp_ab],lpc(14:0)_lp_ab,unclassified_no_refmet_match,0.76261234,log2fc,7.320784e-06,0.022929387,benjamini_hochberg,within_male_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,higher_in_numerator,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_male,not_reported,male
pc(32:2)_feature1 [refmet: pc(32:2)_lp_a],pc(32:2)_lp_a,unclassified_no_refmet_match,0.8425982,log2fc,8.432423e-06,0.025110103,benjamini_hochberg,within_male_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,higher_in_numerator,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_male,not_reported,male
pc(34:3)_feature3 [refmet: pc(34:3)_lp_c],pc(34:3)_lp_c,unclassified_no_refmet_match,0.6020763,log2fc,9.042541e-06,0.026216613,benjamini_hochberg,within_male_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,higher_in_numerator,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_male,not_reported,male
pc(34:3)_feature1 [refmet: pc(34:3)_lp_a],pc(34:3)_lp_a,unclassified_no_refmet_match,0.9428511,log2fc,1.3478936e-05,0.034957252,benjamini_hochberg,within_male_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,higher_in_numerator,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_male,not_reported,male
pc(35:3)_feature1 [refmet: pc(35:3)_lp_a],pc(35:3)_lp_a,unclassified_no_refmet_match,1.0322183,log2fc,1.3809722e-05,0.035418082,benjamini_hochberg,within_male_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,higher_in_numerator,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_male,not_reported,male
pc(32:1)_feature1 [refmet: pc(32:1)_lp_a],pc(32:1)_lp_a,unclassified_no_refmet_match,1.0008618,log2fc,1.7495133e-05,0.041303653,benjamini_hochberg,within_male_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,higher_in_numerator,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_male,not_reported,male
lpc(20:3)_feature1and2 [refmet: lpc(20:3)_lp_ab],lpc(20:3)_lp_ab,unclassified_no_refmet_match,0.73495245,log2fc,1.9507892e-05,0.04399406,benjamini_hochberg,within_male_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,higher_in_numerator,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_male,not_reported,male
glutamic acid [source metabolite label NA],glutamic acid,Organic acids,-0.66313607,log2fc,5.0171278e-15,2.021883e-09,benjamini_hochberg,within_male_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,lower_in_numerator,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_male,not_reported,male
car(16:0) [source metabolite label NA],car(16:0),unclassified_no_refmet_match,-0.49644962,log2fc,2.7727083e-06,0.011567708,benjamini_hochberg,within_male_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,lower_in_numerator,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_male,not_reported,male
citric acid [source metabolite label NA],citric acid,Organic acids,-0.5310895,log2fc,3.195445e-06,0.012855647,benjamini_hochberg,within_male_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,lower_in_numerator,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_male,not_reported,male
pc(38:6)>pc(16:0_22:6)_and_pc(18:0_20:6)_m+h2co2_feature2 [refmet: pc(38:6)_ln_b],pc(38:6)_ln_b,unclassified_no_refmet_match,-0.6014325,log2fc,1.2470643e-05,0.033282258,benjamini_hochberg,within_male_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,lower_in_numerator,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_male,not_reported,male
n-acetylputrescine,n-acetylputrescine,Alkaloids,-0.7201111,log2fc,1.3503055e-05,0.034957252,benjamini_hochberg,within_male_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,lower_in_numerator,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_male,not_reported,male
cystathionine 1 [refmet: cystathionine],cystathionine,Organic acids,-1.1266315,log2fc,1.564716e-05,0.03868555,benjamini_hochberg,within_male_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,lower_in_numerator,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_male,not_reported,male
c38:6 pe [refmet: pe(38:6)],pe(38:6),unclassified_no_refmet_match,-0.8186053,log2fc,1.6818663e-05,0.040290635,benjamini_hochberg,within_male_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,lower_in_numerator,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_male,not_reported,male
pi(40:6)>pi(18:0_22:6)_feature2 [refmet: pi(18:0_22:6)_ln_b],pi(18:0_22:6)_ln_b,unclassified_no_refmet_match,-0.60543734,log2fc,2.0428577e-05,0.044987094,benjamini_hochberg,within_male_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,lower_in_numerator,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_male,not_reported,male
kynurenine,kynurenine,Organic acids,-1.2381072,log2fc,2.2724378e-05,0.04811473,benjamini_hochberg,within_male_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,lower_in_numerator,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_male,not_reported,male
pc(35:1)_feature1 [refmet: pc(35:1)_lp_a],pc(35:1)_lp_a,unclassified_no_refmet_match,0.6324906,log2fc,3.3088432e-05,0.061559685,benjamini_hochberg,within_male_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_male,not_reported,male
ce(18:3)_m+nh3_feature1 [refmet: ce(18:3)],ce(18:3),unclassified_no_refmet_match,0.8771346,log2fc,3.7832375e-05,0.067461506,benjamini_hochberg,within_male_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_male,not_reported,male
pc(34:1)_feature2 [refmet: pc(34:1)_lp_b],pc(34:1)_lp_b,unclassified_no_refmet_match,0.47333187,log2fc,7.227948e-05,0.103170075,benjamini_hochberg,within_male_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_male,not_reported,male
pi(40:5)>pi(18:0_22:5)_feature1 [refmet: pi(18:0_22:5)_lp_a],pi(18:0_22:5)_lp_a,unclassified_no_refmet_match,-0.6836211,log2fc,7.517388e-05,0.1058025,benjamini_hochberg,within_male_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_male,not_reported,male
pe(38:6)>pe(16:0_22:6)_feature3 [refmet: pe(16:0_22:6)_ln_c],pe(16:0_22:6)_ln_c,unclassified_no_refmet_match,-0.9216547,log2fc,7.859423e-05,0.10834608,benjamini_hochberg,within_male_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_male,not_reported,male
pc(42:8)_feature3 [refmet: pc(42:8)_lp_c],pc(42:8)_lp_c,unclassified_no_refmet_match,-0.61842674,log2fc,9.616789e-05,0.12173763,benjamini_hochberg,within_male_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_male,not_reported,male
pc(31:0)_feature1 [refmet: pc(31:0)_lp_a],pc(31:0)_lp_a,unclassified_no_refmet_match,0.9987568,log2fc,0.00011779053,0.13893405,benjamini_hochberg,within_male_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_male,not_reported,male
methionine [source metabolite label NA],methionine,Organic acids,0.2528506,log2fc,0.00012464453,0.1437918,benjamini_hochberg,within_male_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_male,not_reported,male
lpe(18:1/0:0)_and_lpe(0:0/18:1)_feature1and2 [refmet: lpe(18:1)_lp_ab],lpe(18:1)_lp_ab,unclassified_no_refmet_match,0.429687,log2fc,0.00012520043,0.14415798,benjamini_hochberg,within_male_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_male,not_reported,male
cortisol [source metabolite label NA],cortisol,Sterol Lipids,-1.1737683,log2fc,0.00013364761,0.1493331,benjamini_hochberg,within_male_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_male,not_reported,male
pc(37:3)_feature2 [refmet: pc(37:3)_lp_b],pc(37:3)_lp_b,unclassified_no_refmet_match,0.7426899,log2fc,0.00014606563,0.15543924,benjamini_hochberg,within_male_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_male,not_reported,male
pe(38:6)_feature3 [refmet: pe(38:6)_lp_c],pe(38:6)_lp_c,unclassified_no_refmet_match,-0.79239637,log2fc,0.00015053006,0.15825139,benjamini_hochberg,within_male_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_male,not_reported,male
sm(d35:1) [source metabolite label NA],sm(d35:1),unclassified_no_refmet_match,0.4651424,log2fc,0.00015505824,0.16132842,benjamini_hochberg,within_male_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_male,not_reported,male
car(12:0) [source metabolite label NA],car(12:0),unclassified_no_refmet_match,-0.46517006,log2fc,0.0001577014,0.1634629,benjamini_hochberg,within_male_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_male,not_reported,male
lpc(18:2/0:0)_feature2 [refmet: lpc(18:2/0:0)_lp_b],lpc(18:2/0:0)_lp_b,unclassified_no_refmet_match,0.56321275,log2fc,0.00016086567,0.1650974,benjamini_hochberg,within_male_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_male,not_reported,male
lpc(18:1/0:0)_feature2 [refmet: lpc(18:1/0:0)_lp_b],lpc(18:1/0:0)_lp_b,unclassified_no_refmet_match,0.4993596,log2fc,0.00019446184,0.18410502,benjamini_hochberg,within_male_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_male,not_reported,male
pi(40:5)>pi(18:0_22:5)_feature1 [refmet: pi(18:0_22:5)_ln_a],pi(18:0_22:5)_ln_a,unclassified_no_refmet_match,-0.56807923,log2fc,0.00019512145,0.1845063,benjamini_hochberg,within_male_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_male,not_reported,male
acisoga,acisoga,Alkaloids,-0.63051015,log2fc,0.0002712333,0.2245065,benjamini_hochberg,within_male_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_male,not_reported,male
tg(54:4)_m+nh3_feature6 [refmet: tg(54:4)_lp_f],tg(54:4)_lp_f,unclassified_no_refmet_match,-0.55818504,log2fc,0.000271965,0.22459064,benjamini_hochberg,within_male_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_male,not_reported,male
pc(40:6)>pc(18:0_22:6)_m+h2co2_feature3 [refmet: pc(18:0_22:6)_ln_c],pc(18:0_22:6)_ln_c,unclassified_no_refmet_match,-0.48323444,log2fc,0.00028749512,0.23019801,benjamini_hochberg,within_male_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_male,not_reported,male
car(18:2) [source metabolite label NA],car(18:2),unclassified_no_refmet_match,-0.47029826,log2fc,0.00029135856,0.23135784,benjamini_hochberg,within_male_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_male,not_reported,male
pc(40:7)>pc(18:1_22:6)_m+h2co2_feature3 [refmet: pc(18:1_22:6)_ln_c],pc(18:1_22:6)_ln_c,unclassified_no_refmet_match,-0.5561158,log2fc,0.00030495756,0.23832591,benjamini_hochberg,within_male_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_male,not_reported,male
car(18:1) [source metabolite label NA],car(18:1),unclassified_no_refmet_match,-0.55839103,log2fc,0.00031559105,0.24194415,benjamini_hochberg,within_male_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_male,not_reported,male
pi(36:3)_feature2 [refmet: pi(36:3)_lp_b],pi(36:3)_lp_b,unclassified_no_refmet_match,0.5742583,log2fc,0.0003167844,0.24270512,benjamini_hochberg,within_male_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_male,not_reported,male
