main_class,count,percent
Triradylglycerols,33688,16.357527142773904
Glycosphingolipids,16592,8.056402587060811
Fatty esters,15818,7.68057956377338
Glycerophosphoglycerols,15387,7.471303435818751
Glycerophosphoethanolamines,12424,6.032590751063375
Glycerophosphocholines,11718,5.689785771165537
Amino acids and peptides,9845,4.780332899566881
Glycerophosphoserines,8716,4.232136267407307
Ceramides,8377,4.067531609920951
Diradylglycerols,8203,3.9830442636005206
Glycosyldiradylglycerols,8061,3.9140948200516634
Phosphosphingolipids,7722,3.7494901625653076
Glycerophosphoinositols,7445,3.6149901916988756
Glycerophosphates,7430,3.6077067997747005
Other Glycerolipids,5219,2.5341348301513005
Sterol/Bile acid conjugates(In-silico),3784,1.8373570027385553
Other Glycerophospholipids,2543,1.234777710878474
Fatty amides,2136,1.0371550100025249
Cardiolipins,2086,1.0128770369219415
Fatty acids,1273,0.6181171946316546
Glycerophosphoglycerophosphoglycerols,1077,0.5229475401557675
Flavonoids,958,0.4651659642239789
Benzenes,953,0.4627381669159205
Isoprenoids,870,0.422436731602152
Sterol esters(In-silico),774,0.3758230232874318
Bile acids,619,0.3005613067376231
Steroids,521,0.25297647949967955
Glycosylmonoradylglycerols,502,0.24375084972905783
Eicosanoids,463,0.22481403072620273
Sterols,416,0.20199273603045428
Tryptophan alkaloids,397,0.19276710625983257
Benzoic acids,346,0.16800357371763747
Monosaccharides,339,0.16460465748635578
Glycerophosphoinositolglycans,338,0.16411909802474411
Phenols,331,0.16072018179346242
Sterols/Bile acids(In-silico),318,0.15440790879251073
Phenylpropanoids,315,0.15295123040767572
Aromatic polyketides,273,0.13255773301998564
Purines,265,0.12867325732709228
Tyrosine alkaloids,265,0.12867325732709228
Glycerophosphoinositol bisphosphates,256,0.12430322217258725
Glycerophosphoinositol trisphosphates,230,0.11167867617068386
Pyrimidines,225,0.10925087886262552
Pyridine alkaloids,216,0.1048808437081205
Hydrocarbons,201,0.09759745178394547
Carbonyl compounds,181,0.08788626255171209
Monoradylglycerols,177,0.08594402470526541
Octadecanoids,176,0.08545846524365373
Sterols(In silico),170,0.08254510847398372
Anthranilic acid alkaloids,153,0.07429059762658535
Amines,147,0.07137724085691534
Sterol esters,136,0.06603608677918697
Carboxylic acids,133,0.06457940839435197
Coumarins,125,0.06069493270145862
Fatty alcohols,125,0.06069493270145862
Organooxygen compounds,121,0.058752694855011944
Azoles,121,0.058752694855011944
Sphingoid bases,118,0.05729601647017694
Organonitrogen compounds,117,0.05681045700856527
Macrolides,116,0.0563248975469536
Glycerophosphoinositol phosphates,113,0.05486821916211859
Naphthalenes,106,0.05146930293083691
Ornithine alkaloids,100,0.048555946161166895
Alcohols and polyols,98,0.04758482723794356
Halobenzenes,89,0.043214792083438536
Organosulfur compounds,85,0.04127255423699186
Alkaloids,81,0.039330316390545184
Quinones and hydroquinones,75,0.03641695962087517
Anilides,72,0.03496028123604016
Ethers,71,0.03447472177442849
Glycerophosphoinositol monophosphates,71,0.03447472177442849
Lysine alkaloids,70,0.033989162312816824
Beta lactams,66,0.03204692446637015
Phosphate esters,64,0.031075805543146814
Fatty aldehydes,63,0.030590246081535145
Histidine alkaloids,62,0.030104686619923476
Keto acids,61,0.029619127158311807
Benzopyrans,61,0.029619127158311807
Docosanoids,61,0.029619127158311807
Quinolines,60,0.029133567696700138
Pterins,50,0.024277973080583447
Biphenyls,48,0.02330685415736011
Pseudoalkaloids,46,0.02233573523413677
Piperazines,40,0.019422378464466757
Anilines,40,0.019422378464466757
Pyridines,39,0.018936819002855088
Glycosyl compounds,38,0.01845125954124342
Alkyl halides,38,0.01845125954124342
Lactones,38,0.01845125954124342
Piperidines,38,0.01845125954124342
Diazines,37,0.01796570007963175
Secosterols,35,0.016994581156408412
Glyceropyrophosphates,35,0.016994581156408412
Dinucleotides,34,0.016509021694796743
Benzamides,34,0.016509021694796743
Disaccharides,33,0.016023462233185074
Diarylethers,32,0.015537902771573407
Hydropyridines,31,0.015052343309961738
Triazines,31,0.015052343309961738
Polyprenols,30,0.014566783848350069
Benzofurans,30,0.014566783848350069
Guanidines,30,0.014566783848350069
Organic phosphonic acids,29,0.0140812243867384
Hydroxy acids,29,0.0140812243867384
Benzodiazines,29,0.0140812243867384
Heteroaromatic compounds,27,0.013110105463515062
Benzimidazoles,27,0.013110105463515062
Organic thiophosphoric acids,25,0.012138986540291724
Dihydrofurans,24,0.011653427078680055
Benzothiazines,24,0.011653427078680055
Arylsulfates,24,0.011653427078680055
Phenolic lipids,23,0.011167867617068386
Organohalogen compounds,23,0.011167867617068386
Morpholines,22,0.010682308155456717
Phenoxyacetic acids,22,0.010682308155456717
Benzothiazoles,22,0.010682308155456717
Organic sulfuric acids,22,0.010682308155456717
Tetrapyrroles,22,0.010682308155456717
Oligosaccharides,21,0.010196748693845048
Benzodioxoles,21,0.010196748693845048
Quinolones,21,0.010196748693845048
Isoindolines,21,0.010196748693845048
Pyrans,21,0.010196748693845048
Cholines,20,0.009711189232233379
Benzoxazines,19,0.00922562977062171
Furanoid lignans,19,0.00922562977062171
Organosulfonic acids,19,0.00922562977062171
Benzaldehydes,19,0.00922562977062171
Fluorenes,19,0.00922562977062171
Benzazepines,18,0.00874007030901004
Tannins,18,0.00874007030901004
Fatty acyl glycosides,18,0.00874007030901004
Tetracyclines,17,0.008254510847398372
Pyrrolines,16,0.007768951385786703
Diarylheptanoids,16,0.007768951385786703
Pyrrolidines,14,0.006797832462563365
Cyanides,14,0.006797832462563365
Furans,14,0.006797832462563365
TCA acids,14,0.006797832462563365
Serine alkaloids,13,0.006312273000951696
Organic phosphoric acids,13,0.006312273000951696
Phenylacetic acids,13,0.006312273000951696
Naphthacenes,13,0.006312273000951696
Porphyrins,13,0.006312273000951696
Organic dithiophosphoric acids,13,0.006312273000951696
Bilirubins,12,0.005826713539340027
Substituted pyrroles,12,0.005826713539340027
PC/PE,12,0.005826713539340027
Dialkylthioethers,12,0.005826713539340027
Furoic acids,12,0.005826713539340027
Imidazoles,11,0.005341154077728358
Pteridines,11,0.005341154077728358
Azobenzenes,11,0.005341154077728358
Thiadiazines,11,0.005341154077728358
Thiophenes,10,0.004855594616116689
Aminotriazines,10,0.004855594616116689
Indanes,10,0.004855594616116689
Lignan lactones,10,0.004855594616116689
Angucyclines,10,0.004855594616116689
Organometallic compounds,10,0.004855594616116689
Phenylpropylamines,10,0.004855594616116689
Linear polyketides,10,0.004855594616116689
Naphthopyrans,9,0.00437003515450502
Vinyl halides,9,0.00437003515450502
Lignans,9,0.00437003515450502
Aflatoxins,9,0.00437003515450502
Cyclohexylamines,9,0.00437003515450502
Benzoxazoles,9,0.00437003515450502
Epoxides,9,0.00437003515450502
Short-chain acids,8,0.0038844756928933517
Thiolanes,8,0.0038844756928933517
Sulfonic acids,8,0.0038844756928933517
Proline alkaloids,7,0.0033989162312816827
N-nitroso compounds,7,0.0033989162312816827
Pyrrolizines,7,0.0033989162312816827
Indolyl carboxylic acids,7,0.0033989162312816827
Phenylpropenes,7,0.0033989162312816827
Pyrrolidones,7,0.0033989162312816827
Azaspirodecanes,7,0.0033989162312816827
Naphthofurans,7,0.0033989162312816827
Oxazoles,7,0.0033989162312816827
Chrysenes,6,0.0029133567696700137
Benzodiazepines,6,0.0029133567696700137
Butyrophenones,6,0.0029133567696700137
Nicotinamides,6,0.0029133567696700137
Benzotriazoles,6,0.0029133567696700137
Isobenzofuranones,6,0.0029133567696700137
Indanones,6,0.0029133567696700137
Dibenzylbutane lignans,6,0.0029133567696700137
Other nucleic acids,5,0.0024277973080583447
Dibenzocycloheptenes,5,0.0024277973080583447
Arylnaphthalene lignans,5,0.0024277973080583447
Oxepanes,5,0.0024277973080583447
Tetrazoles,5,0.0024277973080583447
Aryltetralin lignans,5,0.0024277973080583447
Organic carbonic acids,5,0.0024277973080583447
Primary alcohols,5,0.0024277973080583447
"Allyl-type 1,3-dipolar organic compounds",5,0.0024277973080583447
Halohydrins,5,0.0024277973080583447
Alloxazines and isoalloxazines,5,0.0024277973080583447
Indoloquinolines,5,0.0024277973080583447
Benzothiophenes,5,0.0024277973080583447
Sulfur inorganic compounds,4,0.0019422378464466759
Phenanthrolines,4,0.0019422378464466759
Corrinoids,4,0.0019422378464466759
Dioxanes,4,0.0019422378464466759
Carboximidic acids,4,0.0019422378464466759
Caprolactams,4,0.0019422378464466759
Dialkyldisulfides,4,0.0019422378464466759
Thiadiazoles,4,0.0019422378464466759
Hydroquinolines,4,0.0019422378464466759
Benzoquinolines,4,0.0019422378464466759
Heterocyclic compounds,4,0.0019422378464466759
Vinylogous acids,4,0.0019422378464466759
Isocoumarans,4,0.0019422378464466759
Triphenyl compounds,4,0.0019422378464466759
Allyl sulfur compounds,4,0.0019422378464466759
Isoquinolones,4,0.0019422378464466759
Naphthyridines,4,0.0019422378464466759
Nitro compounds,4,0.0019422378464466759
Coumarans,3,0.0014566783848350068
Furopyrans,3,0.0014566783848350068
Fatty ethers,3,0.0014566783848350068
Metallotetrapyrroles,3,0.0014566783848350068
Phosphorus inorganic compounds,3,0.0014566783848350068
Flavonolignans,3,0.0014566783848350068
Glycerophosphoglycerophosphates,3,0.0014566783848350068
Carbothioic S-acids,3,0.0014566783848350068
Naphthopyranones,3,0.0014566783848350068
Benzocycloheptapyridines,3,0.0014566783848350068
Benzofuranones,3,0.0014566783848350068
Pyrrolopyrimidines,3,0.0014566783848350068
Benzothiopyrans,3,0.0014566783848350068
Oxolanes,3,0.0014566783848350068
Arginine alkaloids,3,0.0014566783848350068
Tetrazines,3,0.0014566783848350068
Nitroquinolines,3,0.0014566783848350068
Oxanes,3,0.0014566783848350068
Thiochromanes,3,0.0014566783848350068
Dithianes,3,0.0014566783848350068
Dibenzoxepines,3,0.0014566783848350068
Cytochalasins,3,0.0014566783848350068
Aminoxides,2,0.0009711189232233379
Lignan glycosides,2,0.0009711189232233379
Glycinamide ribonucleotides,2,0.0009711189232233379
Benzylquinolines,2,0.0009711189232233379
Benzimidazolylcarbamic acid esters,2,0.0009711189232233379
Ansamycins,2,0.0009711189232233379
Pyrenes,2,0.0009711189232233379
Oxathianes,2,0.0009711189232233379
Benzodioxanes,2,0.0009711189232233379
Carnitines,2,0.0009711189232233379
Organic trisulfides,2,0.0009711189232233379
Pyrrole carboxylic acids,2,0.0009711189232233379
Benzotriazines,2,0.0009711189232233379
Pyrroloazepines,2,0.0009711189232233379
Hopanoids,2,0.0009711189232233379
Benzothiazepines,2,0.0009711189232233379
Dibenzoxazepines,2,0.0009711189232233379
Polyenes,2,0.0009711189232233379
Cyclic ureas,2,0.0009711189232233379
Organic oxides,2,0.0009711189232233379
Oxazolidines,2,0.0009711189232233379
Dithiolanes,2,0.0009711189232233379
Other sphingolipids,2,0.0009711189232233379
Cyclopyrrolones,2,0.0009711189232233379
Fatty nitriles,2,0.0009711189232233379
Cycloheptapyrans,2,0.0009711189232233379
Benzothiadiazoles,2,0.0009711189232233379
Hydroxyquinolines,2,0.0009711189232233379
Other acyl sugars,2,0.0009711189232233379
Organic nitrates,2,0.0009711189232233379
Flavins,2,0.0009711189232233379
Sulfinic acids,2,0.0009711189232233379
Tetrahydrofurans,2,0.0009711189232233379
Chlorins,2,0.0009711189232233379
Thienopyridines,1,0.00048555946161166896
Arsenic inorganic compounds,1,0.00048555946161166896
Aziridines,1,0.00048555946161166896
Triazinanes,1,0.00048555946161166896
Thienothiazines,1,0.00048555946161166896
Amine oxides,1,0.00048555946161166896
Thiosulfinic acid esters,1,0.00048555946161166896
Alpha-acyloxy carbonyl compounds,1,0.00048555946161166896
Thiadiazinanes,1,0.00048555946161166896
Unassigned,1,0.00048555946161166896
Trioxanes,1,0.00048555946161166896
Azolidines,1,0.00048555946161166896
Trithianes,1,0.00048555946161166896
Azepines,1,0.00048555946161166896
Cyclic glycerophosphatidic acids,1,0.00048555946161166896
Quinuclidines,1,0.00048555946161166896
N-acylpiperidines,1,0.00048555946161166896
Organoheterocyclic compounds,1,0.00048555946161166896
Organic thiocarbonic acid derivatives,1,0.00048555946161166896
Dihydrothiophenes,1,0.00048555946161166896
Dioxolopyrans,1,0.00048555946161166896
Dithiins,1,0.00048555946161166896
Nitrogen inorganic compounds,1,0.00048555946161166896
Dithiolanecarboxylic acids,1,0.00048555946161166896
Epothilones,1,0.00048555946161166896
Monic acids,1,0.00048555946161166896
Pyrrolizidinones,1,0.00048555946161166896
Fentanyls,1,0.00048555946161166896
Lipoic acids,1,0.00048555946161166896
Glycinamidine ribonucleotides,1,0.00048555946161166896
Ketene acetals,1,0.00048555946161166896
Halomethanes,1,0.00048555946161166896
Isofamides,1,0.00048555946161166896
Isobenzofurans,1,0.00048555946161166896
Indenes,1,0.00048555946161166896
Dibenzothiepins,1,0.00048555946161166896
Dibenzothiazepines,1,0.00048555946161166896
Dibenzodiazepines,1,0.00048555946161166896
Diazinanes,1,0.00048555946161166896
Benzoxadiazoles,1,0.00048555946161166896
Pyridine sulfonamides,1,0.00048555946161166896
Benzoxepines,1,0.00048555946161166896
Benzylisoquinolines,1,0.00048555946161166896
Pyran carboxylic acids,1,0.00048555946161166896
CDP-Glycerols,1,0.00048555946161166896
Carbothioic S-lactones,1,0.00048555946161166896
Piperazinoazepines,1,0.00048555946161166896
Phthalazines,1,0.00048555946161166896
Phosphites,1,0.00048555946161166896
Phenylpropanes,1,0.00048555946161166896
Oxygen inorganic compounds,1,0.00048555946161166896
Oxocins,1,0.00048555946161166896
Oxazolopyridines,1,0.00048555946161166896
Oxazines,1,0.00048555946161166896
Dialkyl sulfides,1,0.00048555946161166896
Other Fatty Acyls,1,0.00048555946161166896
Vinylogous amides,1,0.00048555946161166896
