sub_class,count,percent
TAG,33431,16.232738361139706
FAHFA,14719,7.1469497154621555
HexCer,10579,5.136733544389846
Tripeptides,8017,3.8927302037407503
O-DG,5770,2.80167809349933
HBMP,5764,2.7987647367296598
Hex2Cer,4791,2.326315380581506
PC,4332,2.10344358770175
O-PC,4219,2.0485753685396313
O-PE,4006,1.9451512032163458
PE,3315,1.6096296152426826
O-PG,3313,1.6086584963194592
O-PA,3227,1.5669003826208558
O-PS,3206,1.5567036339270106
O-PI,3147,1.5280556256919222
LNAPE,3045,1.478528560607532
SM,2989,1.4513372307572785
Cer,2792,1.3556820168197798
PS,2635,1.2794491813467477
PG,2554,1.2401188649562025
PI,2529,1.2279798784159108
DAG,2431,1.1803950511779673
PA,2431,1.1803950511779673
CerPE,2409,1.1697127430225105
IPC,2324,1.1284401887855187
Cer-1-P,2292,1.1129022860139453
CL,2086,1.0128770369219415
N-acyl amines,1998,0.9701478043001146
BMP,1877,0.9113951094451026
MGDG,1837,0.8919727309806359
DGTS,1832,0.8895449336725776
DGCC,1794,0.8710936741313341
DGDG,1779,0.863810282207159
Ox-PC,1571,0.7628139141919319
Ox-PE,1571,0.7628139141919319
Ox-PS,1569,0.7618427952687086
Ox-PG,1568,0.7613572358070969
Ox-PA,1566,0.7603861168838736
DHCer,1566,0.7603861168838736
Ox-PI,1566,0.7603861168838736
PhytoCer,1202,0.5836424728572261
SQDG,1115,0.5413987996970109
LNAPS,1110,0.5389710023889526
DGGA,1110,0.5389710023889526
O-SMGDG,1110,0.5389710023889526
PM,1110,0.5389710023889526
O-DGDG,1110,0.5389710023889526
O-MGDG,1110,0.5389710023889526
PEth,1110,0.5389710023889526
Amino acids,918,0.4457435857595121
MLCL,818,0.3971876395983452
C24 Bile acid esters(In-silico),774,0.3758230232874318
SHexCer,709,0.3442616582826733
Glucuronic acid conjugates(In-silico),688,0.33406490958882823
Sulfate conjugates(In-silico),688,0.33406490958882823
N-acetylhexosamine conjugates(In-silico),688,0.33406490958882823
Hexose conjugates(In-silico),688,0.33406490958882823
MePC,601,0.2918212364286131
O-MePC,594,0.2884223201973314
C24 bile acids,580,0.281624487734768
Glycine conjugates(In-silico),516,0.2505486821916212
Taurine conjugates(In-silico),516,0.2505486821916212
Dipeptides,489,0.23743857672810612
Unsaturated FA,372,0.18062811971954085
