super_class,count,percent
Glycerophospholipids,69886,33.9338085341931
Glycerolipids,55850,27.11849593101171
Sphingolipids,32811,15.93169149494047
Fatty Acyls,20340,9.876279449181347
Organic acids,10648,5.1702371472410515
Sterol Lipids,6773,3.288694233495834
Benzenoids,2253,1.09396546701109
Polyketides,1584,0.7691261871928836
Alkaloids,1411,0.685124400334065
Organoheterocyclic compounds,1310,0.6360828947112863
Prenol Lipids,977,0.47439159399460057
Nucleic acids,551,0.2675432633480296
Organic oxygen compounds,502,0.24375084972905783
Carbohydrates,431,0.20927612795462933
Organic nitrogen compounds,353,0.17140248994891916
Organosulfur compounds,108,0.05244042185406025
Organohalogen compounds,76,0.03690251908248684
Lignans,59,0.02864800823508847
Organometallic compounds,10,0.004855594616116689
Inorganic compounds,10,0.004855594616116689
Alkaloids and derivatives,2,0.0009711189232233379
Saccharolipids,2,0.0009711189232233379
Organophosphorus compounds,1,0.00048555946161166896
