latin_name,common_names,study_count,percent_of_species_annotated_studies
Homo sapiens,Human,1852,41.3116
Mus musculus,Mouse,1463,32.6344
Rattus norvegicus,Rat,257,5.7328
Escherichia coli,E coli; Escherichia coli,54,1.2046
Plasmodium falciparum,Parasite; Plasmodium falciparum,53,1.1822
Drosophila melanogaster,Fruit fly; Insect,32,0.7138
Caenorhabditis elegans,C. elegans; Roundworm,27,0.6023
Arabidopsis thaliana,Arabidopsis thaliana,25,0.5577
Danio rerio,Zebrafish,24,0.5354
Saccharomyces cerevisiae,Saccharomyces cerevisiae; Yeast,24,0.5354
Sus scrofa,Pig,22,0.4907
Bos taurus,Cow,20,0.4461
Mycobacterium tuberculosis H37Rv,Mycobacterium tuberculosis,19,0.4238
Ovis aries,Sheep,19,0.4238
Bacteria,Bacteria,18,0.4015
Canis lupus familiaris,Dog,14,0.3123
Macaca mulatta,Rhesus monkey,14,0.3123
Staphylococcus aureus,Staphylococcus aureus,14,0.3123
Apis mellifera,Honey bee; Insect,13,0.29
Xenopus laevis,Frog,12,0.2677
Zea mays,Maize,12,0.2677
Other abiotic sample,Other; Other abiotic sample,11,0.2454
Bacteroides thetaiotaomicron,Bacteroides thetaiotaomicron,10,0.2231
Glycine max,Soybean,10,0.2231
Other,Other,9,0.2008
Capra hircus,Goat,8,0.1785
Eggerthella lenta,Eggerthella lenta,8,0.1785
Equus caballus,Horse,7,0.1561
Gallus gallus,Chicken,7,0.1561
Mesocricetus auratus,Golden hamster,7,0.1561
Oryctolagus cuniculus,Rabbit,7,0.1561
Pseudomonas aeruginosa,Pseudomonas aeruginosa,7,0.1561
Abiotic,Abiotic,6,0.1338
Candida albicans,Candida albicans; Yeast,6,0.1338
Enterococcus faecium,Enterococcus faecium,6,0.1338
Hordeum vulgare,Barley,6,0.1338
Quercus ilex,Oak,6,0.1338
Staphylococcus epidermidis,Bacteria; Staphylococcus epidermidis,6,0.1338
Synthetic,Synthetic,6,0.1338
Thalassiosira pseudonana,Thalassiosira pseudonana,6,0.1338
Cervus nippon,Sika deer,5,0.1115
Chlamydomonas reinhardtii,Chlamydomonas reinhardtii,5,0.1115
Enterococcus faecalis,Enterococcus faecalis,5,0.1115
Megalobrama amblycephala,Wuchang bream,5,0.1115
Salmonella enterica,Salmonella enterica,5,0.1115
Solanum lycopersicum,Tomato,5,0.1115
Synechocystis sp. PCC 6803,Synechococcus,5,0.1115
Algae,Algae,4,0.0892
Bacillus subtilis,Bacillus subtilis,4,0.0892
Bacteroides uniformis,Bacteroides uniformis,4,0.0892
Fusobacterium nucleatum,Fusobacterium nucleatum,4,0.0892
Marine microbes,Marine microbes,4,0.0892
Metacarcinus magister,Dungeness crab,4,0.0892
Oncorhynchus mykiss,Rainbow trout,4,0.0892
Phoenix dactylifera,Date palm,4,0.0892
