study_id,stratum,metabolite,refmet_name,log2fc,p_value,n_pairs,mean_pre,mean_post,fdr,neg_log10_p,rank
ST003662,all,Lactic acid,Lactic acid,3.60995939518502,1.862100212118127e-29,79,2513.7910955913294,12793.612717063292,3.4138503888832326e-28,28.729996950422983,1
ST003662,all,Pyruvic acid,Pyruvic acid,1.9997748427949464,7.818099580891603e-64,121,44.671929895165285,177.34221847305787,1.2899864308471145e-61,63.106898802162114,2
ST003662,all,Xanthine,Xanthine,1.4326893915840937,3.0075111605333535e-35,121,0.7439008331735537,2.0647537785454544,1.2405983537200084e-33,34.52179275236748,3
ST003662,all,Lactoyl Phenylalanine,N-Lactoyl phenylalanine,1.158602604139859,2.7324245842427723e-15,116,0.5391989305689655,0.7552617628879312,2.5047225355558747e-14,14.563451815873847,4
ST003662,all,Hypoxanthine,Hypoxanthine,1.1102525614390957,5.403052639081972e-38,121,1.3855949460247936,2.9425291910495868,2.9716789514950847e-36,37.26736080133893,5
ST003662,all,Succinic acid,Succinic acid,1.0029531668974063,8.690834732450301e-46,121,7.14139293822314,13.412159891008264,7.169938654271499e-44,45.060938508673665,6
ST003662,all,Hippuric acid,Hippuric acid,0.9599812510109064,0.0005045843993827,55,21.258959253254545,31.329732749781815,0.0017345088728782,3.2970661810215973,7
ST003662,all,Serotonin,Serotonin,0.7988342272601192,1.2873662516978853e-18,78,0.1083336322435897,0.1720018686794871,1.6339648579242388e-17,17.89029788008626,8
ST003662,all,Dihydroxyacetone phosphate,Dihydroxyacetone phosphate,0.793069557095117,1.8819491855907783e-14,67,19.929661224791044,14.921132070074629,1.6343242927498868e-13,13.725392107112512,9
ST003662,all,Arginine,Arginine,0.5595560785037679,2.347848900631638e-20,121,15.901794856066113,21.814274457256204,3.2282922383685025e-19,19.629329856203572,10
ST003662,all,Uracil,Uracil,0.5248882080949343,0.001877922336673,53,0.0793624973396226,0.1040218323018867,0.0057380960287232,2.726322372374366,11
ST003662,all,Ribose-5-phosphate,Ribose 5-phosphate,0.5120455788622155,0.0005685364316514,48,0.4214572215833334,0.5385061596041666,0.0018761702244498,3.2452417006187178,12
ST003662,all,Malic acid,Malic acid,0.4723369945752489,8.868689527134483e-08,77,14.255960427064936,16.516904657103893,4.720431522507063e-07,7.05214054850882,13
ST003662,all,3-Phosphoglyceric acid,3-Phosphoglyceric acid,0.4514965362171592,9.714224453642044e-12,119,24.359383161563024,32.1438892377479,7.285668340231533e-11,11.012591866083076,14
ST003662,all,CAR 10:0,CAR 10:0,0.4235130945959182,0.0003359496446356,22,0.0277146291818181,0.0380302383636363,0.0012318153636639,3.473725813966641,15
ST003662,all,CAR 10:1,CAR 10:1,0.4231442504213876,0.0245682365427347,8,0.02568262925,0.03571886825,0.056302208743767,1.609626015161948,16
ST003662,all,Inositol,Inositol,0.386345108541467,3.058304261652469e-17,121,19.643567875925616,25.631812757157025,3.153876269829108e-16,16.514519310099814,17
ST003662,all,Pantothenic acid,Pantothenic acid,0.3817895424141632,1.9146285510084735e-31,121,0.2480700111900826,0.3183155484876032,6.318274218327963e-30,30.71791546915993,18
