refmet_name,log2fc_male,fdr_male,log2fc_female,fdr_female
"1,5-Anhydrosorbitol",-0.8226677794484665,0.003898247611392,-0.6190243208874677,0.0089272251090772
2-Hydroxybutyric acid,0.094191038899586,0.4188308608624384,0.2104484687179508,0.0311112622146653
2-Phosphoglyceric acid,0.123628831342702,0.4329754690205012,0.1847003548645971,0.3147416653386
3'-AMP,0.4188600831806413,0.6624742046864573,-1.1791405309080498,0.0585852502188515
3-Hydroxybutyric acid,-0.1354725241072379,0.0010156025125065,-0.0933025091304353,0.0722347654308433
cis-4-Hydroxyproline,0.0071209949937532,0.8938887596834411,0.0203908628789358,0.8423153547603631
AMP,-0.5459250928226371,1.1640669152404465e-18,-0.5120207424531069,1.4028542626514256e-11
5'-Methylthioadenosine,-0.2695737145525141,8.828547268186961e-07,-0.2403268610781121,5.782830185543608e-05
N-Acetylputrescine,0.0569479066218356,0.750859483257992,0.0116669670268595,0.9690106225317056
Adenine,-0.1626725787807967,0.0031992650051714,-0.1267096342820338,0.0890543166380359
Alanine,0.0172350494288375,0.720333633361475,0.0466807070907799,0.5266490321358194
Aminoadipic acid,0.0718243090347729,0.6509387336607884,0.0740575705558145,0.7815599389099785
Arabinose,0.0694107531179286,0.5466691594303685,-0.0123387579640013,0.9690106225317056
Argininosuccinic acid,0.4021394107726596,0.1176674182749777,0.0385335361980462,0.9690106225317056
Asparagine,0.028654831649082,0.56769079275083,-0.0048249381144669,0.9690106225317056
Cadaverine,0.0440981164104557,0.7458817491172354,-0.0071084286436013,0.9777202790251592
CAR 2:0,0.2701468381857729,0.000791990636395,0.2701281375671387,0.0007562292107097
CAR 4:0,0.2011491733668217,0.0009854754351807,0.300636825667281,5.8629835834243185e-06
CAR 4:0;OH,0.0685144891766016,0.0979352734237519,0.0634358691715712,0.1229849191316741
CAR DC4:0,-0.0726100319197358,0.0885240012680182,-0.0710638668920835,0.1980152734344851
CAR 5:0,-0.0625086989137344,0.4188308608624384,-0.0691528293239324,0.3199270057007362
CAR 5:0;OH,-0.0079680739917866,0.83574618729906,-0.0612558272025092,0.0788816298761304
Carnitine,-0.0204846039098051,0.6567679700434526,-0.0479285602977148,0.3011585222080865
Citric acid,0.0248873992542545,0.7458817491172354,0.0553096663436435,0.5135208888583471
Creatine,0.06454631027646,0.1176674182749777,0.0041919625264193,0.969259682018916
Creatinine,0.1709455577151626,0.0042313422453032,0.1788859705656819,0.0342498089481517
Cysteic acid,-0.8227656037430607,1.5711737577963702e-07,-0.4044483421339746,0.0858823040218233
Cytidine,-0.1681865481590138,0.5466691594303685,-0.4357813379340691,0.1557341146678681
Cytosine,0.2755977249270696,0.0282520151138159,-0.0100602315679278,0.9690106225317056
Dopamine,0.1364172734733937,0.6763278847750951,0.2076359204280767,0.394937139079774
gamma-Aminobutyric acid,0.0937837843809423,0.0167031671046712,0.0690970891767465,0.0989296384317107
Glutathione,0.3914835719875033,0.2700907864211588,-0.0884807981981809,0.9489767005522182
Gluconolactone,-0.0822072088367808,0.3384483281702355,-0.0760873372486286,0.5569911984527185
Glucose,0.2994131448540148,0.0008084004430612,0.4509872961686969,2.612271992751607e-06
Glutamic acid,0.0241301473662391,0.6567679700434526,-0.0212859193867104,0.7628918975756788
Glutamine,0.1430450983410289,3.3060579166184147e-05,0.1075553640404383,0.0140609762655017
sn-Glycero-3-phosphocholine,0.058447442887897,0.3384483281702355,0.0130442377809491,0.9296294910584209
Glycine,0.1840907463449467,0.0008084004430612,0.0995678046651143,0.3011585222080865
Oxidized glutathione,0.4407130590301841,3.049854761715238e-06,0.2268139221699124,0.0752731573749607
Guanidoacetic acid,0.0422540299748891,0.4765635716841321,0.0868068086254221,0.2008824337032055
Guanine,0.1163801448098164,0.1923213489351931,0.1875942735777432,0.0788816298761304
Histidine,0.1301250095096842,0.034818579762985,-0.0091126522943994,0.9690106225317056
Homoserine,-0.0938023226797909,0.1719577309887044,-0.1455905632057042,0.1026574902516199
Hydroxydopamine,0.0457348279024995,0.5466691594303685,0.1127878167247214,0.136331321877109
Hypoxanthine,1.2466610476457114,1.5481648375695173e-22,0.9465623779911564,4.7056499407182884e-14
Inosine,0.3069720695473744,0.0869998571942515,0.024750237330789,0.9690106225317056
Inositol,0.3478773901554227,3.864241547330783e-07,0.43250637060472,7.13272940184726e-10
Isoleucine,-0.0329813484145489,0.4978402033357149,-0.0818007925650423,0.1631056437328729
Ketamine,-0.0754590560155972,0.4188308608624384,0.1414724044358464,0.5155248885699635
Kynurenine,0.0338036466705325,0.6567679700434526,-0.0780216952563901,0.2016579457602737
Lactic acid,3.81450551778201,2.1486222627484108e-17,3.339236585865474,9.969915871338732e-11
Lactose,0.2247862984970751,0.0783266591607394,0.1853400067670352,0.2170575926500344
Leucine,-0.006598432389992,0.886491802820391,-0.0571234000911306,0.3125876716368505
Mannitol,0.068345894134825,0.1956756056920189,-0.0123418069717019,0.8975417067639189
Mannitol 1-phosphate,-0.1547153694683031,0.56769079275083,-0.5649037342450882,0.0277361930555151
Mevalonic acid,0.0589186841554302,0.6567679700434526,-0.0010791976363332,0.9976817925973288
N4-Acetylcytidine,-0.2039240392510107,4.138381228778232e-06,-0.1956045589526551,0.0001155725261929
N-Acetylserine,0.0131455037868836,0.8165425520287557,-0.0097130326777911,0.9454795128741198
NAD,-0.1816320674930364,0.0001906253524756,-0.1613077111089503,0.007566809219406
NADP,-0.1340558685253772,0.4314353196081452,-0.2826701679390546,0.0515000537158294
Niacinamide,0.1890872890568111,5.66171090584876e-06,0.1596720549569938,0.0003624745391772
Nicotine,0.0848228724775774,0.5852545721390139,0.2142054458642908,0.2156813919630124
Nicotinic acid adenine dinucleotide,0.0248017932314494,0.8277368403917171,0.0478016675555101,0.7815599389099785
N-Methylhydantoin,0.0523293433747002,0.5146365581306238,0.0700653425322506,0.2755754340107182
Ophthalmic acid,-0.0690023880344976,0.184838208426975,-0.0735427897795915,0.3011585222080865
Ornithine,-0.1070429844565644,0.0219178651992742,-0.1537720833325685,0.0020044101524457
Oxalic acid,0.14872004888058,0.6567679700434526,0.0202777139741077,0.9690106225317056
Pantothenic acid,0.4143170385233837,6.350769390260776e-17,0.3427565470830985,2.8150607824130297e-13
Phenylalanine,-0.0284446662555807,0.5466691594303685,-0.0525459176722197,0.314078688643923
Choline phosphate,-0.0379415158841346,0.5903765311815521,-0.0310446837595412,0.6843113921287831
Phosphocreatine,-0.2409553924441353,5.51470875115827e-05,-0.2985515266462756,9.104466772155005e-08
Proline,0.0255741281815388,0.5520348106370908,-0.0138177069737493,0.8641200423552734
Pseudouridine,0.3372051793985326,1.6468016416868247e-05,0.3490741524173737,1.1746040526459066e-05
Pyridoxine,-0.0181380499477439,0.9269397937797402,0.0556800342205173,0.7411550594772494
Pyruvic acid,2.0576097590981903,1.486734529740415e-33,1.930372943231054,4.214798001916852e-27
Rhamnose,-0.1250577332583643,0.3668817417369305,-0.0755345565773955,0.5800547879990278
S-Adenosylmethionine,0.0073536025696185,0.9607857275212534,-0.2693113040336751,0.2371425439402694
Spermidine,-0.1530524234711255,0.5466691594303685,0.0462569979165073,0.9641723680567786
Spermine,-0.5216691421739587,0.3657447517022943,0.0346735377677977,0.9690106225317056
Threonine,-0.0489447467322579,0.4080332921240789,-0.1349294260147563,0.0101596240509255
UMP,-0.973441001756787,2.793246114596681e-16,-0.954353103889444,5.864434369101067e-12
Uracil,0.5534494717379201,0.0664554097308514,0.490376681192993,0.098420778934226
Urea,-0.07866053716666,0.4188308608624384,0.0626309289024816,0.6843113921287831
N-Carbamoylaspartic acid,-0.1598067083720883,0.2700907864211588,-0.2352976872673974,0.0788816298761304
Uridine,0.0534232389501436,0.3384483281702355,-0.0388761103693402,0.6040151482649585
Xanthine,1.4936845019006704,2.062411774546394e-17,1.3594952592042011,2.489786312130513e-16
"2,3-Dihydroxyisovaleric acid",-0.2934415216775248,0.3384483281702355,-0.1236055607569279,0.6721953433458766
3-Carboxy-4-methyl-5-propyl-2-furanpropanoic acid,-0.6418018763598451,0.02374619178625,-0.6242587522861065,0.0342498089481517
3-Methyl-2-oxovaleric acid,0.0192851124962707,0.6624742046864573,0.0924713390914878,0.1145538038974605
3-Phosphoglyceric acid,0.4331014103830126,2.069094956594863e-08,0.4736388173138172,0.0003624745391772
Ribothymidine,-0.1103992725469707,0.6567679700434526,-0.3784633883614334,0.1917889466189062
6-Phosphogluconic acid,-0.5261027354464529,1.2375524552072751e-09,-0.4483566564159987,3.572295614297509e-06
Acetoacetic acid,0.3369183093072753,0.0016063986895604,0.3200280709189929,0.0026928135827795
Adenosine,-0.2408391309910072,0.6567679700434526,-0.9929938621672856,0.1145538038974605
ADP,-0.3999257223606022,6.63070073800102e-14,-0.4063529573818888,2.1990785176257016e-09
Allantoin,0.1375068366917956,0.1217382661501456,0.2982119434895536,0.0050540109844849
2-Oxoglutaric acid,-0.1121003072265067,0.3668817417369305,-0.2167123349404493,0.0667305727781724
