conjugate,refmet_name,refmet_id,mw_analyses_any_species,mw_human_blood_analyses,in_st003662_human_whole_blood,in_motrpac_human_public_plasma,in_motrpac_rat_pass1b06
Lac-phenylalanine,N-Lactoyl phenylalanine,RM0131640,60,11,1,0,0
Lac-leucine,N-Lactoyl leucine,RM0158158,31,5,0,0,0
Lac-tyrosine,N-Lactoyl tyrosine,RM0071716,28,6,0,0,0
Lac-methionine,N-Lactoyl methionine,RM0138702,28,1,0,0,0
Lac-valine,N-Lactoyl valine,RM0071715,21,4,0,0,0
Lac-isoleucine,N-Lactoyl isoleucine,RM0131467,17,4,0,0,0
Lac-tryptophan,N-Lactoyl tryptophan,RM0158139,11,0,0,0,0
Lac-histidine,N-Lactoyl histidine,RM0158132,8,1,0,0,0
Lac-glutamic acid,N-Lactoyl glutamic acid,RM0158109,1,0,0,0,0
Lac-glutamine,N-Lactoyl glutamine,RM0158110,1,0,0,0,0
Lac-glycine,N-Lactoyl glycine,RM0158138,1,0,0,0,0
Lac-arginine,N-Lactoyl arginine,RM0158117,1,0,0,0,0
Lac-lysine,N-Lactoyl lysine,RM0158131,1,0,0,0,0
Lac-aspartic acid,N-Lactoyl aspartic acid,RM0158113,1,0,0,0,0
Lac-serine,N-Lactoyl serine,RM0158145,1,0,0,0,0
Lac-threonine,N-Lactoyl threonine,RM0158146,1,0,0,0,0
Lac-asparagine,N-Lactoyl asparagine,RM0158111,1,0,0,0,0
Lac-DOPA,N-Lactoyl DOPA,RM0158134,0,0,0,0,0
Lac-cysteine,N-Lactoyl cysteine,RM0158137,0,0,0,0,0
Lac-citrulline,N-Lactoyl citrulline,RM0158118,0,0,0,0,0
Lac-ornithine,N-Lactoyl ornithine,RM0158133,0,0,0,0,0
Lac-alanine,N-Lactoyl alanine,RM0158108,0,0,0,0,0
